term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.6546559802900199	0.005152249866272505	127.06215678232303	0	0.6445573381742057	0.6647546224058342	Linear model
treatmentTreatment	-0.5550203959026672	0.008771366685887775	-63.27638733831956	0	-0.5722126702151396	-0.5378281215901948	Linear model
postPost	-0.11211012528500708	0.00475176136319783	-23.593382898664647	6.221239066631448e-122	-0.12142379187187331	-0.10279645869814084	Linear model
treatmentTreatment:postPost	0.18291228187245118	0.00984474988524492	18.579677899851553	1.2970365244719943e-76	0.1636161280772709	0.20220843566763144	Linear model
postPost	-0.1133803117247346	0.004598455046453761	-24.656174862940386	1.4183623530746557e-132	-0.12239357325734265	-0.10436705019212655	Linear model with fixed effect
treatmentTreatment:postPost	0.18344269289168566	0.009537077158640868	19.234686879457747	7.856591969190136e-82	0.16474942095162756	0.20213596483174376	Linear model with fixed effect
(Intercept)	0.7088829180809583	0.0048783383119966805	145.3123733419005	0	0.6993215506850429	0.7184442854768737	Linear model with time and fixed effects
treatmentTreatment	-0.6272849140779468	0.008230831672432782	-76.21160765307458	0	-0.6434170477187267	-0.611152780437167	Linear model with time and fixed effects
anio_refact2012	-0.10124843830866942	0.004921752778374018	-20.57162211672861	4.928956866901652e-94	-0.11089489649509243	-0.09160198012224641	Linear model with time and fixed effects
anio_refact2013	-0.07009116235086228	0.003865226798344377	-18.133777397198266	1.724926546649893e-73	-0.07766686766769632	-0.06251545703402825	Linear model with time and fixed effects
anio_refact2015	-0.06273962464758445	0.0037261265373977888	-16.837760075480382	1.2902896177788442e-63	-0.07004269846272305	-0.05543655083244585	Linear model with time and fixed effects
anio_refact2016	-0.2020067952713019	0.005903312632370465	-34.21922704273015	1.2518254985336359e-256	-0.21357707542022833	-0.19043651512237544	Linear model with time and fixed effects
anio_refact2017	-0.24204327099161194	0.0064273376922808646	-37.65840268238936	0	-0.2546406213849592	-0.22944592059826466	Linear model with time and fixed effects
anio_fiscal::2012:treatment_num	0.13569457302041804	0.008949254353012668	15.162668046722569	6.247883065679513e-52	0.11815435680002491	0.15323478924081116	Linear model with time and fixed effects
anio_fiscal::2013:treatment_num	0.09134062011241673	0.007849700886778041	11.636191165738554	2.697971261190723e-31	0.07595548908491964	0.10672575113991381	Linear model with time and fixed effects
anio_fiscal::2015:treatment_num	0.11701158838067052	0.008065644571856614	14.507406982568767	1.0875459827142497e-47	0.10120321550773058	0.13281996125361045	Linear model with time and fixed effects
anio_fiscal::2016:treatment_num	0.31097735140588095	0.012212162270354602	25.46456102706627	4.870121182877898e-143	0.28704195318262704	0.33491274962913486	Linear model with time and fixed effects
anio_fiscal::2017:treatment_num	0.34708803014015854	0.012904826755432443	26.895985255598074	2.4470233896033413e-159	0.32179503447278207	0.372381025807535	Linear model with time and fixed effects
(Intercept)	0.7088829180810586	0.004879255896565151	145.28504614404233	0	0.6993193563502055	0.7184464798119118	Linear model with time
treatmentTreatment	-0.6272849140781741	0.00823237983979244	-76.197275427707865	0	-0.6434207500455211	-0.6111490781108271	Linear model with time
anio_refact2012	-0.10124843830864651	0.004922678528925456	-20.567753452457815	2.4474577379922686e-93	-0.11089711035834691	-0.0915997662589461	Linear model with time
anio_refact2013	-0.07009116235086278	0.0038659538230444495	-18.130367189866174	4.61728641060773e-73	-0.07766860629294846	-0.0625137184087771	Linear model with time
anio_refact2015	-0.06273962464757579	0.0037268273982200622	-16.834593594954335	2.7061599018581614e-63	-0.07004437451900664	-0.05543487477614495	Linear model with time
anio_refact2016	-0.2020067952712944	0.00590442300811903	-34.21279183309185	1.4379375883184747e-251	-0.21357973080086304	-0.19043385974172575	Linear model with time
anio_refact2017	-0.24204327099154438	0.006428546633826207	-37.65132070722533	5.412329398036572e-303	-0.25464351247827294	-0.2294430295048158	Linear model with time
treatmentTreatment:anio_refact2012	0.13569457302043475	0.00895093765112041	15.15981658116561	1.0265918611868583e-51	0.11815033131838143	0.15323881472248807	Linear model with time
treatmentTreatment:anio_refact2013	0.09134062011246205	0.007851177365846212	11.63400288341559	3.243354468218485e-31	0.07595195819558961	0.10672928202933449	Linear model with time
treatmentTreatment:anio_refact2015	0.11701158838076145	0.00806716166856518	14.504678744286657	1.6551988406278946e-47	0.10119958748439375	0.13282358927712914	Linear model with time
treatmentTreatment:anio_refact2016	0.31097735140595445	0.012214459300802014	25.459772205023874	1.918238274904594e-141	0.2870364600060082	0.3349182428059007	Linear model with time
treatmentTreatment:anio_refact2017	0.3470880301401217	0.012907254071680314	26.890927242353143	2.3090956143697337e-157	0.32178922972729274	0.37238683055295063	Linear model with time
anio_refact2012	-0.09816388019883066	0.004692254224789131	-20.920409572062802	2.5387928617600648e-96	-0.10736099418422414	-0.08896676621343717	Firm clustered model with time
anio_refact2013	-0.06790737773283875	0.0037627796313521433	-18.047131213059227	2.506058897054203e-72	-0.07528266293981574	-0.060532092525861766	Firm clustered model with time
anio_refact2015	-0.061350046506938434	0.0036395720845914226	-16.856390004383048	2.1852995926049983e-63	-0.0684838371577525	-0.05421625585612437	Firm clustered model with time
anio_refact2016	-0.2022065157140666	0.00580072746785397	-34.85882017982042	9.563147523265754e-260	-0.21357630711160183	-0.19083672431653134	Firm clustered model with time
anio_refact2017	-0.24251793039007985	0.006284104382799699	-38.592282307384764	3.7367244e-316	-0.2548351710032133	-0.2302006897769464	Firm clustered model with time
treatmentTreatment:anio_refact2012	0.13403251441051367	0.008809768062507061	15.214079809993436	4.994789198011787e-52	0.11676481381839629	0.15130021500263105	Firm clustered model with time
treatmentTreatment:anio_refact2013	0.09064227150894816	0.007785842923720378	11.641934264149752	3.061699993099149e-31	0.07538152871638482	0.1059030143015115	Firm clustered model with time
treatmentTreatment:anio_refact2015	0.11585774369320162	0.008018673187435887	14.448493034325693	4.0447739569024397e-47	0.10014063891084499	0.13157484847555825	Firm clustered model with time
treatmentTreatment:anio_refact2016	0.3094648158713374	0.012117100998601556	25.539509483914756	5.7019735217016734e-142	0.2857145342970964	0.33321509744557837	Firm clustered model with time
treatmentTreatment:anio_refact2017	0.34982270915936375	0.012658687082422026	27.63499143960442	1.6653053964919995e-165	0.32501088473020134	0.37463453358852616	Firm clustered model with time
anio_fiscal::2012:treatment_num	0.13569457302047958	0.008949254353011452	15.162668046731506	6.247883064829234e-52	0.11815435680008883	0.1532347892408703	Firm clustered model with time and fixed effects
anio_fiscal::2013:treatment_num	0.09134062011245458	0.007849700886776006	11.636191165746393	2.697971260942831e-31	0.0759554890849615	0.10672575113994767	Firm clustered model with time and fixed effects
