term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	11.254753128592238	0.38156101644745816	29.49660118158859	3.40205196886705e-175	10.506709073102764	12.002797184081713	Linear model
treatmentTreatment	1.9473075682192202	0.3912763747980993	4.97680844958769	6.701854127087091e-7	1.1802167135341373	2.714398422904303	Linear model
postPost	0.14982969353911427	0.3843898347366543	0.3897857851567867	0.6967131278249628	-0.6037602133714379	0.9034196004496664	Linear model
treatmentTreatment:postPost	-0.16646299116585941	0.39298494224228314	-0.42358618174034673	0.6718875776347368	-0.9369034640376331	0.6039774817059144	Linear model
postPost	-0.2271528273689654	0.4233179383900356	-0.5366009960099349	0.5915781278084127	-1.0571342183075465	0.6028285635696158	Linear model with fixed effect
treatmentTreatment:postPost	0.022827608268395045	0.42794593739916836	0.05334227123904788	0.9574623133011422	-0.8162277025458027	0.8618829190825927	Linear model with fixed effect
(Intercept)	9.277642471595072	0.528767789268374	17.545778430323868	6.40689017499626e-69	8.241276648444195	10.31400829474595	Linear model with time and fixed effects
treatmentTreatment	3.9449535894648307	0.5357273480207437	7.36373381728513	1.7883612668599912e-13	2.894947281811018	4.994959897118644	Linear model with time and fixed effects
anio_refact2012	2.787676799733461	0.4163851854651818	6.6949471235848454	2.1574963012830352e-11	1.9715768325256742	3.603776766941248	Linear model with time and fixed effects
anio_refact2013	2.2062640758426113	0.3897151551051236	5.661222169426496	1.5029868911467346e-8	1.4424364076071283	2.9700917440780943	Linear model with time and fixed effects
anio_refact2015	1.7498256415270816	0.4723470002024036	3.704534252948088	2.117794906743023e-4	0.8240425329248372	2.675608750129326	Linear model with time and fixed effects
anio_refact2016	1.7140727019100552	0.5433866680443956	3.1544253893435834	0.001608144921828789	0.6490544028638181	2.779091000956292	Linear model with time and fixed effects
anio_refact2017	2.7161173422024376	0.6020910584303892	4.511140473142339	6.447999994123918e-6	1.5360405522652736	3.896194132139602	Linear model with time and fixed effects
anio_fiscal::2012:treatment_num	-2.8234577775247374	0.4229151403875426	-6.676180415147666	2.4525002737919496e-11	-3.652356221201021	-1.9945593338484533	Linear model with time and fixed effects
anio_fiscal::2013:treatment_num	-2.237638544299074	0.39344483154395077	-5.6872993743955504	1.290640882793226e-8	-3.008776244028646	-1.4665008445695018	Linear model with time and fixed effects
anio_fiscal::2015:treatment_num	-1.968275170926617	0.47688005949499807	-4.127400866815363	3.668865099810386e-5	-2.902942912482131	-1.0336074293711028	Linear model with time and fixed effects
anio_fiscal::2016:treatment_num	-1.684617305060371	0.5540180382681117	-3.0407264541901373	0.0023600814075316477	-2.770472706851403	-0.598761903269339	Linear model with time and fixed effects
anio_fiscal::2017:treatment_num	-2.5360493562290003	0.6125321330870095	-4.140271537181148	3.468949476953002e-5	-3.736590276453034	-1.3355084360049667	Linear model with time and fixed effects
(Intercept)	9.27764247159362	0.5294051732798611	17.524653969879417	1.3548746569993577e-66	8.239751911803403	10.315533031383836	Linear model with time
treatmentTreatment	3.9449535894663237	0.5363731211806569	7.354868157417634	2.2540436203751443e-13	2.8934024768285758	4.996504702104072	Linear model with time
anio_refact2012	2.787676799733906	0.4168871019305152	6.686886657861972	2.554286315079454e-11	1.9703761585041444	3.6049774409636677	Linear model with time
anio_refact2013	2.2062640758435195	0.39018492314689485	5.654406269851991	1.659288554452305e-8	1.4413126383694599	2.971215513317579	Linear model with time
anio_refact2015	1.7498256415280034	0.4729163738139111	3.700074132380424	2.1807748691929273e-4	0.82268048933621	2.676970793719797	Linear model with time
anio_refact2016	1.714072701911551	0.5440416738546318	3.1506275792570113	0.0016397467818983962	0.6474875117292582	2.780657892093844	Linear model with time
anio_refact2017	2.716117342203576	0.602816827325246	4.505709228880089	6.780665736122723e-6	1.5343043831662102	3.897930301240941	Linear model with time
treatmentTreatment:anio_refact2012	-2.823457777526027	0.4234249281510395	-6.668142543839257	2.899073148929412e-11	-3.653575724778305	-1.9933398302737493	Linear model with time
treatmentTreatment:anio_refact2013	-2.237638544300549	0.3939190953893748	-5.680452078843053	1.4268862255646924e-8	-3.0099107680357053	-1.4653663205653928	Linear model with time
treatmentTreatment:anio_refact2015	-1.968275170927773	0.477454897318879	-4.122431630674459	3.8155721884066084e-5	-2.904318027446876	-1.0322323144086702	Linear model with time
treatmentTreatment:anio_refact2016	-1.6846173050616897	0.5546858592791268	-3.0370655333651895	0.0024024473776366796	-2.7720702542428164	-0.597164355880563	Linear model with time
treatmentTreatment:anio_refact2017	-2.5360493562302064	0.6132704877977407	-4.135286805235289	3.608881420194022e-5	-3.7383565530787295	-1.3337421593816834	Linear model with time
anio_refact2012	0.7223466101795943	0.3296920065037213	2.1909739876312138	0.028521023186870616	0.07593304707121673	1.368760173287972	Firm clustered model with time
anio_refact2013	0.7385513810806791	0.2790392475384947	2.646765240358501	0.008163884222843162	0.19145060007826498	1.2856521620830932	Firm clustered model with time
anio_refact2015	0.23687771452279668	0.3746908736151236	0.6321950471793814	0.5273017543516039	-0.4977632773721917	0.9715187064177851	Firm clustered model with time
anio_refact2016	0.0649758257331182	0.5163009106660928	0.1258487529090182	0.8998590573974876	-0.9473141440450911	1.0772657955113274	Firm clustered model with time
anio_refact2017	0.46229956824376267	0.5319558182455351	0.8690563245806607	0.3848773967414729	-0.5806843352329736	1.505283471720499	Firm clustered model with time
treatmentTreatment:anio_refact2012	-1.0000399413732275	0.33481219410480956	-2.9868683368807503	0.0028385480350946383	-1.6564924458138555	-0.3435874369325995	Firm clustered model with time
treatmentTreatment:anio_refact2013	-0.8833216446865881	0.2825009708451783	-3.126791536481775	0.0017821143726250708	-1.4372096842607183	-0.329433605112458	Firm clustered model with time
treatmentTreatment:anio_refact2015	-0.5020966650168966	0.3777854819001781	-1.3290523036816042	0.18391950085028652	-1.2428051281532426	0.23861179811944933	Firm clustered model with time
treatmentTreatment:anio_refact2016	-0.45896155495785723	0.5216826421690203	-0.8797715658117642	0.3790449742154649	-1.4818032644442618	0.5638801545285475	Firm clustered model with time
treatmentTreatment:anio_refact2017	-0.8340022328317243	0.5374859724439407	-1.55167255628929	0.12083325521967832	-1.8878288822938407	0.2198244166303922	Firm clustered model with time
anio_fiscal::2012:treatment_num	-2.8234577775267473	0.42291514038788164	-6.676180415147066	2.452500273801992e-11	-3.652356221203696	-1.9945593338497987	Firm clustered model with time and fixed effects
anio_fiscal::2013:treatment_num	-2.237638544300976	0.39344483154433263	-5.687299374394865	1.2906408827984062e-8	-3.008776244031296	-1.4665008445706555	Firm clustered model with time and fixed effects
anio_fiscal::2015:treatment_num	-1.968275170928246	0.4768800594952241	-4.1274008668168225	3.66886509978711e-5	-2.902942912484203	-1.0336074293722888	Firm clustered model with time and fixed effects
anio_fiscal::2016:treatment_num	-1.6846173050620332	0.554018038268278	-3.0407264541922245	0.0023600814075152884	-2.770472706853391	-0.5987619032706752	Firm clustered model with time and fixed effects
anio_fiscal::2017:treatment_num	-2.536049356230629	0.6125321330871811	-4.140271537182647	3.4689494769303286e-5	-3.736590276454999	-1.3355084360062592	Firm clustered model with time and fixed effects
(Intercept)	12.965676814687152	0.09309351732260661	139.27582916172184	0	12.783168494077138	13.148185135297165	Event study saturated
anio_refact2012	0.05134437338934848	0.07604107968048479	0.6752188896461122	0.4995708977222414	-0.09773292166831098	0.20042166844700793	Event study saturated
anio_refact2013	-2.4862712918693504e-4	0.05914541474273833	-0.004203658563700589	0.9966461592495752	-0.11620224696151689	0.11570499270314301	Event study saturated
anio_refact2015	-0.1765459824478296	0.07181411366540551	-2.4583744536678145	0.013993624195625713	-0.31733637965400585	-0.03575558524165337	Event study saturated
anio_refact2016	-0.09163381389621798	0.11710784366751077	-0.7824737526239667	0.4339767817590652	-0.32122182918143777	0.13795420138900183	Event study saturated
anio_refact2017	0.1317653447299881	0.12317022204267825	1.0697824729448946	0.2847737813084008	-0.10970786436867458	0.3732385538286508	Event study saturated
anio_refact2012	-0.20872599765520494	0.05954888511373915	-3.5051201589506764	4.6226089774960803e-4	-0.325480988050625	-0.09197100725978494	Event study saturated with fixed effects
anio_refact2013	-0.08981020940586097	0.045627673343486164	-1.968327614028611	0.04911100742830541	-0.17927046634952926	-3.499524621926736e-4	Event study saturated with fixed effects
anio_refact2015	-0.23749606769044238	0.05149977264991279	-4.611594488094203	4.142275247865942e-6	-0.33846950236721673	-0.13652263301366802	Event study saturated with fixed effects
anio_refact2016	-0.38280094604464066	0.07939162443971742	-4.821679223043281	1.4855975190316253e-6	-0.5384607595110286	-0.22714113257825275	Event study saturated with fixed effects
anio_refact2017	-0.29876382904172594	0.08377953054030841	-3.566071892680077	3.6733542663564916e-4	-0.4630268251479229	-0.13450083293552895	Event study saturated with fixed effects
