term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	9.00147239841697	0.0821502755956603	109.57324650646073	0	8.840425129416857	9.162519667417083	Linear model
treatmentTreatment	0.9670229494688644	0.2170278674613703	4.455754741454983	8.526857666787657e-6	0.541561864912036	1.3924840340256928	Linear model
postPost	0.006886886062649649	0.053918622288128736	0.1277274116138894	0.89836939849017	-0.09881509490806818	0.11258886703336747	Linear model
treatmentTreatment:postPost	0.3001098102491978	0.12739303311443964	2.3557788280274585	0.01851906870377134	0.05036871170801219	0.5498509087903835	Linear model
postPost	-0.07521386981852801	0.0403757563312806	-1.862847328515727	0.06255357623925398	-0.154371731586968	0.003943991949911976	Linear model with fixed effect
treatmentTreatment:postPost	0.15026220203135626	0.07672669221271354	1.9584084455873096	0.05024826183583211	-1.6274224190399034e-4	0.3006871463046165	Linear model with fixed effect
(Intercept)	8.820522995499388	0.0919454505633542	95.93213086080519	0	8.640313223852907	9.00073276714587	Linear model with time and fixed effects
treatmentTreatment	1.0375176943369446	0.2290757845169902	4.529146092523776	5.92225414087653e-6	0.5885374069533857	1.4864979817205035	Linear model with time and fixed effects
anio_refact2012	0.3374633211221947	0.08091918428420089	4.170374727666192	3.040991841374572e-5	0.1788646342668014	0.4960620079775879	Linear model with time and fixed effects
anio_refact2013	0.23612819116510497	0.07250580917575777	3.256679621252391	0.0011272358453274943	0.09401941651068599	0.37823696581952393	Linear model with time and fixed effects
anio_refact2015	0.14328228171677493	0.06765897071664245	2.117712997982853	0.03419938138117061	0.010673135881105578	0.2758914275524443	Linear model with time and fixed effects
anio_refact2016	0.1966331553246694	0.07951848775182112	2.472797972948953	0.013405990375795939	0.04077978322601064	0.3524865274233282	Linear model with time and fixed effects
anio_refact2017	0.22972719642947848	0.0845037224661843	2.7185452868234057	0.006556967910360696	0.06410294383618903	0.3953514490227679	Linear model with time and fixed effects
anio_fiscal::2012:treatment_num	-0.17878156907260845	0.16628244291672045	-1.0751680450241399	0.28229949925734416	-0.5046891684507179	0.14712603030550098	Linear model with time and fixed effects
anio_fiscal::2013:treatment_num	-0.04773625563639605	0.16119851285137807	-0.29613335006637415	0.7671282459073275	-0.363679535186514	0.2682070239137219	Linear model with time and fixed effects
anio_fiscal::2015:treatment_num	0.20689983433170056	0.1458496474419279	1.4185830268398876	0.15602061714108012	-0.07896022181234252	0.49275989047574364	Linear model with time and fixed effects
anio_fiscal::2016:treatment_num	0.15476348918127059	0.1815903009164733	0.8522673755161498	0.3940657090448864	-0.20114696055680775	0.5106739389193489	Linear model with time and fixed effects
anio_fiscal::2017:treatment_num	0.33198952839423157	0.1985532559649133	1.6720427312100994	0.09451589617147006	-0.05716770231016105	0.7211467590986242	Linear model with time and fixed effects
(Intercept)	8.820522995499523	0.09203812479371168	95.83553571163336	0	8.640091544072167	9.00095444692688	Linear model with time
treatmentTreatment	1.037517694336779	0.22930667600633264	4.524585644022533	6.179836949273623e-6	0.5879851069819377	1.4870502816916202	Linear model with time
anio_refact2012	0.3374633211221218	0.08100074485169007	4.166175530114038	3.145397773482592e-5	0.178669538729829	0.4962571035144146	Linear model with time
anio_refact2013	0.23612819116494335	0.07257888968185594	3.2534004336521734	0.0011472729098397285	0.09384460555697238	0.3784117767729143	Linear model with time
anio_refact2015	0.14328228171661805	0.06772716596717386	2.1155806487763624	0.03442569690324102	0.01051001061800591	0.27605455281523017	Linear model with time
anio_refact2016	0.19663315532452078	0.07959863652053785	2.4703080846590377	0.013530038722154877	0.040588064757655806	0.35267824589138574	Linear model with time
anio_refact2017	0.2297271964293417	0.08458889598367207	2.715807952780058	0.006632260853306547	0.0638992060049394	0.395555186853744	Linear model with time
treatmentTreatment:anio_refact2012	-0.17878156907251272	0.1664500433507272	-1.0740854461407483	0.2828319035470725	-0.5050900741537668	0.14752693600874142	Linear model with time
treatmentTreatment:anio_refact2013	-0.04773625563625305	0.16136098905895213	-0.2958351700410868	0.7673672252395486	-0.36406818357281157	0.26859567230030545	Linear model with time
treatmentTreatment:anio_refact2015	0.20689983433185305	0.14599665312564256	1.4171546395231274	0.15649484018658535	-0.0793118642010972	0.4931115328648033	Linear model with time
treatmentTreatment:anio_refact2016	0.15476348918142108	0.18177333054191847	0.8514092178430505	0.3945794530502046	-0.2015847733888269	0.511111751751669	Linear model with time
treatmentTreatment:anio_refact2017	0.3319895283943517	0.1987533829974994	1.6703591324457034	0.09490570981274339	-0.057646412697595406	0.7216254694862988	Linear model with time
anio_refact2012	-0.10946043865575383	0.052926355864254294	-2.0681650355164893	0.03868576064961723	-0.21322417836581398	-0.005696698945693676	Firm clustered model with time
anio_refact2013	-0.039312891474036445	0.04838590741679205	-0.812486394755369	0.41655877132494223	-0.13417494310873043	0.055549160160657536	Firm clustered model with time
anio_refact2015	-0.05543966098391002	0.04708139762757202	-1.1775279362446793	0.23905176547905166	-0.14774418127136696	0.03686485930354693	Firm clustered model with time
anio_refact2016	-0.16499350062485665	0.05448434027748822	-3.02827380830063	0.002474540632199067	-0.2718117164364222	-0.05817528481329108	Firm clustered model with time
anio_refact2017	-0.15325236545918738	0.06201062632428495	-2.471388769043441	0.0134984325031305	-0.27482609529756924	-0.03167863562080554	Firm clustered model with time
treatmentTreatment:anio_refact2012	0.08558299532592295	0.12337464543937847	0.6936838198896801	0.487918986505967	-0.15629677113725027	0.32746276178909617	Firm clustered model with time
treatmentTreatment:anio_refact2013	-0.029971112007035724	0.1021694774857993	-0.29334702246276495	0.769271449645209	-0.2302774980227301	0.17033527400865864	Firm clustered model with time
treatmentTreatment:anio_refact2015	0.1337492434408214	0.10260993386312461	1.3034726600568198	0.19248509425635127	-0.0674206707763543	0.33491915765799707	Firm clustered model with time
treatmentTreatment:anio_refact2016	0.1770249681417722	0.10419081653989432	1.6990457894529498	0.08938482590231679	-0.02724431492303775	0.38129425120658217	Firm clustered model with time
treatmentTreatment:anio_refact2017	0.19300983040306163	0.12413112452904487	1.5548866663002006	0.12004862392996375	-0.050353036456397576	0.4363726972625208	Firm clustered model with time
anio_fiscal::2012:treatment_num	-0.17878156907243958	0.16628244291671143	-1.0751680450231826	0.28229949925777253	-0.5046891684505314	0.1471260303056522	Firm clustered model with time and fixed effects
anio_fiscal::2013:treatment_num	-0.04773625563621128	0.16119851285135584	-0.29613335006526875	0.7671282459081716	-0.3636795351862857	0.2682070239138631	Firm clustered model with time and fixed effects
anio_fiscal::2015:treatment_num	0.20689983433189585	0.14584964744193207	1.418583026841186	0.15602061714070137	-0.0789602218121554	0.4927598904759471	Firm clustered model with time and fixed effects
anio_fiscal::2016:treatment_num	0.15476348918146202	0.18159030091646672	0.8522673755172349	0.3940657090442843	-0.20114696055660344	0.5106739389195275	Firm clustered model with time and fixed effects
anio_fiscal::2017:treatment_num	0.33198952839440676	0.19855325596491	1.6720427312110095	0.0945158961712906	-0.05716770230997942	0.721146759098793	Firm clustered model with time and fixed effects
(Intercept)	9.003555838987522	0.08521165822990577	105.66108002141479	0	8.836507026800925	9.170604651174118	Event study saturated
anio_refact2012	0.30861264557922863	0.0724046355262246	4.262332699229605	2.05712537893325e-5	0.166670702273467	0.4505545888849902	Event study saturated
anio_refact2013	0.22620089972436377	0.06538386308828922	3.459582977208304	5.451494685711152e-4	0.09802246860404965	0.3543793308446779	Event study saturated
anio_refact2015	0.17861445911552815	0.0606945158039373	2.9428434636913483	0.0032658165242796617	0.059629017664161746	0.29759990056689456	Event study saturated
anio_refact2016	0.23168303132482204	0.07178070527078642	3.227650528799043	0.0012554878242686807	0.0909642399940756	0.3724018226555685	Event study saturated
anio_refact2017	0.28808231666015655	0.0766565625248645	3.7580907253271825	1.730013131566699e-4	0.13780490178417223	0.43835973153614083	Event study saturated
anio_refact2012	-0.09446101944187253	0.04778300850546392	-1.9768746756720235	0.048121211417846144	-0.1881410370239106	-7.810018598344709e-4	Event study saturated with fixed effects
anio_refact2013	-0.04500493325259168	0.042829040970449275	-1.0508041327295585	0.29340911419338284	-0.12897254928653656	0.03896268278135319	Event study saturated with fixed effects
anio_refact2015	-0.03138214561038761	0.04194851279769993	-0.7481110417842589	0.4544351392088556	-0.11362345982105557	0.05085916860028034	Event study saturated with fixed effects
anio_refact2016	-0.13269934296307817	0.04739577224957763	-2.7998139214676625	0.0051366037736882645	-0.2256201722814538	-0.03977851364470253	Event study saturated with fixed effects
anio_refact2017	-0.11896543130986703	0.054468404451112694	-2.184118160036112	0.02900878275421875	-0.22575236763394385	-0.012178494985790198	Event study saturated with fixed effects
