term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	10.556777830646435	0.04462427625798897	236.57028675633666	0	10.469310464854422	10.64424519643845	Linear model
treatmentTreatment	0.18896938908525035	0.11316445524556971	1.6698652299892403	0.09496197009783715	-0.03284254001794118	0.4107813181884419	Linear model
postPost	-0.11912870240443342	0.03307147414460048	-3.602158823751234	3.163643856837999e-4	-0.1839515963279858	-0.054305808480881054	Linear model
treatmentTreatment:postPost	0.15572451069461724	0.079673376006771	1.9545363645866225	0.050651989527348555	-4.4206291611620374e-4	0.3118910843053507	Linear model
postPost	-0.1755572084342579	0.02505630626732418	-7.006507925040863	2.5490424649679265e-12	-0.22467068939132684	-0.12644372747718896	Linear model with fixed effect
treatmentTreatment:postPost	0.09417389490081136	0.05540114596727844	1.6998546375996133	0.08917931780425661	-0.014419251209159975	0.2027670410107827	Linear model with fixed effect
(Intercept)	10.347284151558556	0.04950854674064188	208.99995723494757	0	10.25024918301998	10.444319120097132	Linear model with time and fixed effects
treatmentTreatment	0.23947818424728418	0.12138878756213836	1.9728196405676792	0.04851611465693148	0.001560532498509376	0.47739583599605895	Linear model with time and fixed effects
anio_refact2012	0.35726877940236323	0.04694159469311409	7.6109212253662815	2.7214907607747748e-14	0.2652649444269831	0.44927261437774335	Linear model with time and fixed effects
anio_refact2013	0.3183862773342381	0.040998176144888786	7.765864418189029	8.109025923252333e-15	0.23803132865842688	0.39874122601004924	Linear model with time and fixed effects
anio_refact2015	0.07184955179778152	0.039487539241121944	1.8195499942158484	0.0688275627876286	-0.005544602952929564	0.14924370654849262	Linear model with time and fixed effects
anio_refact2016	0.017146351755336076	0.04732267456073464	0.36232845912650574	0.7171065936155974	-0.07560438603581363	0.10989708954648578	Linear model with time and fixed effects
anio_refact2017	0.18427216940797475	0.04983371762497462	3.6977407705104683	2.1752686201443938e-4	0.08659987764728559	0.2819444611686639	Linear model with time and fixed effects
anio_fiscal::2012:treatment_num	-0.12241292226011069	0.10839489275317615	-1.1293237084412704	0.25876130309469253	-0.3348630081644176	0.09003716364419623	Linear model with time and fixed effects
anio_fiscal::2013:treatment_num	-0.0420769246957704	0.0970958966653059	-0.43335430374376716	0.6647573928092712	-0.23238138520639265	0.14822753581485185	Linear model with time and fixed effects
anio_fiscal::2015:treatment_num	0.06115961621746635	0.09601019707480263	0.6370116725186618	0.524117240485684	-0.1270169121977396	0.2493361446326723	Linear model with time and fixed effects
anio_fiscal::2016:treatment_num	0.08148961437703228	0.11058028930022745	0.736927122299224	0.4611666692622194	-0.13524377005143337	0.29822299880549796	Linear model with time and fixed effects
anio_fiscal::2017:treatment_num	0.17687545708302466	0.11657388423996681	1.5172820073398887	0.1291954989454466	-0.051605157565251664	0.40535607173130095	Linear model with time and fixed effects
(Intercept)	10.347284151558256	0.049522417683545185	208.94141755515196	0	10.250216010750332	10.44435229236618	Linear model with time
treatmentTreatment	0.2394781842478498	0.12142279738582708	1.9722670651944854	0.04859314267806059	0.0014791982279158122	0.4774771702677838	Linear model with time
anio_refact2012	0.35726877940258583	0.046954746446119584	7.608789450339181	2.891401029817352e-14	0.2652334920957891	0.44930406670938255	Linear model with time
anio_refact2013	0.3183862773346189	0.04100966271433685	7.7636892444695	8.65243071013086e-15	0.23800385860300333	0.39876869606623444	Linear model with time
anio_refact2015	0.07184955179818972	0.03949860257137517	1.819040348790958	0.06892050440037946	-0.005571060834549085	0.14927016443092853	Linear model with time
anio_refact2016	0.01714635175574243	0.04733593308194779	0.3622269730282644	0.7171863243847623	-0.07563609370228012	0.10992879721376499	Linear model with time
anio_refact2017	0.18427216940838842	0.04984767967188652	3.696705054705198	2.190102252370825e-4	0.08656648750371305	0.2819778513130638	Linear model with time
treatmentTreatment:anio_refact2012	-0.12241292226062521	0.10842526204226313	-1.12900739140395	0.25890851385081665	-0.33493563612141075	0.09010979160016032	Linear model with time
treatmentTreatment:anio_refact2013	-0.042076924696296376	0.09712310028421658	-0.4332329237139712	0.66485032318756	-0.23244644248385152	0.14829259309125878	Linear model with time
treatmentTreatment:anio_refact2015	0.06115961621696777	0.09603709651035808	0.6368332492264737	0.5242408929089895	-0.12708124202265378	0.24940047445658933	Linear model with time
treatmentTreatment:anio_refact2016	0.08148961437653311	0.11061127087777516	0.736720713267807	0.46130101316835803	-0.13531786229225545	0.29829709104532165	Linear model with time
treatmentTreatment:anio_refact2017	0.17687545708254496	0.11660654505914178	1.5168570254168436	0.1293188901898096	-0.05168326570144219	0.4054341798665321	Linear model with time
anio_refact2012	-0.07686384569009766	0.033170384953982765	-2.317243100938707	0.020504097625924093	-0.14188193433776208	-0.011845757042433222	Firm clustered model with time
anio_refact2013	0.020785242193983096	0.029202951789074748	0.7117514128061246	0.4766299673480703	-0.03645618297577677	0.07802666736374296	Firm clustered model with time
anio_refact2015	-0.12419114791027121	0.028701247523321503	-4.327029611146985	1.5212699956862116e-5	-0.18044917019004625	-0.06793312563049617	Firm clustered model with time
anio_refact2016	-0.27536608978596927	0.03489668430418029	-7.8908955184886445	3.209888369276297e-15	-0.3437679403145784	-0.20696423925736013	Firm clustered model with time
anio_refact2017	-0.18714221852719642	0.03678877113969993	-5.086938561131913	3.683507104174219e-7	-0.2592527950706396	-0.11503164198375328	Firm clustered model with time
treatmentTreatment:anio_refact2012	0.05144748070501901	0.07499435940734556	0.6860180033750622	0.49271252510125096	-0.09555081053537678	0.1984457719454148	Firm clustered model with time
treatmentTreatment:anio_refact2013	-0.0600344807401945	0.07050001656312395	-0.8515527182385997	0.39447619944659307	-0.1982232998606862	0.07815433838029723	Firm clustered model with time
