term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.007087526642054545	8.567030573254132e-4	8.273025970260305	1.360865179709133e-16	0.005408350010484788	0.008766703273624303	Linear model
treatmentTreatment	0.6622345671840117	0.011302674974131269	58.59095910478586	0	0.6400808144589524	0.6843883199090711	Linear model
postPost	0.003185987799205127	0.00130792081796729	2.435917951177382	0.014859982455458862	6.224040058534341e-4	0.00574957159255682	Linear model
treatmentTreatment:postPost	-0.18859748070285645	0.01270360455300784	-14.845981698808636	1.1207483604502406e-49	-0.2134971185875515	-0.1636978428181614	Linear model
postPost	0.003187847556785095	0.0013342563875783054	2.3892316247937058	0.016891339845714302	5.726209967102406e-4	0.00580307411685995	Linear model with fixed effect
treatmentTreatment:postPost	-0.1863926181240578	0.012586720546906358	-14.808672158044418	2.1297346844661626e-49	-0.21106338319212276	-0.16172185305599285	Linear model with fixed effect
(Intercept)	2.086861935590989e-4	3.792359310778786e-5	5.5028064710525495	3.737926681839711e-8	1.343573169034833e-4	2.8301507021471454e-4	Linear model with time and fixed effects
treatmentTreatment	0.7322949016286795	0.010654865295490885	68.72868697256877	0	0.7114117493893917	0.7531780538679673	Linear model with time and fixed effects
anio_refact2012	0.012930175984359984	0.0016691687155678389	7.746476353027761	9.447759781585326e-15	0.00965866541772604	0.01620168655099393	Linear model with time and fixed effects
anio_refact2013	0.00881290978802085	0.0012798066541770757	6.886125931020112	5.733224299988708e-12	0.006304534838659075	0.011321284737382626	Linear model with time and fixed effects
anio_refact2015	0.005699858472034788	0.0010640221454310858	5.356898347003394	8.466272052018351e-8	0.003614413388236821	0.007785303555832755	Linear model with time and fixed effects
anio_refact2016	0.009202228049610364	0.0013783826663145962	6.676105463669613	2.4537542106301458e-11	0.006500647666719465	0.011903808432501262	Linear model with time and fixed effects
anio_refact2017	0.015711804503317134	0.0018370461827502606	8.552754226240971	1.2018562930276328e-17	0.012111260147189837	0.01931234885944443	Linear model with time and fixed effects
anio_fiscal::2012:treatment_num	-0.12555715300134207	0.011137461674436041	-11.273408310758548	1.7756078247289066e-29	-0.14738617676243188	-0.10372812924025226	Linear model with time and fixed effects
anio_fiscal::2013:treatment_num	-0.09087140722931386	0.009628252311322973	-9.437996044458421	3.799767052614046e-21	-0.10974243499357142	-0.0720003794650563	Linear model with time and fixed effects
anio_fiscal::2015:treatment_num	-0.13715443379264136	0.0110742251973595	-12.385013971482536	3.1503002721978746e-35	-0.15885951633615195	-0.11544935124913078	Linear model with time and fixed effects
anio_fiscal::2016:treatment_num	-0.3140794127243767	0.014731598849366867	-21.32011711260215	7.387335239177888e-101	-0.3429528159038275	-0.285206009544926	Linear model with time and fixed effects
anio_fiscal::2017:treatment_num	-0.3315496075871702	0.01540891819062563	-21.51673488596208	1.0854217604052157e-102	-0.36175053228152054	-0.3013486828928199	Linear model with time and fixed effects
(Intercept)	2.0868619352184536e-4	3.793072629545606e-5	5.501771621674565	3.791425305952028e-8	1.343402583807808e-4	2.830321286629099e-4	Linear model with time
treatmentTreatment	0.732294901628898	0.010656869408236987	68.71576197254394	0	0.7114069567037175	0.7531828465540785	Linear model with time
anio_refact2012	0.012930175984320908	0.00166948267564072	7.745019563834958	9.864928161895164e-15	0.009657914605630017	0.0162024373630118	Linear model with time
anio_refact2013	0.008812909788021302	0.0012800473777101265	6.884830937888169	5.902459795461898e-12	0.00630395916631577	0.011321860409726834	Linear model with time
anio_refact2015	0.005699858472043283	0.0010642222812639543	5.355890937815812	8.577805404021502e-8	0.003613934778354243	0.0077857821657323235	Linear model with time
anio_refact2016	0.009202228049619858	0.0013786419313716095	6.674849966636783	2.5190718886041586e-11	0.00650002765371591	0.011904428445523807	Linear model with time
anio_refact2017	0.015711804503299925	0.0018373917195119815	8.551145809818411	1.2772240167222534e-17	0.01211043382182338	0.01931317518477647	Linear model with time
treatmentTreatment:anio_refact2012	-0.12555715300134832	0.01113955656050205	-11.271288252760536	2.0917264522185601e-29	-0.14739118652594546	-0.10372311947675118	Linear model with time
treatmentTreatment:anio_refact2013	-0.09087140722936898	0.009630063324667414	-9.43622115096604	4.141433226717295e-21	-0.1097467658967256	-0.07199604856201236	Linear model with time
treatmentTreatment:anio_refact2015	-0.1371544337927697	0.01107630818905024	-12.382684866818451	3.9727539693782597e-35	-0.1588644976552753	-0.1154443699302641	Linear model with time
treatmentTreatment:anio_refact2016	-0.3140794127244606	0.014734369769894283	-21.316107687632307	4.654283614354685e-100	-0.34295944235332254	-0.28519938309559867	Linear model with time
treatmentTreatment:anio_refact2017	-0.33154960758713825	0.015411816510629308	-21.51268848538868	7.310468318088613e-102	-0.36175746339723114	-0.30134175177704536	Linear model with time
anio_refact2012	0.012143213587579043	0.0016443211254676769	7.38494044715583	1.5750041891522239e-13	0.008920240556914585	0.0153661866182435	Firm clustered model with time
anio_refact2013	0.008569707893129712	0.0012831558009819316	6.678618361520686	2.4648652303421986e-11	0.006054641659014902	0.011084774127244523	Firm clustered model with time
anio_refact2015	0.005557725857500794	0.0010701338541899503	5.1934866238838655	2.080789457731987e-7	0.0034601960636934832	0.007655255651308104	Firm clustered model with time
anio_refact2016	0.008739767524218052	0.0013742557408589293	6.359636903358012	2.0588110116479537e-10	0.006046139666846587	0.011433395381589516	Firm clustered model with time
anio_refact2017	0.015179088108248924	0.0018251422871303177	8.316660139476083	9.523584367472645e-17	0.011601694205416718	0.01875648201108113	Firm clustered model with time
treatmentTreatment:anio_refact2012	-0.1287319139674402	0.010823724899707059	-11.893494629646794	1.5798412318678917e-32	-0.14994709687957686	-0.10751673105530352	Firm clustered model with time
treatmentTreatment:anio_refact2013	-0.0922313631091494	0.009544657894856935	-9.663139750545438	4.74402110081993e-22	-0.11093949408526461	-0.07352323213303417	Firm clustered model with time
treatmentTreatment:anio_refact2015	-0.1364775405065551	0.01102915688263775	-12.374249632934312	4.6110001746163496e-35	-0.15809538305151333	-0.11485969796159688	Firm clustered model with time
treatmentTreatment:anio_refact2016	-0.31184055101360675	0.014719506996265454	-21.18552958959326	1.0453875797168643e-98	-0.3406917123463101	-0.28298938968090337	Firm clustered model with time
treatmentTreatment:anio_refact2017	-0.3325430249725139	0.015309956367263119	-21.72070363855393	1.3076714560952882e-103	-0.3625515042823594	-0.30253454566266846	Firm clustered model with time
anio_fiscal::2012:treatment_num	-0.1255571530014339	0.011137461674439271	-11.273408310763523	1.775607824628538e-29	-0.14738617676253005	-0.10372812924033778	Firm clustered model with time and fixed effects
anio_fiscal::2013:treatment_num	-0.09087140722940437	0.009628252311325611	-9.437996044465235	3.799767052366991e-21	-0.10974243499366709	-0.07200037946514165	Firm clustered model with time and fixed effects
anio_fiscal::2015:treatment_num	-0.13715443379277031	0.011074225197366354	-12.385013971486515	3.1503002720416274e-35	-0.15885951633629433	-0.1154493512492463	Firm clustered model with time and fixed effects
anio_fiscal::2016:treatment_num	-0.3140794127244844	0.014731598849368956	-21.32011711260644	7.387335238501033e-101	-0.3429528159039393	-0.28520600954502956	Firm clustered model with time and fixed effects
anio_fiscal::2017:treatment_num	-0.3315496075872718	0.015408918190628547	-21.516734885964603	1.0854217603461782e-102	-0.36175053228162785	-0.3013486828929158	Firm clustered model with time and fixed effects
(Intercept)	0.12380510100013854	0.004180405037274004	29.615575499562233	6.033229786037608e-190	0.11561131855833082	0.13199888344194627	Event study saturated
anio_refact2012	-0.0011463032906923372	0.0026820606763423883	-0.4273964794322206	0.6690937180309817	-0.006403263198100652	0.0041106566167159785	Event study saturated
anio_refact2013	-0.00345777281947245	0.0021240010010923774	-1.6279525375431139	0.10354572249522653	-0.007620910590563034	7.053649516181337e-4	Event study saturated
anio_refact2015	-0.01605433723961002	0.002273150040375467	-7.062594617361135	1.670721616381649e-12	-0.02050981385547608	-0.01159886062374396	Event study saturated
anio_refact2016	-0.042150666097014566	0.0032557322719787155	-12.946600818437975	3.1286535843294057e-38	-0.04853204820891671	-0.03576928398511242	Event study saturated
anio_refact2017	-0.03836581144438358	0.003539412544327207	-10.839598652006355	2.5186312339737308e-27	-0.04530321968627336	-0.03142840320249379	Event study saturated
anio_refact2012	-0.009124194244365632	0.0024358741218865666	-3.745757698390018	1.8027135693512593e-4	-0.01389866098115888	-0.004349727507572385	Event study saturated with fixed effects
anio_refact2013	-0.006550519151927286	0.00201153633288336	-3.256475682215341	0.0011296133409558976	-0.01049325708937228	-0.002607781214482294	Event study saturated with fixed effects
anio_refact2015	-0.01762849991813718	0.0021932632615827992	-8.037566774093195	9.58392873704906e-16	-0.021927434084467384	-0.013329565751806976	Event study saturated with fixed effects
anio_refact2016	-0.044841427836685245	0.0032274865754579047	-13.893606305805717	1.023666157901679e-43	-0.051167504853356346	-0.038515350820014144	Event study saturated with fixed effects
anio_refact2017	-0.04213984738935065	0.0035196804070355063	-11.97263459066258	6.138374974344771e-33	-0.04903864272386445	-0.03524105205483685	Event study saturated with fixed effects
