term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.4452538128841542	0.007177749235690072	62.03251162219619	0	0.43118512808215514	0.4593224976861533	Linear model
treatmentTreatment	0.14891659070328261	0.02097854098631972	7.0985199018555365	1.2883696355420995e-12	0.10779778436844747	0.19003539703811775	Linear model
post	-0.2231675230219591	0.008520574555915917	-26.191604985958577	1.4630062595535916e-149	-0.23986820088390864	-0.20646684516000957	Linear model
treatmentTreatment:post	-0.09077032242589828	0.023747563547917894	-3.822300432747203	1.324733004327969e-4	-0.13731652728770405	-0.044224117564092516	Linear model
post	-0.22654232424659515	0.008537357489461224	-26.5354150304993	4.614644270240391e-153	-0.24327603456333097	-0.20980861392985933	Linear model with fixed effect
treatmentTreatment:post	-0.08886203540538731	0.023743673418109523	-3.7425563366118153	1.8255867949020998e-4	-0.13540099706000808	-0.042323073750766535	Linear model with fixed effect
(Intercept)	0.42677701975140353	0.06269398993270724	6.807303542324963	1.0128436451769265e-11	0.30389418302369775	0.5496598564791093	Linear model assets weighted
treatmentTreatment	0.30567991943023426	0.07767697362890837	3.9352707134366525	8.328705227442646e-5	0.1534298093608514	0.45793002949961714	Linear model assets weighted
post	-0.16018460014214406	0.09663757586811107	-1.6575809016645928	0.09741236707876515	-0.34959828189869757	0.02922908161440943	Linear model assets weighted
treatmentTreatment:post	-0.14175720858811655	0.1408200873714145	-1.0066547410543099	0.314108701184815	-0.4177704567960626	0.1342560396198295	Linear model assets weighted
treatmentTreatment:post	-0.13960338127455715	0.1420997657634554	-0.9824321702749755	0.32588698407770145	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	44.007057021424586	26.682496711856736	1.649285578357045	0.09909937924598003	-8.291738534534453	96.30585257738363	Event study
anio_fiscal	-0.021674140508256955	0.013248507603614509	-1.6359684544652964	0.10185644603330661	-0.04764176258146095	0.004293481564947039	Event study
treatmentTreatment	0.10093998911849791	0.03169848916107689	3.18437855525442	0.0014521007150450596	0.03880964119902152	0.1630703370379743	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-0.3986863188038396	0.028853992114674733	-13.81737117066284	2.699985099544246e-43	-0.4552413350331893	-0.34213130257448987	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Treatment	-0.49962630792070417	0.051806590557553434	-9.64406849676114	5.5961353917524055e-22	-0.6011693650521156	-0.3980832507892928	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Control	-0.09490487069663178	0.01972157886612858	-4.812234930116524	1.4996063962574962e-6	-0.13355997978550715	-0.056249761607756396	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Treatment	-0.11263424833893874	0.045433412567246034	-2.4791060581731275	0.01317654415692558	-0.20168561339384689	-0.023582883284030604	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Control	0.004601524983547566	0.01974173693419768	0.2330861260528987	0.8156960827888016	-0.03409309475128175	0.04329614471837688	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Treatment	0.11023916292967151	0.03554672527181424	3.101246657370222	0.0019288234925561743	0.0405661132990363	0.1799122125603067	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Control	0.3504277255873929	0.031930111784296146	10.974835539402655	5.692704778775734e-28	0.2878433877602743	0.41301206341451147	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Treatment	0.433482810164291	0.03843995302889598	11.276881890007369	1.9505898443545847e-29	0.35813891463799397	0.5088267056905881	Event study
i(anio_fiscal, treatment, ref = 2014)2017:Control	0.04476291776868296	0.04278550792499154	1.0462168135799175	0.2954691831989849	-0.03909844482759447	0.12862428036496037	Event study
anio_fiscal2013	0.37108562358236896	0.02756136456075987	13.463978634450386	3.5283293242622063e-41	0.31706376752414184	0.4251074796405961	Event study with fixed effects
anio_fiscal2014	0.4641981329787911	0.030404875670652448	15.267226809509594	2.161074749707685e-52	0.4046028319795508	0.5237934339780314	Event study with fixed effects
anio_fiscal2015	0.552763155400262	0.031888668370107204	17.334156101620987	6.31203259330329e-67	0.49025953556747903	0.615266775233045	Event study with fixed effects
anio_fiscal2016	0.8543326621267102	0.03567353280928711	23.948641887923603	2.3436901461408486e-125	0.7844104908110161	0.9242548334424043	Event study with fixed effects
anio_fiscal2017	0.3991757114537104	0.0285596500541569	13.976911856299505	3.1454980215422604e-44	0.3431971585450635	0.4551542643623573	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012:Control	0.09657722842248066	0.032618876536091385	2.9607772761769433	0.003071473640190906	0.03264235868375141	0.16051209816120993	Event study with fixed effects
