term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.9982241953383645	4.4300640625918186e-4	2253.295169628656	0	0.9973558709019266	0.9990925197748024	Linear model
treatmentTreatment	7.275866321251993e-4	8.632733177575039e-4	0.8428230285342615	0.3993366015114186	-9.64491194612036e-4	0.0024196644588624344	Linear model
postPost	-0.013833844940085532	0.001699220522293929	-8.141288760690104	4.1171326691243336e-16	-0.017164439445171438	-0.010503250434999625	Linear model
treatmentTreatment:postPost	0.005915818243707412	0.00321133201778783	1.8421696077949	0.06546381162649635	-3.7862360896723495e-4	0.01221026009638206	Linear model
postPost	-0.015660335973012047	0.0018401769109068079	-8.510233923810564	1.8698907919557423e-17	-0.019267258149158882	-0.012053413796865213	Linear model with fixed effect
treatmentTreatment:postPost	0.007438856464160391	0.003364786592062004	2.2107959184424	0.02706245496083234	8.435539663536459e-4	0.014034158961967136	Linear model with fixed effect
(Intercept)	0.9998534090274613	8.655102325982194e-5	11552.184727220962	0	0.9996837627493601	1.0000230553055627	Linear model assets weighted
treatmentTreatment	1.420591760418385e-4	8.663198859170911e-5	1.6398004749879875	0.10106104293392985	-2.7745799977647168e-5	3.1186415206132417e-4	Linear model assets weighted
postPost	-9.584218698657026e-4	3.743561592134491e-4	-2.560187260921311	0.010468234900549822	-0.0016921870722042538	-2.2465666752715145e-4	Linear model assets weighted
treatmentTreatment:postPost	-1.6321177208685289e-4	7.96017942478396e-4	-0.20503529302203194	0.8375464592267052	-0.0017234646282305735	0.0013970410840568677	Linear model assets weighted
treatmentTreatment:postPost	-1.1588983544013542e-4	8.064062296110058e-4	-0.14371148335007078	0.8857283029323372	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	10.82439024390317	3.2519872538050336	3.3285463315509434	8.744399070299656e-4	4.450261075041638	17.198519412764703	Event study
anio_fiscal	-0.004878048780489049	0.0016146907939104192	-3.0210420464933154	0.0025219618475094407	-0.008042958998422407	-0.0017131385625556912	Event study
treatmentTreatment	2.7194465620754004e-16	6.076590542450687e-6	4.475283537828515e-11	0.9999999999642928	-1.1910554992999626e-5	1.1910554993543516e-5	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-0.013046773977798659	0.0034101357672134867	-3.8258810992911076	1.3066578181688854e-4	-0.019730885620038406	-0.006362662335558912	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Treatment	-0.009756097561409525	0.0032294031035536336	-3.021021919088986	0.0025221294270069312	-0.016085960169661705	-0.003426234953157343	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Control	-0.007191333644996029	0.0018358934102558648	-3.9170757979864352	8.990069209418279e-5	-0.010789816918120865	-0.003592850371871194	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Treatment	-0.008003048780487526	0.002730897737630762	-2.930556011017355	0.003387044026996723	-0.013355804977868924	-0.002650292583106127	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Control	-0.006478418096482251	0.002480262859136995	-2.6119885126757936	0.009007852546806513	-0.011339911885663273	-0.0016169243073012275	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Treatment	2.6266416510305803e-4	0.0028347545424149017	0.09265852163669057	0.9261756952519686	-0.005293658847610954	0.00581898717781707	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Control	-0.009493494608679813	0.004073465913795152	-2.3305693013237834	0.01978508819117048	-0.017477781099687548	-0.0015092081176720767	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Treatment	0.0018321672915619443	0.0040212623063038124	0.45561994020877516	0.6486678059859122	-0.006049796369969445	0.009714130953093333	Event study
i(anio_fiscal, treatment, ref = 2014)2017:Control	-0.0017705016421320507	0.005383655568545355	-0.3288660687129422	0.7422600578666347	-0.012322854193457926	0.008781850909193823	Event study
anio_fiscal2013	-0.0022285095134437203	0.0016641366858878752	-1.3391385048727127	0.18054244647656995	-0.0054903761628611525	0.0010333571359737118	Event study with fixed effects
anio_fiscal2014	0.001846085686833037	0.001081088271654461	1.707617902475114	0.0877244569756218	-2.729504526200032e-4	0.003965121826286077	Event study with fixed effects
anio_fiscal2015	-0.0027327659118508646	0.002524741487024438	-1.0823943464689512	0.2790917956084949	-0.0076815000661800996	0.0022159682424783703	Event study with fixed effects
anio_fiscal2016	-0.007679329089982011	0.003706938074283053	-2.0716097588080817	0.03831601723948393	-0.014945281327257708	-4.1337685270631357e-4	Event study with fixed effects
anio_fiscal2017	-0.014974279031284204	0.004777830543157316	-3.1341168122276697	0.0017264826928055812	-0.024339282661967263	-0.005609275400601145	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012:Control	-0.0025736960615829045	0.001637633237943538	-1.5715949102344977	0.1160620513901311	-0.005783613424816504	6.362213016506951e-4	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013:Control	0.0013132645772417789	0.002541277903388111	0.5167733034985641	0.6053207481936319	-0.0036678825305996045	0.006294411685083162	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015:Control	-0.007012830412831479	0.003258148312528847	-2.152397539996697	0.03137926943866507	-0.013399111906183278	-6.26548919479681e-4	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016:Control	-0.011733761638809133	0.004442415791576272	-2.641301982821766	0.00826592060132499	-0.02044132036055966	-0.003026202917058605	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017:Control	-0.004513494979075064	0.005511054632235137	-0.8189893369364968	0.4128033076601758	-0.015315687767953008	0.00628869780980288	Event study with fixed effects
(Intercept)	0.93072509765625	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal	-6.508082151412964e-5	NA	NA	NA	NA	NA	Event study assets weighted
treatmentTreatment	1.021582818339084e-11	0.03930382660612775	2.5991942936665915e-10	0.9999999997926143	-0.0770340845924017	0.07703408461283336	Event study assets weighted
anio_fiscal::2012:treatment::Control	-1.1137127876281738e-4	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2012:treatment::Treatment	-8.318200707435608e-5	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2013:treatment::Control	-3.327149897813797e-4	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2013:treatment::Treatment	-4.68231737613678e-5	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2015:treatment::Control	-5.329586565494537e-4	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2015:treatment::Treatment	-1.1406838893890381e-4	NA	NA	NA	NA	NA	Event study assets weighted
