term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	11.351465972953175	0.053939082149816776	210.44974294194094	0	11.245742939167046	11.457189006739304	Linear model
treatmentTreatment	-7.826036784628711	0.1965145495948201	-39.824210475838456	0	-8.211214165077507	-7.440859404179914	Linear model
postPost	-2.2013179625534125	0.07191195849847817	-30.611292037053857	1.3680814446649067e-202	-2.3422686445995855	-2.0603672805072395	Linear model
treatmentTreatment:postPost	2.900804940744051	0.17251741361336992	16.814563121407947	3.7821342303377947e-63	2.562663029143064	3.238946852345038	Linear model
postPost	-2.2297560182983207	0.0707897697428991	-31.498280420978297	2.049968065329566e-213	-2.368508425809166	-2.0910036107874754	Linear model with fixed effect
treatmentTreatment:postPost	2.8983328069642393	0.1694986199029503	17.0994478221931	3.6511095030892943e-65	2.5661048357938836	3.230560778134595	Linear model with fixed effect
(Intercept)	16.712876215556555	0.5360414568548195	31.17832772416153	5.9827329852557974e-210	15.66221057430073	17.76354185681238	Linear model assets weighted
treatmentTreatment	-3.806180440570995	2.3772088401619906	-1.6011131947126824	0.10936270281113052	-8.465617912259448	0.8532570311174581	Linear model assets weighted
postPost	-0.5710436710308656	0.3883566398467216	-1.4704104743934538	0.14146142593404498	-1.3322403524118438	0.19015301035011267	Linear model assets weighted
treatmentTreatment:postPost	1.9458152193015532	0.5450116417009451	3.570226891353721	3.5724645682205797e-4	0.8775676076719503	3.014062830931156	Linear model assets weighted
treatmentTreatment:postPost	1.9735749728039278	0.5408392691455152	3.6490970338045643	2.6316369477127335e-4	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	-568.4248793045471	138.152589410525	-4.114471409692175	3.891297650597177e-5	-839.2101886044495	-297.63957000464455	Event study
anio_fiscal	0.2883025065341343	0.0685961185760933	4.202898247286717	2.643010542500961e-5	0.15385101876502336	0.42275399430324523	Event study
treatmentTreatment	-8.824654984884338	0.19738892158487814	-44.706941575187116	0	-9.211546178251021	-8.437763791517655	Event study
