term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	11.729447530761911	0.06107910239570854	192.0369990831108	0	11.609727958581006	11.849167102942816	Linear model
treatmentTreatment	-9.493094498693116	0.18487415932027068	-51.34895289637289	0	-9.855461566855574	-9.130727430530658	Linear model
postPost	-2.001213979533012	0.0824342504189797	-24.276486646771904	1.8496898535474098e-128	-2.1627912261873	-1.839636732878724	Linear model
treatmentTreatment:postPost	2.956819931733042	0.2067122771265148	14.304036377691151	3.3630781508040914e-46	2.5516485324908365	3.361991330975248	Linear model
postPost	-2.0300925138515633	0.08114889742804662	-25.01688350912731	9.296187196039816e-136	-2.1891523576673406	-1.871032670035786	Linear model with fixed effect
treatmentTreatment:postPost	2.9924294574061383	0.2034396325835862	14.709176473648292	1.0944742992235355e-48	2.593667709430738	3.3911912053815385	Linear model with fixed effect
(Intercept)	17.134609960379528	0.6761205620264492	25.34253640951869	1.2342939595448364e-139	15.809363152851597	18.45985676790746	Linear model assets weighted
treatmentTreatment	-12.839252466902309	1.207568181787333	-10.63232094099963	2.4520764292644044e-26	-15.206176308102346	-10.472328625702271	Linear model assets weighted
postPost	-0.2500313062557689	0.49420042915829954	-0.505930977602774	0.6129103093791008	-1.2187010639954385	0.7186384514839008	Linear model assets weighted
treatmentTreatment:postPost	2.373866939580572	0.9812481865433464	2.4192319253531758	0.015561591587212636	0.45054719507874563	4.297186684082399	Linear model assets weighted
treatmentTreatment:postPost	2.325158283632541	0.992134474199981	2.3435918659186386	0.01909905814265898	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	-881.5045314020558	161.08412998018756	-5.472323881380965	4.4912764051220483e-8	-1197.2413836653545	-565.7676791387572	Event study
anio_fiscal	0.44391236000862255	0.07998218561575396	5.550140404280048	2.888051234671898e-8	0.2871413390113148	0.6006833810059303	Event study
treatmentTreatment	-10.544791395958299	0.1792651815820829	-58.82230616618651	0	-10.896164458966412	-10.193418332950186	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-0.6467811951976691	0.18288031723460713	-3.536636446053125	4.0610920697638204e-4	-1.0052401924413472	-0.288322197953991	Event study
