term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.27575667761867334	0.024449167165639375	11.278775908826013	1.9217617040175735e-29	0.2278352072622416	0.3236781479751051	Linear model
treatmentTreatment	11.606873149061654	0.12600106917671702	92.11725920184824	0	11.359905370547025	11.853840927576282	Linear model
postPost	0.02139094444001443	0.028939894579443265	0.7391507381374138	0.4598214022811038	-0.035332554189260144	0.078114443069289	Linear model
treatmentTreatment:postPost	-3.1572301644193237	0.20117300499514731	-15.69410450719013	2.7912854648916687e-55	-3.551538327559454	-2.7629220012791933	Linear model
postPost	0.01777113808498425	0.029625010902735838	0.5998694192326223	0.5485989364385666	-0.04029574926637569	0.0758380254363442	Linear model with fixed effect
treatmentTreatment:postPost	-3.215693367636149	0.19943897822821294	-16.123695559433287	3.5208469083884114e-58	-3.606606326968714	-2.824780408303584	Linear model with fixed effect
(Intercept)	0.8771593557499485	0.20897266117804753	4.197483779960082	2.7069759492685056e-5	0.4675634331699623	1.2867552783299347	Linear model assets weighted
treatmentTreatment	15.712011334176166	0.8139429005956558	19.303579308423082	1.6455113906418942e-82	14.116646220780511	17.307376447571823	Linear model assets weighted
postPost	0.5618693182720219	0.42784316862744814	1.3132599968220584	0.18910570592705409	-0.27672275585673223	1.400461392400776	Linear model assets weighted
treatmentTreatment:postPost	-2.8494526215014044	1.0300589712247923	-2.7663004751206244	0.005673201953634538	-4.868415064972128	-0.8304901780306815	Linear model assets weighted
treatmentTreatment:postPost	-2.8916330880662517	1.0361990920453121	-2.7906153462830896	0.005260795147982226	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	3814.298011397654	158.4366517483146	24.074593658144693	7.935158259428758e-127	3503.7550246091646	4124.840998186144	Event study
anio_fiscal	-1.8938254843205906	0.07866765150557131	-24.073751384156527	8.094788084699238e-127	-2.048017631103546	-1.739633337537635	Event study
treatmentTreatment	13.059607123473803	0.09017675158382411	144.82232830636175	0	12.882856621196023	13.236357625751584	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-3.529219034893443	0.1608726743673331	-21.93796459698869	8.0687321135332155e-106	-3.8445367359393137	-3.2139013338475726	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Treatment	-6.1616509946022084	0.25024193543690826	-24.62277549062396	1.6161239132340463e-132	-6.652136480080391	-5.671165509124026	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Control	-1.7034085371942582	0.08305527050653089	-20.509337057186684	8.008986735800232e-93	-1.866200615207851	-1.5406164591806655	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Treatment	-3.5597535425387883	0.17499538105791548	-20.34198571995836	2.3480941255333593e-91	-3.9027523859771285	-3.216754699100448	Event study
