term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.27011819885691774	0.027653298068715	9.76802832652032	1.719741319184409e-22	0.21591568303195965	0.32432071468187584	Linear model
treatmentTreatment	12.012000927704696	0.14060331644848037	85.43184635410867	0	11.73640799604414	12.287593859365252	Linear model
postPost	0.05283678969119932	0.03457038722612786	1.528382929169678	0.12643218332381598	-0.014923734064157458	0.12059731344655611	Linear model
treatmentTreatment:postPost	-3.2648913901232413	0.2403782252703523	-13.582309239745957	7.586315069454815e-42	-3.7360505454187836	-2.793732234827699	Linear model
postPost	0.05076388785119933	0.03539744769421417	1.4341115294450129	0.15155818622681258	-0.01861860137745787	0.12014637707985652	Linear model with fixed effect
treatmentTreatment:postPost	-3.357445798805928	0.2389459781512964	-14.05106637400715	1.3212798762283628e-44	-3.825803486584166	-2.88908811102769	Linear model with fixed effect
(Intercept)	0.8224234411110724	0.2545740325648073	3.23058653243318	0.0012372287239197427	0.3234393206979075	1.321407561524237	Linear model assets weighted
treatmentTreatment	15.16512539133493	0.40325550553529593	37.60674109384866	8.824398425137843e-300	14.37471447744853	15.955536305221331	Linear model assets weighted
postPost	0.907233779169213	0.5717551713252386	1.5867522056099428	0.11258353257896683	-0.21344906652823303	2.027916624866659	Linear model assets weighted
treatmentTreatment:postPost	-4.55951396729732	1.0516466585172128	-4.335594974196072	1.4602936438166e-5	-6.620819975607763	-2.4982079589868786	Linear model assets weighted
treatmentTreatment:postPost	-4.571500829852538	1.0587287121122702	-4.317915229418814	1.575098987552257e-5	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	3731.0908251139526	187.0120283327941	19.95107404789147	9.12213450028748e-88	3364.5333674150866	4097.648282812818	Event study
anio_fiscal	-1.8525147920256109	0.09285602144768929	-19.95040023407885	9.243640117407425e-88	-2.0345194868965004	-1.6705100971547213	Event study
treatmentTreatment	13.313012217243372	0.10047907089526195	132.49537539136563	0	13.11606577958553	13.509958654901215	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-3.4338985794579053	0.18997424959474135	-18.075600176251246	1.7063843186469217e-72	-3.8062622107200497	-3.061534948195761	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Treatment	-5.71012379910554	0.27683361083344354	-20.626555359063776	1.2759704229680119e-93	-6.2527382260884155	-5.167509372122665	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Control	-1.6659241938597518	0.097744768670706	-17.043614881038923	1.0370018743650532e-64	-1.8575111961863546	-1.474337191533149	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Treatment	-3.408800530457238	0.19369835034791846	-17.59850057749276	7.681807430443405e-69	-3.78846367564086	-3.029137385273616	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Control	1.9652225637019674	0.09716689900330781	20.225226737297298	4.041844908699537e-90	1.7747682288195452	2.1556768985843897	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Treatment	-0.5217199444941037	0.18689545955439105	-2.7915067906840765	0.005250949258651907	-0.8880489187342349	-0.15539097025397258	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Control	3.8751067035074858	0.1890579044212076	20.496930373638452	1.7528335860642796e-92	3.504539176807062	4.245674230207909	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Treatment	-1.5881352638474704	0.15764894440964014	-10.073871853659915	8.140493853616893e-24	-1.8971388973938268	-1.279131630301114	Event study
i(anio_fiscal, treatment, ref = 2014)2017:Control	5.873624749353792	0.2820959275436127	20.821373780540366	2.4140320408895096e-95	5.320695790989795	6.4265537077177886	Event study
anio_fiscal2013	0.5525004833878836	0.1826821318861196	3.02438162771333	0.0024950089931861557	0.19442547320751458	0.9105754935682526	Event study with fixed effects
anio_fiscal2014	2.1772887602648905	0.19916567583168307	10.932048161275235	9.945027012488958e-28	1.7869043769390647	2.5676731435907163	Event study with fixed effects
anio_fiscal2015	-0.3047667809662161	0.2803286592931596	-1.087176679454311	0.27697361502570933	-0.8542386230882546	0.24470506115582236	Event study with fixed effects
