term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.29129296777700503	0.05125432347044219	5.683285780661811	1.3694384831100248e-8	0.19082057719408502	0.39176535835992504	Linear model
treatmentTreatment	10.440686617859203	0.2585245728642229	40.38566431881371	1e-323	9.933908260418274	10.947464975300132	Linear model
postPost	-0.06641249713430611	0.05201293407219718	-1.2768458138147223	0.2016951162179437	-0.16837197047471927	0.035546976206107056	Linear model
treatmentTreatment:postPost	-2.828076638750832	0.35973136821172164	-7.86163478822996	4.305324706154236e-15	-3.5332477947556447	-2.1229054827460194	Linear model
postPost	-0.0727708710874002	0.05346695453836562	-1.361043876833922	0.17354817483569213	-0.17758417664723974	0.03204243447243933	Linear model with fixed effect
treatmentTreatment:postPost	-2.81756195922583	0.35447482987443635	-7.948552962769964	2.2171243415078497e-15	-3.512452457061115	-2.122671461390545	Linear model with fixed effect
(Intercept)	1.0273672589906941	0.34045121210389706	3.0176636841497504	0.00255567219753597	0.3599898844341233	1.694744633547265	Linear model assets weighted
treatmentTreatment	15.873922921412648	1.1011239162490445	14.416109474296801	1.6543352121554139e-46	13.715419258739612	18.032426584085684	Linear model assets weighted
postPost	-0.3815025303137269	0.3112640838939426	-1.225655480520254	0.22036596279539825	-0.9916651607216971	0.22866010009424337	Linear model assets weighted
treatmentTreatment:postPost	-1.2060541628101267	1.1298852206773267	-1.0674129909294143	0.2858189624587434	-3.4209378387001865	1.0088295130799332	Linear model assets weighted
treatmentTreatment:postPost	-1.2596794716711832	1.1318976568993784	-1.1128916682466143	0.2657549588131993	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	4035.9960941678223	297.0080386114295	13.588844642174974	1.401834783813531e-41	3453.779599998823	4618.212588336822	Event study
anio_fiscal	-2.00389346784973	0.14747171600387401	-13.58832406749162	1.4116049303368007e-41	-2.2929781198418993	-1.7148088158575612	Event study
treatmentTreatment	12.330526017579437	0.18919999746857377	65.17191428412966	0	11.959642590524956	12.701409444633919	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-3.7845233017513373	0.30125762283217256	-12.562415072430069	7.616447261699298e-36	-4.375070136197469	-3.193976467305206	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Treatment	-7.450782612166364	0.5479946633844135	-13.596451042333792	1.2665172264337808e-41	-8.525001118946928	-6.3765641053858	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Control	-1.8036664662506925	0.15712960964358677	-11.478845205190192	2.965808121060322e-30	-2.1116832151728273	-1.4956497173285577	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Treatment	-3.9836377887698617	0.3868483488731024	-10.297672977988105	1.0432438640366618e-24	-4.741965713188861	-3.2253098643508618	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Control	2.0720397578026657	0.15258612284467618	13.579477079392612	1.588393428394935e-41	1.7729294781051756	2.371150037500156	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Treatment	-0.22443259995797013	0.29666278606438246	-0.7565242777341923	0.44935804646166344	-0.8059723052815077	0.35710710536556733	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Control	4.061175079950871	0.30020114519088736	13.528179838782803	3.143907941761377e-41	3.4726992288739194	4.649650931027823	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Treatment	-1.7998483084851482	0.28503514947479935	-6.314478448715944	2.8609931966933434e-10	-2.3585946852432085	-1.241101931727088	Event study
i(anio_fiscal, treatment, ref = 2014)2017:Control	6.101895556552608	0.44688239903898846	13.654365375934722	5.836930556523072e-42	5.22588457418757	6.9779065389176465	Event study
anio_fiscal2013	1.7139295944047317	0.3217616454086386	5.326705711701698	1.0345639415003212e-7	1.0831678448893656	2.344691343920098	Event study with fixed effects
anio_fiscal2014	3.7313571168146953	0.41139203201289287	9.070076293304961	1.559864326302597e-19	2.924889467385628	4.537824766243762	Event study with fixed effects
anio_fiscal2015	1.4610959178535077	0.49265938991730335	2.965732406112799	0.0030308973859665845	0.49531673586071123	2.426875099846304	Event study with fixed effects
anio_fiscal2016	-2.1781111905983797	0.5206603318207352	-4.183363043966847	2.9110776901086372e-5	-3.1987816977541117	-1.1574406834426474	Event study with fixed effects
anio_fiscal2017	-2.4197328178707087	0.5527284503523512	-4.377796757753625	1.218123776192242e-5	-3.503267693223525	-1.3361979425178925	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012:Control	3.929950249467012	0.41579573380137946	9.451636777361216	4.5890037511897115e-21	3.1148498537672635	4.745050645166761	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013:Control	2.212086868695322	0.3360988259521777	6.581656042470294	5.0252049783863724e-11	1.5532193918137396	2.8709543455769047	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015:Control	2.3351531080777352	0.31621376233218546	7.384729528706076	1.7240338620773415e-13	1.715267087491981	2.9550391286634894	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016:Control	5.940790524212402	0.42879630781915523	13.85457480832118	5.038765037728645e-43	5.100204602412294	6.78137644601251	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017:Control	6.214008564752889	0.4401409845750177	14.118222984285099	1.3835104951780208e-44	5.351183236049183	7.076833893456595	Event study with fixed effects
(Intercept)	2386.7359124443965	1208.94109330059	1.97423673135988	0.04835483119494383	17.25491014476347	4756.216914744029	Event study assets weighted
anio_fiscal	-1.1847163845707955	0.6002686470105569	-1.9736436185212918	0.04842228030900924	-2.3612213137600735	-0.008211455381517352	Event study assets weighted
treatmentTreatment	17.2939333630708	0.614692971117257	28.134262429644508	3.7337237551808157e-174	16.089157278131054	18.498709448010544	Event study assets weighted
anio_fiscal::2012:treatment::Control	-1.9153502454727813	1.2269849425948844	-1.5610218014755015	0.11851860698259428	-4.320196542531701	0.4894960515861375	Event study assets weighted
anio_fiscal::2012:treatment::Treatment	-4.251873944235664	1.9589814640633125	-2.1704513402676313	0.029972671080907464	-8.091407060181302	-0.41234082829002583	Event study assets weighted
anio_fiscal::2013:treatment::Control	-0.7033956030221987	0.6396464424133063	-1.099663120720839	0.2714789288579571	-1.9570795929914526	0.5502883869470551	Event study assets weighted
anio_fiscal::2013:treatment::Treatment	-2.6447892122871166	1.2766425719237633	-2.0716755577888204	0.038295708261799295	-5.146962674388277	-0.14261575018595574	Event study assets weighted
anio_fiscal::2015:treatment::Control	1.4745758624939795	0.6336852973335764	2.3269844964033504	0.019966090419149162	0.23257550218761458	2.7165762228003443	Event study assets weighted
anio_fiscal::2015:treatment::Treatment	0.10750647602256105	0.4174319079855782	0.2575425451814653	0.7967599763100426	-0.7106450296270099	0.925657981672132	Event study assets weighted
anio_fiscal::2016:treatment::Control	2.128324844286859	1.2513139171406624	1.700872031496482	0.08896701954400466	-0.32420536666257593	4.580855055236294	Event study assets weighted
anio_fiscal::2016:treatment::Treatment	-1.0473389190896036	0.6894696853232061	-1.519049990716615	0.1287499132181292	-2.3986746707552515	0.30399683257604426	Event study assets weighted
anio_fiscal::2017:treatment::Control	3.2886054145674124	1.8345072516370413	1.7926369119733878	0.07303100021503019	-0.3069627280187457	6.88417355715357	Event study assets weighted
anio_fiscal::2012:treatment::Control	0.23091634842911657	33554432	6.881843460473912e-9	0.9999999945090834	-65765478.01078193	65765478.47261463	Event study assets weighted with fixed effects
anio_fiscal::2012:treatment::Treatment	-1.918895995986204	27397079.002971932	-7.004016726666553e-8	0.9999999441160319	-53697290.04631951	53697286.20852751	Event study assets weighted with fixed effects
anio_fiscal::2013:treatment::Control	1.9628902585748649	0.8445194241092147	2.3242689303982433	0.020111084929327925	0.307662603076297	3.6181179140734328	Event study assets weighted with fixed effects
anio_fiscal::2015:treatment::Control	1.5631670214160758	0.6812949078419707	2.2944058489552943	0.021767197509402415	0.2278535391952783	2.8984805036368733	Event study assets weighted with fixed effects
anio_fiscal::2016:treatment::Control	3.1790514327653434	1.9120788219029161	1.662615262691695	0.09638947395799465	-0.5685541937661478	6.926657059296835	Event study assets weighted with fixed effects
anio_fiscal::2017:treatment::Control	3.297039323243527	1.8387278798385918	1.793108898491793	0.07295551306351034	-0.3068010986098044	6.900879745096859	Event study assets weighted with fixed effects
