term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	11.351465972952381	0.053939082149817234	210.44974294192443	0	11.245742939166252	11.45718900673851	Linear model
treatmentTreatment	0.5311638537237942	0.13486264212802038	3.9385544087114868	8.216405994243144e-5	0.2668269925479758	0.7955007148996125	Linear model
postPost	-2.201317962553148	0.07191195849847708	-30.611292037050646	1.3680814447952918e-202	-2.3422686445993186	-2.060367280506977	Linear model
treatmentTreatment:postPost	-0.9345212574251243	0.21167047554062285	-4.414981612519575	1.013802093604121e-5	-1.3494049362936393	-0.5196375785566092	Linear model
postPost	-2.2297560182980405	0.0707897697428991	-31.49828042097434	2.0499680655751268e-213	-2.3685084258088853	-2.0910036107871957	Linear model with fixed effect
treatmentTreatment:postPost	-0.9681662112507611	0.2095458333300365	-4.620307623706795	3.851649748085883e-6	-1.378889243180461	-0.5574431793210612	Linear model with fixed effect
(Intercept)	16.712876215556506	0.5360414568548015	31.178327724162482	5.982732985083359e-210	15.662210574300715	17.763541856812296	Linear model assets weighted
treatmentTreatment	-0.12370552563052054	0.9519316760026706	-0.12995210554394188	0.8966052175234891	-1.9895349162665528	1.7421238650055115	Linear model assets weighted
postPost	-0.5710436710308773	0.3883566398466377	-1.4704104743938016	0.14146142593395095	-1.332240352411691	0.1901530103499366	Linear model assets weighted
treatmentTreatment:postPost	-1.7165396321985165	1.0142941323760446	-1.6923489719667606	0.09059015869460753	-3.7046022743451035	0.27152300994807055	Linear model assets weighted
treatmentTreatment:postPost	-1.7646923231791543	1.0183154806536536	-1.7329524658177675	0.08310411784634772	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	3826.380894277985	158.4366151383154	24.15086241862431	1.3034609401756082e-127	3515.837979246746	4136.9238093092245	Event study
anio_fiscal	-1.8938254843205764	0.07866763112350404	-24.073757621446234	8.093594275050514e-127	-2.0480175911537604	-1.7396333774873924	Event study
treatmentTreatment	0.9767242431159354	0.0981153194076253	9.954859740690265	2.6158965904758706e-23	0.784413789680247	1.1690346965516238	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-5.409940736228499	0.17474884278783775	-30.958378035136395	4.340111321191828e-207	-5.752456353532591	-5.067425118924407	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Treatment	-6.161650994602863	0.2502418567332926	-24.62278323474055	1.6158215403336914e-132	-6.652136325818407	-5.671165663387319	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Control	-3.0050491147984184	0.09954571108137758	-30.18763020680843	3.6708097632130165e-197	-3.200163200460254	-2.8099350291365828	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Treatment	-3.5597535425395175	0.17499532681302643	-20.341992025552386	2.347796447189749e-91	-3.9027522796554273	-3.2167548054236077	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Control	0.7431907010806748	0.0979153423000238	7.590135351857868	3.290794049428945e-14	0.551272211799736	0.9351091903616136	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Treatment	-0.44486282260071847	0.1582684109987707	-2.8108124659454234	0.004944943817390412	-0.7550760499283361	-0.13464959527310083	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Control	0.026561404670293488	0.18095642865415346	0.14678342663944827	0.8833039786217546	-0.32812136104547995	0.38124417038606695	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Treatment	-1.646892852849932	0.13825983869743316	-11.911577999551847	1.2258572303554841e-32	-1.9178883755917362	-1.3758973301081279	Event study
i(anio_fiscal, treatment, ref = 2014)2017:Control	1.252076933236814	0.25476832012655165	4.914570746531072	8.94582367511802e-7	0.7527195295164526	1.7514343369571754	Event study
anio_fiscal2013	0.8509021432912637	0.15932062323288687	5.340816060250139	9.337229740506491e-8	0.5386236814049322	1.1631806051775953	Event study with fixed effects
anio_fiscal2014	2.577391419858894	0.18333335699193812	14.058496839569854	1.0290055806195268e-44	2.2180464865277365	2.936736353190051	Event study with fixed effects
anio_fiscal2015	0.15189663056757413	0.24519302157593503	0.619498179806608	0.5355941124816914	-0.32869714373037784	0.6324904048655261	Event study with fixed effects
