term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	7.369682281151166	0.06892123550407252	106.92905063658785	0	7.234593660336014	7.504770901966319	Linear model
treatmentTreatment	0.011856942343639383	0.1696629613029104	0.06988527285263169	0.9442854434976389	-0.32068984498826386	0.3444037296755426	Linear model
postPost	-0.8861949050375462	0.06362386855596672	-13.928654845280354	5.827159446172844e-44	-1.0109004561102957	-0.7614893539647966	Linear model
treatmentTreatment:postPost	0.2121314417276232	0.15205078088355126	1.395135496805406	0.16298537073087566	-0.08589470555774051	0.5101575890129869	Linear model
postPost	-0.9248874146165414	0.06288204996771316	-14.708289807527358	9.200489320450013e-49	-1.0481400454166903	-0.8016347838163925	Linear model with fixed effect
treatmentTreatment:postPost	0.19921071597046064	0.15044618913806979	1.3241326823349306	0.1854713127666938	-0.09567293706955232	0.4940943690104736	Linear model with fixed effect
(Intercept)	13.401735414651435	0.5183573173623545	25.85424178604396	8.985991450242186e-146	12.385732311222707	14.417738518080164	Linear model assets weighted
treatmentTreatment	0.5273918834684282	1.3556936464124958	0.3890199565838779	0.6972641742850283	-2.1298271928677672	3.184610959804624	Linear model assets weighted
postPost	-0.4807749333963294	0.25850480428140626	-1.8598297804669102	0.06291949791644189	-0.987455700897768	0.02590583410510927	Linear model assets weighted
treatmentTreatment:postPost	0.0454268958413326	0.4500286421339929	0.10094223253418404	0.9195969993736626	-0.8366490037843476	0.9275027954670129	Linear model assets weighted
treatmentTreatment:postPost	0.03808799047112977	0.45480459622059904	0.083745834557607507	0.9332585144081879	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	820.7480748983197	129.8573683905684	6.320381238820261	2.6460486052211747e-10	566.2219791133291	1075.2741706833103	Event study
anio_fiscal	-0.40373706093866507	0.06447733106501317	-6.261690027640454	3.86013697399055e-10	-0.530115437044784	-0.2773586848325461	Event study
treatmentTreatment	0.35566262887077793	0.19069122474611738	1.8651232081827587	0.062173949862308855	-0.018100473959916985	0.7294257317014728	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-1.2414630368012	0.15741314275202054	-7.886654285004197	3.209452526113978e-15	-1.5499996500599296	-0.9329264235424705	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Treatment	-1.7358742413037165	0.26707740081077946	-6.499517503293207	8.184874648780557e-11	-2.2593575749279955	-1.2123909076794377	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Control	-0.7587158520780094	0.10090319862468508	-7.519244805113604	5.6641230349613635e-14	-0.9564905145131359	-0.5609411896428829	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Treatment	-1.2973569922931696	0.20562133767704766	-6.309447292531577	2.839629843688522e-10	-1.700383766496822	-0.8943302180895171	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Control	-0.39477994765998353	0.09812452338997224	-4.023254677029369	5.7540829871235486e-5	-0.58710828565691	-0.2024516096630571	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Treatment	-0.5683526266095948	0.1501624733767768	-3.784917854832649	1.5406021227581422e-4	-0.8626776122126802	-0.27402764100650945	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Control	-0.7242997284598033	0.15503978122189258	-4.671702467273139	3.000159623020371e-6	-1.0281844497878965	-0.42041500713171004	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Treatment	-0.8243490073533334	0.15298511768501	-5.388426141231814	7.161552079269633e-8	-1.1242064986930473	-0.5244915160136193	Event study
i(anio_fiscal, treatment, ref = 2014)2017:Control	0.1182950962098892	0.2126156400944418	0.5563800299796556	0.5779552625271815	-0.2984408152502993	0.5350310076700777	Event study
anio_fiscal2013	0.17764778897400985	0.17099021942244363	1.0389353822344551	0.29884502656365297	-0.15750341450227845	0.5127989924502981	Event study with fixed effects
anio_fiscal2014	1.1738329731033361	0.1949993544269731	6.019676201250883	1.7724698891287543e-9	0.7916224084637475	1.5560435377429247	Event study with fixed effects
anio_fiscal2015	0.15544414378740007	0.2111071186694638	0.7363282904295768	0.4615379724258588	-0.25833861597199004	0.5692269035467902	Event study with fixed effects
anio_fiscal2016	-0.6332890393624268	0.22170141175020294	-2.8564952941119333	0.004287061135970071	-1.0678372562806149	-0.19874082244423857	Event study with fixed effects
anio_fiscal2017	-0.30526519650216744	0.22700261422246767	-1.3447651144801385	0.17871352881910074	-0.7502040918723292	0.13967369886799424	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012:Control	0.3567280327257936	0.21423906632994547	1.6650932943126424	0.09590691060267653	-0.06319353445299558	0.7766495999045828	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013:Control	0.48811615960692833	0.1894228418938365	2.576860080478028	0.009976016100363494	0.11683589784076848	0.8593964213730882	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015:Control	0.15034320693547112	0.1804374382273748	0.8332151487654076	0.4047315104056275	-0.20332511852984778	0.50401153240079	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016:Control	0.08313289638834451	0.20216042919131233	0.4112223975824299	0.6809130576701081	-0.31311380922795384	0.4793796020046429	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017:Control	0.023723509424503405	0.20917845374069743	0.1134127774646983	0.9097042379266422	-0.38627895006881363	0.43372596891782045	Event study with fixed effects
(Intercept)	-4.12432861328125	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal	0.008798480033874512	NA	NA	NA	NA	NA	Event study assets weighted
treatmentTreatment	0.72219170162907	1.2667776768698247	0.5701013799150513	0.5686089392913233	-1.7606469214551042	3.205030324713244	Event study assets weighted
anio_fiscal::2012:treatment::Control	-0.8201853632926941	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2012:treatment::Treatment	-0.9447274804115295	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2013:treatment::Control	-0.5234878063201904	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2013:treatment::Treatment	-0.9779043942689896	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2015:treatment::Control	-0.6571968048810959	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2015:treatment::Treatment	-0.7988980859518051	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2016:treatment::Control	-1.5519874691963196	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2016:treatment::Treatment	-1.4929340779781342	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2017:treatment::Control	-0.6462772488594055	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2017:treatment::Treatment	-1.0149826407432556	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2012:treatment::Control	0.06402183316541879	0.7356700058130318	0.08702520513210883	0.9306514773102095	-1.3778648827344955	1.505908549065333	Event study assets weighted with fixed effects
anio_fiscal::2013:treatment::Control	0.445944994476837	0.6353570577844462	0.7018809172151041	0.48275343049651415	-0.7993319561040113	1.6912219450576853	Event study assets weighted with fixed effects
anio_fiscal::2015:treatment::Control	-0.15540222032814188	10917685.493910357	-1.423398946734835e-8	0.9999999886429196	-21398270.518001907	21398270.207197465	Event study assets weighted with fixed effects
anio_fiscal::2015:treatment::Treatment	-0.2990765531321581	7817624.595636529	-3.8256704382951584e-8	0.9999999694755662	-15322262.95117865	15322262.353025543	Event study assets weighted with fixed effects
anio_fiscal::2016:treatment::Control	0.3437252031641291	NA	NA	NA	NA	NA	Event study assets weighted with fixed effects
