term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.007087526642054545	8.567030573254132e-4	8.273025970260305	1.360865179709133e-16	0.005408350010484788	0.008766703273624303	Linear model
treatmentTreatment	0.6622345671840117	0.011302674974131269	58.59095910478586	0	0.6400808144589524	0.6843883199090711	Linear model
postPost	0.003185987799205127	0.00130792081796729	2.435917951177382	0.014859982455458862	6.224040058534341e-4	0.00574957159255682	Linear model
treatmentTreatment:postPost	-0.18859748070285645	0.01270360455300784	-14.845981698808636	1.1207483604502406e-49	-0.2134971185875515	-0.1636978428181614	Linear model
postPost	0.003187847556785095	0.0013342563875783054	2.3892316247937058	0.016891339845714302	5.726209967102406e-4	0.00580307411685995	Linear model with fixed effect
treatmentTreatment:postPost	-0.1863926181240578	0.012586720546906358	-14.808672158044418	2.1297346844661626e-49	-0.21106338319212276	-0.16172185305599285	Linear model with fixed effect
(Intercept)	0.012807945451074875	0.004445392991836191	2.88117281747558	0.003964877467412755	0.0040947729554133925	0.021521117946736355	Linear model assets weighted
treatmentTreatment	0.3626070136709358	0.10478371758245954	3.4605282388991614	5.398892916413697e-4	0.15722616034495604	0.5679878669969155	Linear model assets weighted
postPost	0.01398989780155796	0.006851288430661621	2.04193677483331	0.04116679831287187	5.610607958050334e-4	0.027418734807310885	Linear model assets weighted
treatmentTreatment:postPost	-0.10709874049786441	0.03355510724645302	-3.1917269615994273	0.0014157515180176362	-0.17286827720377448	-0.041329203791954344	Linear model assets weighted
treatmentTreatment:postPost	-0.10628943370516288	0.03401031972601262	-3.1252112465108035	0.0017767741366684238	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	212.03265380532983	10.272655042852087	20.640491958587305	5.567288436505793e-94	191.89778637375358	232.16752123690608	Event study
anio_fiscal	-0.10527926768574035	0.00510062316977811	-20.64047160149654	5.569599970819048e-94	-0.11527671926116041	-0.09528181611032029	Event study
treatmentTreatment	0.7322949016157452	0.010656860193209463	68.71582139009035	0	0.7114069747524344	0.7531828284790559	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-0.19762835938722728	0.010336953055719668	-19.118627928553384	5.520272973219706e-81	-0.21788925382543445	-0.17736746494902011	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Treatment	-0.32318551236448206	0.015731633297289663	-20.5436718652832	3.991477685625637e-93	-0.3540202235079758	-0.29235080122098833	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Control	-0.09646635789783849	0.005258790519925035	-18.343829732775443	9.7213332959903e-75	-0.10677382461675625	-0.08615889117892073	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Treatment	-0.18733776511434572	0.011049022352804087	-16.955144005732055	3.575504493311386e-64	-0.20899434750655135	-0.16568118272214008	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Control	0.11097912615773999	0.0052104630864876645	21.299282677108497	6.629851999342212e-100	0.10076638338910682	0.12119186892637315	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Treatment	-0.026175307622232292	0.009825808979861022	-2.6639341021061167	0.007727503659953838	-0.04543433660667726	-0.006916278637787321	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Control	0.21976076342110376	0.010293982698952913	21.348468308913855	2.3550324319662697e-100	0.19958409282117182	0.2399374340210357	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Treatment	-0.09431864929068187	0.00856542878330618	-11.011550230212258	3.81855908262466e-28	-0.11110727621595579	-0.07753002236540796	Event study
i(anio_fiscal, treatment, ref = 2014)2017:Control	0.3315496075605697	0.015411788252475831	21.51272792807206	7.30435132658521e-102	0.3013418071377328	0.36175740798340666	Event study
anio_fiscal2013	0.03292704516391269	0.009323141986758985	3.531754124379603	4.135886552035288e-4	0.014653099327552196	0.051200991000273186	Event study with fixed effects
anio_fiscal2014	0.11658870037997307	0.010698094631239241	10.898080863813384	1.3665335249944505e-27	0.0956197607112246	0.13755764004872154	Event study with fixed effects
anio_fiscal2015	-0.01433111426915436	0.014757671464226947	-0.9710959011313828	0.33151032967795246	-0.04325708036417847	0.014594851825869748	Event study with fixed effects
anio_fiscal2016	-0.1865120831094785	0.016983229726203343	-10.982132734253128	5.432372548262305e-28	-0.21980028365215787	-0.15322388256679914	Event study with fixed effects
anio_fiscal2017	-0.20077523648432394	0.01765454984085977	-11.372435904293	6.844556215076128e-30	-0.23537926675817267	-0.1661712062104752	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012:Control	0.12873191396741449	0.010823724899612294	11.89349462974855	1.579841229953832e-32	0.10751673105546355	0.14994709687936542	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013:Control	0.092231363109117	0.009544657894838984	9.66313975056022	4.744021100137864e-22	0.07352323213303696	0.11093949408519704	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015:Control	0.13647754050655878	0.01102915688263707	12.374249632935408	4.611000174553814e-35	0.11485969796160188	0.15809538305151566	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016:Control	0.3118405510136191	0.01471950699626265	21.185529589598133	1.0453875796107046e-98	0.28298938968092124	0.340691712346317	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017:Control	0.3325430249724176	0.01530995636726136	21.720703638550134	1.3076714562012175e-103	0.3025345456625756	0.36255150428225963	Event study with fixed effects
(Intercept)	-0.026504993438720703	644235.4056523573	-4.114178327700192e-8	0.9999999671736063	-1262678.2191491653	1262678.1661391784	Event study assets weighted
anio_fiscal	1.4567282050848007e-5	320.3415877710465	4.547421442282258e-8	0.9999999637168264	-627.8579602143456	627.8579893489097	Event study assets weighted
treatmentTreatment	0.4018665241993407	0.11329113227294808	3.547201940140723	3.89346030790276e-4	0.17981998517659914	0.6239130632220823	Event study assets weighted
anio_fiscal::2012:treatment::Control	0.02093337196856737	643.1993168949399	3.2545699938898766e-5	0.9999740322885028	-1260.6265626228785	1260.6684293668156	Event study assets weighted
anio_fiscal::2012:treatment::Treatment	-0.05171463964506984	639.8791625436365	-8.081938383412064e-5	0.9999355154614954	-1254.1918276828235	1254.0883984035333	Event study assets weighted
anio_fiscal::2013:treatment::Control	0.016305346740409732	321.82424157249386	5.066537766309566e-5	0.9999595748774127	-630.7476174872654	630.7802281807462	Event study assets weighted
anio_fiscal::2013:treatment::Treatment	-0.029488940490409732	321.62211886462666	-9.168816061068817e-5	0.9999268434323428	-630.3972585466188	630.338280665638	Event study assets weighted
anio_fiscal::2015:treatment::Control	0.011946244165301323	321.1000032385105	3.720412346563494e-5	0.9999703154042954	-629.3324955390099	629.3563880273405	Event study assets weighted
anio_fiscal::2015:treatment::Treatment	-0.07187939598225057	321.25005479857174	-2.2374905438481545e-4	0.9998214740855017	-629.7104168327015	629.566658040737	Event study assets weighted
anio_fiscal::2016:treatment::Control	0.02109622862190008	642.440451343197	3.2837640559203056e-5	0.9999737993535893	-1259.1390506157009	1259.1812430729447	Event study assets weighted
anio_fiscal::2016:treatment::Treatment	-0.1478909570723772	643.6553059007034	-2.2976732377809735e-4	0.9998166722013936	-1261.6891089805622	1261.3933270664174	Event study assets weighted
anio_fiscal::2017:treatment::Control	0.045990465208888054	964.89717683332	4.7663591844908695e-5	0.999961969955969	-1891.1177249124737	1891.2097058428915	Event study assets weighted
anio_fiscal::2017:treatment::Treatment	-0.13979650661349297	961.8803106662197	-1.4533669632624748e-4	0.9998840380942914	-1885.390562850602	1885.110969837375	Event study assets weighted
anio_fiscal::2012:treatment::Control	0.03231226323589195	NA	NA	NA	NA	NA	Event study assets weighted with fixed effects
anio_fiscal::2012:treatment::Treatment	-0.02466057408932583	NA	NA	NA	NA	NA	Event study assets weighted with fixed effects
anio_fiscal::2013:treatment::Control	0.04632134230510909	0.013981032446485688	3.3131560549916723	9.224949213240655e-4	0.01891902224331123	0.07372366236690696	Event study assets weighted with fixed effects
anio_fiscal::2015:treatment::Control	0.08689584075630288	0.030194915521995186	2.877830232477533	0.004004205638002633	0.027714893816962884	0.1460767876956429	Event study assets weighted with fixed effects
anio_fiscal::2016:treatment::Control	0.1661025569677273	0.05226559129329227	3.1780479825748147	0.0014827021099321552	0.06366388040218425	0.26854123353327036	Event study assets weighted with fixed effects
anio_fiscal::2017:treatment::Control	0.5625	2568476.1565286214	2.1900144899933077e-7	0.999999825262125	-5034120.199445959	5034121.324445959	Event study assets weighted with fixed effects
anio_fiscal::2017:treatment::Treatment	0.375	2965820.8007578654	1.264405455326819e-7	0.9999998991150408	-5812901.579085158	5812902.329085158	Event study assets weighted with fixed effects
