term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.003890428574854014	0.001000521190032368	3.8884019785009794	1.0175312871687506e-4	0.001929135380741491	0.005851721768966537	Linear model
treatmentTreatment	0.23823897364181876	0.009908954090937562	24.042797196901446	3.10922728634243e-123	0.21881473314302377	0.25766321414061377	Linear model
postPost	0.0011334983964474813	0.00148097558245434	0.7653727785092825	0.44407301033332724	-0.0017696158598538353	0.004036612652748798	Linear model
treatmentTreatment:postPost	-0.057627224834772	0.011459220753041758	-5.028895600905089	5.044330999263671e-7	-0.08009040891990536	-0.035164040749638636	Linear model
postPost	0.0011849870201443905	0.0014885103542226353	0.7960892020554617	0.4260099819859735	-0.001732996469529999	0.00410297050981878	Linear model with fixed effect
treatmentTreatment:postPost	-0.05630536501325462	0.011548681512028054	-4.875479937221586	1.1118693149673362e-6	-0.07894468484331703	-0.03366604518319222	Linear model with fixed effect
(Intercept)	0.005647511826893808	0.002219832970311805	2.544115662044852	0.010974912469073816	0.001296032827815664	0.009998990825971952	Linear model assets weighted
treatmentTreatment	0.1349461273157827	0.04621016623709691	2.920269246022529	0.0035074716155133892	0.04436157856192202	0.2255306760696434	Linear model assets weighted
postPost	-0.0018160447421018998	0.0024329243254859263	-0.7464452235846598	0.4554213754189046	-0.006585241006094369	0.002953151521890569	Linear model assets weighted
treatmentTreatment:postPost	-0.024185013858997195	0.014548712829895477	-1.6623473252768126	0.09648399447774339	-0.05270446518240754	0.004334437464413147	Linear model assets weighted
treatmentTreatment:postPost	-0.025227162639691516	0.014998583875090944	-1.681969634585822	0.09257472826787698	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	65.48453576472714	11.129381101708853	5.883933272324763	4.173876727713576e-9	43.66792340096235	87.30114812849193	Event study
anio_fiscal	-0.03251449059806593	0.005526008494182645	-5.883901668318946	4.174670666209641e-9	-0.043346969433564086	-0.021682011762567774	Event study
treatmentTreatment	0.26629784763310776	0.008598642864045412	30.96975323240979	1.3809488683913131e-198	0.24944217016955797	0.2831535250966576	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-0.05936981291048401	0.011166719144658386	-5.316674677797698	1.0864479756060146e-7	-0.08125961798838152	-0.037480007832586495	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Treatment	-0.11807052059293092	0.020829271155892476	-5.668490256296341	1.492601679837702e-8	-0.1589015542753051	-0.07723948691055674	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Control	-0.027215520830488303	0.005720937891965467	-4.757178166312556	1.998881875084148e-6	-0.03843011427513368	-0.016000927385842925	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Treatment	-0.055580619051623835	0.013448561970507021	-4.132829902075278	3.621185909163535e-5	-0.0819434563629969	-0.029217781740250772	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Control	0.03486473942507468	0.00560857222714885	6.216330647630507	5.354097223386009e-10	0.023870413228886136	0.045859065621263226	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Treatment	-0.006212810168283112	0.010642755431007426	-0.5837595544272521	0.5593991767054671	-0.027075503933436877	0.014649883596870653	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Control	0.0695632644413406	0.011172445042133524	6.226324155456002	5.025251562277899e-10	0.04766223504786722	0.09146429383481398	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Treatment	-0.043303997269438	0.010407710500018668	-4.160761126989487	3.2063521075699666e-5	-0.06370593907537794	-0.02290205546349805	Event study
i(anio_fiscal, treatment, ref = 2014)2017:Control	0.10490904181185143	0.016728672103927495	6.27121155583062	3.7756754320833635e-10	0.07211629697576402	0.13770178664793883	Event study
anio_fiscal2013	0.03357425732673391	0.011525119123930479	2.9131375533482453	0.0035906775010156647	0.010981122297383326	0.05616739235608449	Event study with fixed effects
anio_fiscal2014	0.0583252715364997	0.013454337478882798	4.335053407724007	1.4798081472163884e-5	0.031950215441879065	0.08470032763112033	Event study with fixed effects
anio_fiscal2015	0.01795994665919167	0.016420940100719008	1.0937221955036105	0.27411842220303045	-0.014230654844795021	0.05015054816317836	Event study with fixed effects
anio_fiscal2016	-0.049923505053250244	0.0161684271381307	-3.087715621732524	0.002025735595953025	-0.08161909566849279	-0.018227914438007697	Event study with fixed effects
anio_fiscal2017	-0.03996818680358198	0.016827911743327022	-2.3751126945047747	0.017573188203651387	-0.07295659049734976	-0.00697978310981421	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012:Control	0.06348809641681284	0.013542938399026063	4.687911481704633	2.8178539099453135e-6	0.03693935252504267	0.09003684030858301	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013:Control	0.02988148208435616	0.010541056745373908	2.834771010740462	0.004600374775320439	0.009217442447162376	0.05054552172154994	Event study with fixed effects
