term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.24061780666280144	0.004397932339642244	54.71157536779541	0	0.2319966651499179	0.24923894817568498	Linear model
treatmentTreatment	0.0015115955538711268	0.010794819933128617	0.14002971455152632	0.8886401682477215	-0.01964918252603183	0.022672373633774084	Linear model
postPost	-0.04447224281383412	0.006128235351836698	-7.256941070402153	4.3446056539065244e-13	-0.056485248042727115	-0.032459237584941125	Linear model
treatmentTreatment:postPost	-0.012021483624486124	0.01291029512128255	-0.93115482733379	0.3518026170057029	-0.03732916746728051	0.013286200218308264	Linear model
postPost	-0.042100041470875184	0.006103663020141929	-6.897504225240834	5.8051300885620215e-12	-0.054065284351978035	-0.030134798589772332	Linear model with fixed effect
treatmentTreatment:postPost	-0.013020336522245005	0.012977329611868486	-1.0033140030855952	0.3157476542520743	-0.03846028958677771	0.012419616542287702	Linear model with fixed effect
(Intercept)	0.22388652316415353	0.023526233883965922	9.516462527253086	2.349336262787199e-21	0.17776867824400236	0.27000436808430467	Linear model assets weighted
treatmentTreatment	-0.0832928840214788	0.05180671275044496	-1.6077623844366271	0.10792836794386979	-0.18484819271354208	0.01826242467058449	Linear model assets weighted
postPost	0.024025629293158823	0.018758840904532212	1.2807629967880443	0.20031563066332436	-0.012746823109714596	0.06079808169603224	Linear model assets weighted
treatmentTreatment:postPost	-0.05002668789425785	0.02361440315389691	-2.1184819945789024	0.034166315410188164	-0.09631736866809706	-0.003736007120418626	Linear model assets weighted
treatmentTreatment:postPost	-0.050976683369512825	0.023942145351603494	-2.129161051396705	0.033240938089696935	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	65.73693048102731	11.129385973939021	5.906608921189302	3.640539833920506e-9	43.92030856636694	87.55355239568769	Event study
anio_fiscal	-0.03251449059880301	0.005526010631169262	-5.883899393064176	4.1747278295842025e-9	-0.04334697362337585	-0.021682007574230163	Event study
treatmentTreatment	0.013903132818452374	0.00938181012174286	1.4819243448800035	0.13840131040753503	-0.004487765365911313	0.03229403100281606	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-0.08476139404799743	0.012309672724865595	-6.88575528712303	6.1999772637843236e-12	-0.10889169884293035	-0.06063108925306451	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Treatment	-0.11807052059547872	0.02082927774186417	-5.668488464108966	1.492617224629453e-8	-0.15890156718814777	-0.07723947400280967	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Control	-0.05036525033635597	0.00702071985021929	-7.173801463504177	7.971949127154579e-13	-0.06412776975114219	-0.036602730921569744	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Treatment	-0.0555806190534198	0.013448567135838271	-4.132828314869796	3.6212108693214915e-5	-0.08194346649024625	-0.02921777161659335	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Control	0.019315014737329272	0.00743121325147786	2.5991737935239656	0.009362653895676296	0.00474781666779139	0.03388221280686715	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Treatment	-0.006212810168592818	0.010642755638102436	-0.5837595430971052	0.5593991843289803	-0.027075504339709094	0.01464988400252346	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Control	-0.008065420315678936	0.013123205941701055	-0.614592223234857	0.5388421946440622	-0.03379047136600072	0.017659630734642842	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Treatment	-0.043303997269020095	0.01040771086055295	-4.1607609828161	3.206354127336923e-5	-0.06370593978170525	-0.022902054756334944	Event study
i(anio_fiscal, treatment, ref = 2014)2017:Control	0.010639607824465398	0.018298873946900517	0.5814351120915583	0.560964242878379	-0.02523115946659495	0.04651037511552575	Event study
anio_fiscal2013	0.03357425732673556	0.011525119123930503	2.9131375533483825	0.00359067750101409	0.010981122297384929	0.056167392356086185	Event study with fixed effects
anio_fiscal2014	0.05832527153650318	0.013454337478882795	4.335053407724267	1.479808147214642e-5	0.03195021544188256	0.0847003276311238	Event study with fixed effects
anio_fiscal2015	0.01795994665919233	0.016420940100719	1.0937221955036511	0.2741184222030126	-0.014230654844794348	0.05015054816317901	Event study with fixed effects
anio_fiscal2016	-0.04992350505324489	0.0161684271381307	-3.087715621732192	0.002025735595955284	-0.08161909566848743	-0.01822791443800234	Event study with fixed effects
anio_fiscal2017	-0.03996818680358347	0.016827911743327033	-2.3751126945048617	0.017573188203647238	-0.07295659049735126	-0.006979783109815681	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012:Control	0.03637632595402783	0.014494729723890806	2.5096243011741626	0.012110712260104333	0.007961748859910682	0.06479090304814497	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013:Control	0.005018603113490474	0.011294934417162247	0.4443233513480952	0.6568239982807027	-0.017123291967206758	0.027160498194187706	Event study with fixed effects
