term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.15803316123239228	0.0014069105143357332	112.32637727994161	0	0.15527551537847548	0.16079080708630908	Linear model
treatmentTreatment	-0.009008244356171043	0.0036082812740048276	-2.4965471569717184	0.01254816532329375	-0.016080735316779886	-0.0019357533955622003	Linear model
postPost	-0.013270670115597733	0.001568507525299793	-8.460699041313987	2.821568427647777e-17	-0.01634505774004624	-0.010196282491149226	Linear model
treatmentTreatment:postPost	0.009548334550900291	0.003768540767514097	2.533695438088311	0.01129356812068056	0.0021617234502231937	0.01693494565157739	Linear model
postPost	-0.01365838594139106	0.0015569003144282438	-8.772806977309248	1.8951185679780014e-18	-0.016710058982649864	-0.010606712900132254	Linear model with fixed effect
treatmentTreatment:postPost	0.009257123445940596	0.0037586074674065034	2.4629130671972383	0.01379059201334409	0.001889894488079723	0.01662435240380147	Linear model with fixed effect
(Intercept)	0.1969235978044689	0.005708906813094335	34.49409917723506	6.141188864227336e-254	0.18573372671581498	0.2081134688931228	Linear model assets weighted
treatmentTreatment	-0.0303072732838216	0.010996019102671376	-2.7562041317715376	0.005852492951285524	-0.051860267626809745	-0.00875427894083346	Linear model assets weighted
postPost	-9.140364018709785e-4	0.003245431928124162	-0.2816378288357092	0.7782238955648869	-0.007275318183422247	0.0054472453796802905	Linear model assets weighted
treatmentTreatment:postPost	-7.284275464120274e-4	0.009219110767809683	-0.07901277734458662	0.9370231829453339	-0.018798552777252252	0.017341697684428198	Linear model assets weighted
treatmentTreatment:postPost	-9.465659339759724e-4	0.009301371220724473	-0.10176627848880174	0.9189421925151622	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	10.002574919480553	3.3014496272476266	3.0297523963191777	0.0024503886183193497	3.531495937254083	16.473653901707024	Event study
anio_fiscal	-0.0048851410138645406	0.0016392498536169833	-2.9801076407513722	0.0028846250555143336	-0.008098188757137905	-0.0016720932705911753	Event study
treatmentTreatment	-0.002058418185503947	0.004130912896629881	-0.4982961967518765	0.6182802778204939	-0.010155304899197515	0.006038468528189622	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-0.017165364902585165	0.003996333534435968	-4.295278348184179	1.7522338354766096e-5	-0.024998466376320215	-0.009332263428850114	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Treatment	-0.02587017962134317	0.006445584264708715	-4.013628332033338	5.999080403713114e-5	-0.03850398887873269	-0.013236370363953658	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Control	-0.015672627081257894	0.002548626844686904	-6.149439692958762	7.90989935017331e-10	-0.020668119204498632	-0.010677134958017155	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Treatment	-0.027852968298072083	0.005064711037424043	-5.499419037386652	3.85290477986307e-8	-0.03778016660357781	-0.017925769992566357	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Control	-0.008084932775685724	0.002509128791547482	-3.222207167253227	0.0012739256557955	-0.013003005870812299	-0.0031668596805591483	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Treatment	-0.007572828936770178	0.003852820245214277	-1.9655287438277593	0.04936565280324523	-0.01512463403030666	-2.1023843233696632e-5	Event study
