term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.4096645121575463	0.008447967149165495	48.492673435409095	0	0.39310591583230653	0.42622310848278605	Linear model
treatmentTreatment	0.10795885138719985	0.022016021007258517	4.90364954464781	9.472366108613786e-7	0.06480593683269625	0.15111176594170345	Linear model
post	-0.21432599939398062	0.009764650989147014	-21.94917152002613	1.1147899506754076e-105	-0.23346538655437107	-0.19518661223359016	Linear model
treatmentTreatment:post	-0.09155732222210228	0.026322644306877613	-3.4782722113591023	5.056046540115757e-4	-0.14315151448094793	-0.03996312996325664	Linear model
post	-0.21760356791040342	0.009783803255859745	-22.241204388495408	3.439327390605791e-108	-0.2367807086529697	-0.19842642716783712	Linear model with fixed effect
treatmentTreatment:post	-0.08882300768721145	0.026257343512810807	-3.3827872817322597	7.190100095481637e-4	-0.1402897797494461	-0.03735623562497681	Linear model with fixed effect
(Intercept)	0.40015787150695453	0.08226037088837697	4.864527927426292	1.1550487842505795e-6	0.2389218417776264	0.5613939012362826	Linear model assets weighted
treatmentTreatment	0.15195454198621963	0.1029377398474167	1.476179117702214	0.13990979513770857	-0.0498105643835238	0.35371964835596303	Linear model assets weighted
post	-0.15323941113970876	0.1254271161680455	-1.2217406875113093	0.221818492582489	-0.39908525419792856	0.09260643191851103	Linear model assets weighted
treatmentTreatment:post	-0.24778919954741474	0.1404771653316499	-1.7639108744998797	0.07776054165463253	-0.5231341823270388	0.027555783232209308	Linear model assets weighted
treatmentTreatment:post	-0.24576838206028215	0.14163026419416938	-1.7352815336370735	0.08269095095541515	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	5.381050548706444	28.495109368120342	0.18884119654324388	0.8502189752692745	-50.47132362020221	61.23342471761511	Event study
anio_fiscal	-0.002517623363562984	0.014148513761731044	-0.17794260273278042	0.8587696446460553	-0.030249683428517297	0.025214436701391327	Event study
treatmentTreatment	0.023279763515451014	0.031899853477699656	0.7297765029461744	0.46553436003107673	-0.039246143276229814	0.08580567030713183	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-0.3155923412177669	0.030934186876047057	-10.202057111840112	2.1920466018181147e-24	-0.376225475054582	-0.25495920738095185	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Treatment	-0.3388721047331829	0.05347616849977749	-6.336880787085428	2.388800469113589e-10	-0.44368907292179105	-0.23405513654457477	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Control	-0.06489229881912267	0.021357276032175333	-3.0384164498019604	0.0023809610280252644	-0.10675402873100219	-0.023030568907243157	Event study
