term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.546328671328662	0.013122027750278554	41.63447004728858	0	0.5206060976753264	0.5720512449819977	Linear model
treatmentTreatment	0.26816408229450783	0.04806405228640626	5.579306561514196	2.4932074019583665e-8	0.17394608881490886	0.3623820757741068	Linear model
post	-0.250112122574438	0.01727461869957502	-14.478590058870074	6.419560424982255e-47	-0.28397485021755514	-0.21624939493132084	Linear model
treatmentTreatment:post	-0.08967825009636073	0.052148296581817855	-1.7196774578371972	0.08552956863999552	-0.1919024204189183	0.012545920226196869	Linear model
post	-0.2515038844049807	0.017357961323273396	-14.489252494632916	7.258419007021376e-47	-0.2855310390531145	-0.21747672975684695	Linear model with fixed effect
treatmentTreatment:post	-0.0895024605854784	0.05247058171850192	-1.7057645952097091	0.08809848182062457	-0.1923615789670319	0.013356657796075116	Linear model with fixed effect
(Intercept)	0.49990958777346245	0.05154072926799014	9.699311493520835	4.0188817229855353e-22	0.3988763058576998	0.6009428696892252	Linear model assets weighted
treatmentTreatment	0.3261900945683087	0.10370472660516424	3.145373458340184	0.0016648364304790578	0.12290176264313585	0.5294784264934815	Linear model assets weighted
post	-0.17918798198780836	0.10772126381464782	-1.6634411409815133	0.09626339110844324	-0.3903497751925238	0.03197381121690704	Linear model assets weighted
treatmentTreatment:post	-0.0723145522580855	0.16972439688120886	-0.42607046239026497	0.6700679827102094	-0.40501866959644406	0.2603895650802731	Linear model assets weighted
treatmentTreatment:post	-0.0670098559360432	0.17133428675813298	-0.3911059321747948	0.6957189359472007	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	155.18106820714044	62.585135738154456	2.479519559666557	0.01317630571986713	32.49797108020496	277.8641653340759	Event study
anio_fiscal	-0.07681159420289316	0.031075040026519646	-2.4718099843907404	0.013463666260856148	-0.13772673178040476	-0.01589645662538155	Event study
treatmentTreatment	0.3261781696564317	0.07708560254881154	4.23137601408631	2.3484768395561478e-5	0.17507039697137933	0.4772859423414841	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-0.6361406709235956	0.06714622269099803	-9.473960640363467	3.474780926598017e-21	-0.7677646813686909	-0.5045166604785003	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Treatment	-0.9623188405796114	0.12430413500911508	-7.741647858368071	1.1008838699599034e-14	-1.2059871827304767	-0.7186504984287461	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Control	-0.183299799501725	0.0451960734897423	-4.055657612454469	5.0466130261961205e-5	-0.27189582487261565	-0.09470377413083435	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Treatment	-0.294396135265686	0.11739622065267623	-2.507713907900618	0.012171066747487228	-0.5245231737517119	-0.06426909677966006	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Control	0.04272068511197249	0.04513740434526284	0.9464586130207112	0.3439431904417648	-0.04576033352024716	0.13120170374419213	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Treatment	0.05507246376812709	0.07728426100656571	0.7125961101374624	0.4761164166767782	-0.0964247310150048	0.20656965855125897	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Control	0.4954064051889856	0.07350328010496221	6.739922415456133	1.6941422498920887e-11	0.3513209135477504	0.6394918968302208	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Treatment	0.4231884057970934	0.08350946093684418	5.067550443381962	4.1195277941261236e-7	0.2594882046822944	0.5868886069118924	Event study
i(anio_fiscal, treatment, ref = 2014)2017:Control	0.11417604134993138	0.09932347253096023	1.149537349435114	0.25036869829629904	-0.08052372375853732	0.30887580645840007	Event study
anio_fiscal2013	0.5992135176650544	0.06609942416932034	9.06533642608003	1.6070388886418407e-19	0.46963748181482134	0.7287895535152874	Event study with fixed effects
anio_fiscal2014	0.8181990249114305	0.07404416844839097	11.0501480677944	3.8386786066149904e-28	0.6730487464340793	0.9633493033887817	Event study with fixed effects
anio_fiscal2015	0.7964598944765949	0.07268582075977538	10.957568974956928	1.0525456870075724e-27	0.6539724124004087	0.9389473765527812	Event study with fixed effects
anio_fiscal2016	1.0877642423027976	0.07554905186320428	14.398119042875596	2.621866337372479e-46	0.9396639104814299	1.2358645741241652	Event study with fixed effects
anio_fiscal2017	0.5877642423027669	0.06804466999131334	8.637917450078039	7.083195083207625e-18	0.45437490179011486	0.721153582815419	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012:Control	0.325359935147438	0.0784715642480863	4.146214469725861	3.4221294285463494e-5	0.17153054328787432	0.4791893270070017	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013:Control	0.10970757680536479	0.10289891229746403	1.0661684789069297	0.2863861305574623	-0.09200723866188894	0.31142239227261853	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015:Control	-0.012351778656124822	0.0964471504368605	-0.12806784441196073	0.8980991490316426	-0.2014190750768397	0.17671551776459005	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016:Control	0.07221799939191796	0.10115219022702807	0.7139538870075911	0.47528070982415327	-0.12607268153160012	0.27050868031543607	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017:Control	0.11417604134994613	0.09928113270124116	1.1500275857400524	0.25017379614209023	-0.0804467677261839	0.30879885042607613	Event study with fixed effects
(Intercept)	1.59796142578125	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal	-5.154311656951904e-4	NA	NA	NA	NA	NA	Event study assets weighted
treatmentTreatment	0.9605203010973657	0.30212664820861024	3.179197554378429	0.0014768339999439884	0.36836295183868695	1.5526776503560447	Event study assets weighted
anio_fiscal::2012:treatment::Control	-0.5064477622509003	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2012:treatment::Treatment	-1.4670020639896393	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2013:treatment::Control	-0.058242812752723694	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2013:treatment::Treatment	-1.2093227356672287	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2015:treatment::Control	0.0600801557302475	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2015:treatment::Treatment	-0.9716222286224365	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2016:treatment::Control	0.18428003787994385	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2016:treatment::Treatment	-0.9013143479824066	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2017:treatment::Control	-0.25796791911125183	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2017:treatment::Treatment	-0.04382476210594177	NA	NA	NA	NA	NA	Event study assets weighted
anio_fiscal::2012:treatment::Control	-8.766976573737118	35466058.45277637	-2.471934282015152e-7	0.9999998027681801	-69512206.00801061	69512188.47405745	Event study assets weighted with fixed effects
anio_fiscal::2012:treatment::Treatment	-9.884972969696683	NA	NA	NA	NA	NA	Event study assets weighted with fixed effects
anio_fiscal::2013:treatment::Control	1.1511242598389941	0.4169944751774964	2.7605264058930534	0.005770829263960994	0.3338301067389199	1.9684184129390685	Event study assets weighted with fixed effects
anio_fiscal::2015:treatment::Control	1.0316685851808218	0.5401601077953184	1.9099310931931122	0.056142086021969996	-0.027025771983275382	2.0903629423449193	Event study assets weighted with fixed effects
anio_fiscal::2016:treatment::Control	7.825974771716904	41943040.000000186	1.865857785157411e-7	0.999999851126088	-82206839.97614844	82206855.628098	Event study assets weighted with fixed effects
anio_fiscal::2016:treatment::Treatment	7.7079783757573335	47453132.81212586	1.624334984641454e-7	0.9999998703968194	-93006423.55738418	93006438.97334094	Event study assets weighted with fixed effects
anio_fiscal::2017:treatment::Control	-0.21427464442800281	0.2743778372814422	-0.780947348193474	0.43483346254851907	-0.7520453236556208	0.3234960347996152	Event study assets weighted with fixed effects
