term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	10.309973860914296	0.10662237337058864	96.69615799190474	0	10.100965058986677	10.518982662841914	Linear model
treatmentTreatment	-3.0716147134255176	0.4610939653819602	-6.66158081440311	2.8949898531694618e-11	-3.975484081870115	-2.1677453449809203	Linear model
postPost	-2.7786115305904295	0.1441638593229566	-19.27398131292927	6.929540010317438e-81	-3.061211838254041	-2.496011222926818	Linear model
treatmentTreatment:postPost	2.6706554184137783	0.3054619866874691	8.743004153725476	2.7531531247092247e-18	2.0718669854263254	3.269443851401231	Linear model
postPost	-2.7776926097925374	0.14241268489036052	-19.50453087750578	2.4954541005092576e-82	-3.056869615213703	-2.498515604371372	Linear model with fixed effect
treatmentTreatment:postPost	2.6154697087629524	0.29186812645083	8.961135087162631	4.1605781292171234e-19	2.043309514022153	3.1876299035037516	Linear model with fixed effect
(Intercept)	15.555542096747615	0.3998803241672263	38.90049386436535	2.733906480210763e-302	14.771667428684717	16.339416764810515	Linear model assets weighted
treatmentTreatment	1.8186883652410242	1.3828428630135323	1.3151807872643493	0.18848844621438993	-0.8920613884142046	4.529438118896253	Linear model assets weighted
postPost	-1.4407624424596062	0.39732528214336527	-3.6261534496054084	2.895394777829049e-4	-2.2196285302116037	-0.6618963547076084	Linear model assets weighted
treatmentTreatment:postPost	2.395039083262844	0.6062633359694835	3.95049303028181	7.868902656848982e-5	1.206597335768796	3.5834808307568915	Linear model assets weighted
treatmentTreatment:postPost	2.503525145048262	0.5623335993523487	4.4520283830303296	8.506291879867958e-6	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	377.67737485105005	260.1016069538197	1.4520378373444864	0.14653179114388365	-132.19248064635036	887.5472303484505	Event study
anio_fiscal	-0.1819095435389691	0.12914676846904433	-1.4085489377349127	0.15900892626378743	-0.43507231691990783	0.07125322984196963	Event study
treatmentTreatment	-3.8858321609202586	0.47311167902926515	-8.213350743936916	2.501830566711308e-16	-4.813259662218291	-2.9584046596222264	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-2.1656408942721725	0.2973631851099745	-7.2828144259729015	3.5923428018185085e-13	-2.748553572121135	-1.58272821642321	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Treatment	-0.548107099597878	0.4642812066571515	-1.1805498300141786	0.23781803707626584	-1.4582244745761495	0.36201027538039354	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Control	-1.4966928909339714	0.17723079667963118	-8.444880455169695	3.60230852130063e-17	-1.8441134307416194	-1.1492723511263234	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Treatment	-0.5671732982474539	0.30626913887216184	-1.8518787114368538	0.06408145979976289	-1.1675440664595385	0.03319746996463069	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Control	-1.152945401238582	0.17400489049355425	-6.625936765158283	3.682630725590755e-11	-1.4940422879930781	-0.8118485144840859	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Treatment	0.23312402955602987	0.20696995603525703	1.1263665220874741	0.2600454815904299	-0.17259334686423947	0.6388414059762992	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Control	-4.348425851157479	0.3118857384430122	-13.94236835857124	1.183504393848474e-43	-4.959806681341556	-3.7370450209734027	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Treatment	-0.044605236581647924	0.23573650564284623	-0.18921650026164089	0.8499281184408711	-0.5067128701147248	0.41750239695142893	Event study
i(anio_fiscal, treatment, ref = 2014)2017:Control	-4.938899530107003	0.4291532602593112	-11.508474914352803	2.116656865371794e-30	-5.780156580985212	-4.097642479228794	Event study
anio_fiscal2013	0.0648388984973563	0.23267586101101811	0.27866620205301795	0.7805100977462548	-0.3912845557910326	0.5209623527857452	Event study with fixed effects
anio_fiscal2014	0.44859398326232647	0.3255700194646441	1.3778725203259767	0.16829131845753087	-0.18963346863445374	1.0868214351591066	Event study with fixed effects
anio_fiscal2015	0.4380543650398564	0.35127636705992904	1.2470362544062712	0.21243030615117728	-0.25056623039725934	1.1266749604769721	Event study with fixed effects
anio_fiscal2016	-0.14560731873506025	0.3934754676099104	-0.37005437624745285	0.7113543458502661	-0.9169524367207745	0.625737799250654	Event study with fixed effects
anio_fiscal2017	-0.2641951265913838	0.4504395417284609	-0.5865273851793609	0.5575420624553238	-1.1472091136398097	0.618818860457042	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012:Control	-1.6697570578567464	0.35611289423954634	-4.688841894990613	2.8051182326499086e-6	-2.3678588838535815	-0.9716552318599112	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013:Control	-1.0647914170827735	0.2860564209685588	-3.7223125895146656	1.9911797479826894e-4	-1.6255588395674547	-0.5040239945980922	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015:Control	-1.3968103801063154	0.20460772929828824	-6.8267723066804065	9.492323159155514e-12	-1.7979107944600823	-0.9957099657525486	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016:Control	-4.262080078020287	0.3538938605561094	-12.043385187080803	4.814781474262763e-33	-4.955831846798151	-3.5683283092424243	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017:Control	-5.020483832254572	0.420768072408379	-11.931712887621169	1.7987163866618494e-32	-5.845331694887339	-4.195635969621806	Event study with fixed effects
(Intercept)	40.19985860239831	255.43129841138062	0.15738031655641155	0.8749451252506557	-460.4362868082107	540.8360040130074	Event study assets weighted
anio_fiscal	-0.011840615336065952	0.1268278024766203	-0.09335977683795851	0.9256177443393793	-0.2604185404286015	0.23673730975646962	Event study assets weighted
treatmentTreatment	2.029004129965454	1.6227298198842963	1.250364728066762	0.21116634320790384	-1.1514878736469347	5.209496133577843	Event study assets weighted
