term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	7.538377135364308	0.13558584433426057	55.59855582548796	0	7.272592804255529	7.8041614664730865	Linear model
treatmentTreatment	0.9967589257925944	0.3541903002635252	2.8141903520536395	0.004902188651550932	0.302451695543107	1.6910661560420817	Linear model
postPost	-0.9088954333953105	0.11892370405688267	-7.642676795204551	2.3790389568072746e-14	-1.1420175361556357	-0.6757733306349853	Linear model
treatmentTreatment:postPost	0.30511138117178344	0.2855549214048153	1.068485808862121	0.2853342670837869	-0.25465224424984884	0.8648750065934157	Linear model
postPost	-0.9512467147229043	0.11718593561718821	-8.117413661570668	5.65233996822864e-16	-1.18096982340794	-0.7215236060378688	Linear model with fixed effect
treatmentTreatment:postPost	0.3186612548881346	0.2820761166026639	1.1296995248165764	0.25864466007806336	-0.23430102723629204	0.8716235370125613	Linear model with fixed effect
(Intercept)	12.835222175319116	0.488814482011718	26.25785987865111	1.0629247777346935e-145	11.877014896452184	13.793429454186047	Linear model assets weighted
treatmentTreatment	2.7676850933211097	1.2210944123249845	2.26656109911386	0.023444283799500552	0.37401306204628826	5.161357124595931	Linear model assets weighted
postPost	0.25059411178018204	0.7153608991376027	0.35030445762730905	0.7261196671482271	-1.1517048089666297	1.6528930325269937	Linear model assets weighted
treatmentTreatment:postPost	-0.1446407858220046	0.8032418892612069	-0.1800712683884552	0.857101290182004	-1.7192099798715044	1.429928408227495	Linear model assets weighted
treatmentTreatment:postPost	-0.15979093510755826	0.8148774921827638	-0.19609197289218996	0.8445381789989769	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	872.1027450388241	237.09397192863577	3.6782999497824567	2.363645660405343e-4	407.33540187163055	1336.8700882060175	Event study
anio_fiscal	-0.42917540137927224	0.11772290082790784	-3.645640723776068	2.6845203077361876e-4	-0.6599436465719013	-0.19840715618664315	Event study
treatmentTreatment	1.403394434925766	0.3772109488776211	3.7204498944198745	2.0025696860832723e-4	0.6639604919312257	2.1428283779203063	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-1.1388841983134295	0.2877273757256377	-3.958205907384398	7.618136652946128e-5	-1.7029065008826594	-0.5748618957441995	Event study
