term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.8049200025052485	0.00438372123333507	183.6156907935675	0	0.7963275836577165	0.8135124213527806	Linear model
treatmentTreatment	0.012717281463949915	0.01028486855323322	1.2365040348475844	0.21628475711456324	-0.007441823939282803	0.03287638686718263	Linear model
postPost	-0.13867092840121342	0.005874177251007709	-23.606868243110057	1.15024177702497e-121	-0.15018475162096762	-0.12715710518145923	Linear model
treatmentTreatment:postPost	-0.08901320820648795	0.01714261432239176	-5.192510694837163	2.0936361472484688e-7	-0.12261400409642895	-0.05541241231654694	Linear model
postPost	-0.1393542451649312	0.005792693818866862	-24.056898141423083	7.522468356689105e-126	-0.15070849646475395	-0.12799999386510844	Linear model with fixed effect
treatmentTreatment:postPost	-0.0891395300424456	0.017074034606801847	-5.22076545440143	1.8020875849357236e-7	-0.12260632212389226	-0.05567273796099893	Linear model with fixed effect
(Intercept)	0.8154360618525962	0.019264658948497843	42.328081905451	0	0.7776758912506372	0.8531962324545552	Linear model assets weighted
treatmentTreatment	0.012605673270750923	0.0314123202947659	0.40129710739169283	0.6882053946574992	-0.04896482099570633	0.07417616753720817	Linear model assets weighted
postPost	-0.022402856938784962	0.02667702447844631	-0.8397809492166317	0.4010405861216789	-0.0746918176804085	0.029886103802838574	Linear model assets weighted
treatmentTreatment:postPost	-0.19751194520904716	0.0530226165019798	-3.7250508978875514	1.9577672240617223e-4	-0.3014402343227832	-0.09358365609531112	Linear model assets weighted
treatmentTreatment:postPost	-0.19660393133957937	0.05347116925348602	-3.67682124936443	2.3615839967977374e-4	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	262.3432635283875	12.734852470365341	20.600416387930196	2.166962558890358e-93	237.38200736041375	287.3045196963613	Event study
anio_fiscal	-0.12982808894881237	0.006323163814692175	-20.532140674127493	8.616473603098272e-93	-0.142221959402976	-0.11743421849464875	Event study
treatmentTreatment	0.024863814441527455	0.007416949420279777	3.352296615849048	8.02821596638321e-4	0.010326043007164163	0.039401585875890745	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-0.38115348750420186	0.014059289454221196	-27.110437461671534	3.487647442745393e-159	-0.40871073847535816	-0.35359623653304556	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Treatment	-0.3935560684820656	0.01889271842577674	-20.831097971857126	1.978473903256793e-95	-0.4305871990297195	-0.3565249379344117	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Control	-0.21346079454951503	0.007966830299244972	-26.793691660502045	1.3612420609333785e-155	-0.22907637332508318	-0.19784521577394687	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Treatment	-0.23213852241759245	0.013508377219994608	-17.18478234928097	9.486750639696476e-66	-0.25861594451467257	-0.20566110032051232	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Control	0.05199352605164775	0.007827863018622967	6.64210984887599	3.166074268361536e-11	0.036650333461835924	0.06733671864145957	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Treatment	-0.032096434563096514	0.012650357795744195	-2.5371957917185806	0.011181442767401255	-0.05689207489665399	-0.007300794229539043	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Control	0.014653482107443966	0.01464465602968063	1.0006026824901484	0.31703018387477105	-0.014051130804199202	0.043358095019087134	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Treatment	-0.11057823867234827	0.010875732304766057	-10.16742924280048	3.1438453110550384e-24	-0.1318954813106358	-0.08926099603406074	Event study
i(anio_fiscal, treatment, ref = 2014)2017:Control	0.09334634591689789	0.020566829181411013	4.538684358854278	5.691261483581809e-6	0.053033834016598606	0.13365885781719716	Event study
anio_fiscal2013	0.032799912559189695	0.011939542203832056	2.7471666835485866	0.006017368717694038	0.009397231344306478	0.05620259377407291	Event study with fixed effects
anio_fiscal2014	0.13717666029313624	0.01353003243308944	10.138679339574457	4.3331827807385986e-24	0.1106564612391896	0.1636968593470829	Event study with fixed effects
anio_fiscal2015	-0.02554182122744758	0.019044816562468585	-1.3411429374322552	0.17989134567509474	-0.06287154151306545	0.0117878990581703	Event study with fixed effects
anio_fiscal2016	-0.23521797592824606	0.02193123761299236	-10.725248619298155	9.371678208129741e-27	-0.27820536637777155	-0.19223058547872057	Event study with fixed effects
anio_fiscal2017	-0.2578692992213211	0.02267793040856354	-11.370936173432549	7.417500833122254e-30	-0.3023202812526573	-0.21341831718998494	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012:Control	0.012067370829293307	0.01481879376665471	0.8143288191544535	0.41546761566097545	-0.016978927645937315	0.041113669304523925	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013:Control	0.019706097215819954	0.013047099726312867	1.5103814356594123	0.13096406498465846	-0.005867506064856136	0.045279700496496045	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015:Control	0.08404754566623784	0.014796276064081758	5.680317486794185	1.3656771841090364e-8	0.05504538411066544	0.11304970722181025	Event study with fixed effects
