term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.16124874185761504	0.002302604096242633	70.02886085399534	0	0.15673502516002658	0.1657624585552035	Linear model
treatmentTreatment	0.006429713260385543	0.005837068463911422	1.10153123954914	0.270699271546172	-0.005012494035917206	0.017871920556688292	Linear model
postPost	-0.013886623008969435	0.0024950608288436243	-5.565645073032313	2.6978690093435655e-8	-0.018777606110679194	-0.008995639907259677	Linear model
treatmentTreatment:postPost	0.006248268205606816	0.005656287710233251	1.104658837332932	0.26934128588774403	-0.004839560711967554	0.017336097123181186	Linear model
postPost	-0.015214643660215608	0.002460437688338738	-6.18371427666123	6.642125162530363e-10	-0.020037913547631125	-0.01039137377280009	Linear model with fixed effect
treatmentTreatment:postPost	0.0075738361848096255	0.005564955239958182	1.3609877992237975	0.173564858396472	-0.003335312687734452	0.018482985057353702	Linear model with fixed effect
(Intercept)	0.1672294736655635	0.019182842546057028	8.717658671495325	3.42929151668435e-18	0.12962596551796843	0.2048329818131586	Linear model assets weighted
treatmentTreatment	0.045781635670773244	0.020055632228877962	2.282732109778748	0.02247290708524623	0.006467226030331362	0.08509604531121512	Linear model assets weighted
postPost	0.002766939259804139	0.006764296394715973	0.4090505646626563	0.6825137704035322	-0.010492893008575362	0.01602677152818364	Linear model assets weighted
treatmentTreatment:postPost	0.01800408143754237	0.00782159349442293	2.301843153876497	0.02137020505213784	0.002671663732056656	0.03333649914302808	Linear model assets weighted
treatmentTreatment:postPost	0.01744119221972796	0.008044740230423236	2.1680242891833403	0.03015683854272454	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	12.400819255134968	4.865864064913775	2.5485338451095254	0.01083656189547207	2.8624294965653334	21.939209013704602	Event study
anio_fiscal	-0.006075286656565632	0.0024160195037709353	-2.514585104583508	0.011937090929181632	-0.010811328474388496	-0.0013392448387427687	Event study
treatmentTreatment	0.010808445184146264	0.006455420795263172	1.6743207804636429	0.09410742858116661	-0.0018458991993700897	0.023462789567662616	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Control	-0.013574893761105242	0.0060725833389505155	-2.2354396808412185	0.025416518397087574	-0.025478774748239355	-0.0016710127739711297	Event study
i(anio_fiscal, treatment, ref = 2014)2012:Treatment	-0.02068546168653376	0.009266842917692086	-2.2322016106522593	0.025629756448865032	-0.038850942349618015	-0.0025199810234495003	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Control	-0.016482459441879052	0.004115532296802992	-4.004939884612952	6.26057383390072e-5	-0.024549999058110367	-0.008414919825647738	Event study
i(anio_fiscal, treatment, ref = 2014)2013:Treatment	-0.022698658696578982	0.006792420401541143	-3.341762929077365	8.363722318701431e-4	-0.03601361207991144	-0.009383705313246527	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Control	-0.004735821719701276	0.003914684246279772	-1.209758290008154	0.22640810337862083	-0.01240964565407593	0.0029380022146733758	Event study
i(anio_fiscal, treatment, ref = 2014)2015:Treatment	-0.0021413278106611417	0.005050151626525069	-0.42401257804105896	0.6715682645054906	-0.012040970281360554	0.007758314660038272	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Control	-0.014401447640397812	0.005988716957247865	-2.4047634481987683	0.016205956240366387	-0.026140928178680703	-0.002661967102114922	Event study
i(anio_fiscal, treatment, ref = 2014)2016:Treatment	-0.00943716000010137	0.005584294270531983	-1.6899467583398586	0.0910778669657346	-0.02038386434043835	0.0015095443402356086	Event study
i(anio_fiscal, treatment, ref = 2014)2017:Control	0.0019977992121522426	0.008059269900849491	0.24788836169162962	0.8042272718375848	-0.013800516659044113	0.017796115083348597	Event study
anio_fiscal2013	-0.005138667743681095	0.00614967219601085	-0.8356002693955672	0.40341065393517017	-0.017194057606403322	0.006916722119041131	Event study with fixed effects
anio_fiscal2014	0.012128275779707204	0.006453681643182308	1.8792801458559019	0.06025113366016305	-5.2307306924846e-4	0.02477962462866287	Event study with fixed effects
anio_fiscal2015	0.00335979954761472	0.0071723501837204105	0.46843774516764314	0.6394873519197957	-0.010700377148113078	0.017419976243342516	Event study with fixed effects
anio_fiscal2016	-0.010751419409805044	0.008338230603921429	-1.2894125769019513	0.1973007550750879	-0.02709710703210791	0.005594268212497819	Event study with fixed effects
anio_fiscal2017	-0.00835880532840562	0.008020638541913861	-1.042162077835148	0.29737545650335895	-0.024081907550580872	0.007364296893769629	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012:Control	0.006998356357849766	0.007420244739593123	0.9431436028663267	0.34564264923731935	-0.007547775592180932	0.021544488307880465	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013:Control	0.005629088340528001	0.006470372268638575	0.8699790532627903	0.3843441058182683	-0.007054979650280216	0.01831315633133622	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015:Control	-0.002996705327524833	0.006262069869753896	-0.47854868914814674	0.6322758889498046	-0.015272431776238493	0.009279021121188828	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016:Control	-0.00629316213568477	0.007893161130419579	-0.7972930023474946	0.42531012315386785	-0.02176636650228796	0.00918004223091842	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017:Control	-0.0010215132228006166	0.007872069667938535	-0.1297642508120893	0.8967569787719369	-0.01645337135258343	0.014410344906982194	Event study with fixed effects
(Intercept)	-13.148626417660807	4.847653878658121	-2.712369064868237	0.006680416768995966	-22.64985342934662	-3.6473994059749923	Event study assets weighted
anio_fiscal	0.006609198791179813	0.002406959732063409	2.745870112880517	0.006035065171003455	0.0018916444040973533	0.011326753178262271	Event study assets weighted
treatmentTreatment	0.050282415353119225	0.019485139322545593	2.5805520053397384	0.009864249763888331	0.012092244047184682	0.08847258665905378	Event study assets weighted
anio_fiscal::2012:treatment::Control	0.02681743509067419	0.007205268259943953	3.7219204231103524	1.9771333755497643e-4	0.012695368802234461	0.040939501379113924	Event study assets weighted
anio_fiscal::2012:treatment::Treatment	0.017265722886408097	0.008284552238107657	2.0840864285927783	0.037152306301368156	0.0010282988716763947	0.0335031469011398	Event study assets weighted
anio_fiscal::2013:treatment::Control	0.008039544547402133	0.003560005807623132	2.2582953460881576	0.02392725225015337	0.0010620613797073675	0.015017027715096899	Event study assets weighted
anio_fiscal::2013:treatment::Treatment	0.00384890429208945	0.003964456920519693	0.9708528480074654	0.33162156135382626	-0.003921288490389719	0.011619097074568619	Event study assets weighted
anio_fiscal::2015:treatment::Control	0.0023208185382489477	0.006358037037041604	0.36502123607144404	0.7150955542806892	-0.01014070506672435	0.014782342143222245	Event study assets weighted
