term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.4452538128841542	0.007177749235690072	62.03251162219619	0	0.43118512808215514	0.4593224976861533	Linear model
treatment	0.14891659070328261	0.02097854098631972	7.0985199018555365	1.2883696355420995e-12	0.10779778436844747	0.19003539703811775	Linear model
post	-0.2231675230219591	0.008520574555915917	-26.191604985958577	1.4630062595535916e-149	-0.23986820088390864	-0.20646684516000957	Linear model
treatment:post	-0.09077032242589828	0.023747563547917894	-3.822300432747203	1.324733004327969e-4	-0.13731652728770405	-0.044224117564092516	Linear model
post	-0.22654232424659515	0.008537357489461224	-26.5354150304993	4.614644270240391e-153	-0.24327603456333097	-0.20980861392985933	Linear model with fixed effect
treatment:post	-0.08886203540538731	0.023743673418109523	-3.7425563366118153	1.8255867949020998e-4	-0.13540099706000808	-0.042323073750766535	Linear model with fixed effect
(Intercept)	0.41524208536675555	0.012046977605976856	34.468569540690595	1.785355624479399e-255	0.3916295119555119	0.43885465877799923	Linear model assets weighted
treatment	0.2369713718557632	0.03128875941063922	7.573690242738899	3.7295564047776124e-14	0.1756441117997708	0.2982986319117556	Linear model assets weighted
post	-0.17809989657922723	0.013688679091017576	-13.010743797485562	1.3450306099954782e-38	-0.20493027267117309	-0.15126952048728137	Linear model assets weighted
treatment:post	-0.16487565163445636	0.03401886204582992	-4.8465951451385205	1.2621133037930878e-6	-0.2315540255550323	-0.09819727771388044	Linear model assets weighted
treatment:post	-0.16010927802935745	0.03401516991836023	-4.706996272946322	2.5139350242071324e-6	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	-155.68510386440693	4.624880859546269	-33.66251122838236	5.6606395858157355e-244	-164.7500613124455	-146.62014641636836	Event study
anio_fiscal	0.07744683439438099	0.0022966157990456397	33.72215519311679	8.138099809537431e-245	0.07294537259999344	0.08194829618876855	Event study
treatment	0.1634574210020293	0.029928699519265484	5.461561097795435	4.7562486185967475e-8	0.10479593417534153	0.2221189078287171	Event study
i(anio_fiscal, treatment, ref = 2014)2012	-0.30138435812286923	0.029921854338699275	-10.07238237013524	7.970069184524037e-24	-0.3600324281130068	-0.24273628813273168	Event study
i(anio_fiscal, treatment, ref = 2014)2013	-0.013513273436294508	0.03702763822226102	-0.3649509956638371	0.7151505016174173	-0.08608897323909817	0.05906242636650916	Event study
i(anio_fiscal, treatment, ref = 2014)2015	0.011118188027115956	0.04071140927773571	0.2730975965795485	0.7847800318722884	-0.06867785514891578	0.09091423120314768	Event study
