term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.998450371095908	3.548786902473733e-4	2813.4976783191005	0	0.9977547934198611	0.9991459487719548	Linear model
treatment	3.868382070202877e-4	7.59085851506793e-4	0.509610614204454	0.6103280563324707	-0.0011010030948711933	0.0018746795089117686	Linear model
postPost	-0.012854491156489598	0.0013719532760578413	-9.369481731495684	7.785672274721933e-21	-0.0155435792804907	-0.010165403032488496	Linear model
treatment:postPost	0.006220010898970654	0.002559231913318459	2.430420965994208	0.01508715031072837	0.0012038049794484045	0.011236216818492902	Linear model
postPost	-0.014248693869721753	0.0014689838631420753	-9.699693936218322	3.3148886579032685e-22	-0.017127991313558112	-0.011369396425885395	Linear model with fixed effect
treatment:postPost	0.007387720930994385	0.002692310718849996	2.7440075468518006	0.006073822423975746	0.0021106286733456187	0.012664813188643152	Linear model with fixed effect
(Intercept)	0.9993415951713895	2.945416797450581e-4	3392.869885295603	0	0.9987642806615968	0.9999189096811822	Linear model assets weighted
treatment	5.82398555976283e-4	2.9988998397316994e-4	1.9420407052620605	0.0521415739920308	-5.3988628442201095e-06	0.001170195974796786	Linear model assets weighted
postPost	-0.004898512227263207	0.0010558477950124495	-4.639411334098064	3.508860675596047e-6	-0.006968019852536755	-0.002829004601989659	Linear model assets weighted
treatment:postPost	5.754015751180659e-4	0.002362826469912392	0.24352257029666693	0.8076022773511904	-0.004055841128404575	0.005206644278640707	Linear model assets weighted
treatment:postPost	9.344246629338156e-4	0.0024067026730812866	0.38825928661037196	0.6978241631562346	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	8.241894196353305	0.8503135331601178	9.692770813282259	3.4897108205404545e-22	6.575242659420178	9.908545733286433	Event study
anio_fiscal	-0.003598824268290379	4.2236014154341684e-4	-8.52074785073069	1.658762112038301e-17	-0.004426668529955301	-0.0027709800066254573	Event study
treatment	0.006137879984116097	5.312770162132053e-4	11.553068920363236	8.285021949574599e-31	0.005096553907229762	0.007179206061002433	Event study
i(anio_fiscal, treatment, ref = 2014)2012	-0.007197648536450934	8.447202830624281e-4	-8.520747850823183	1.6587621107166856e-17	-0.008853337059732942	-0.005541960013168926	Event study
i(anio_fiscal, treatment, ref = 2014)2013	-0.007067032360776727	0.0020434445399271028	-3.4583920545398477	5.441682130884892e-4	-0.011072272604866554	-0.0030617921166869013	Event study
i(anio_fiscal, treatment, ref = 2014)2015	1.7807170272441988e-4	0.0020167324013380273	0.08829713977237431	0.9296411050312439	-0.003774811587020813	0.0041309549924696525	Event study
i(anio_fiscal, treatment, ref = 2014)2016	-9.79921556879759e-4	0.0031925982542765066	-0.30693544218009505	0.7588946541637754	-0.007237553100770523	0.005277709987011004	Event study
i(anio_fiscal, treatment, ref = 2014)2017	-0.001222757964363601	0.003985486552159779	-0.30680268227250074	0.7589957083368627	-0.009034485084473552	0.00658896915574635	Event study
anio_fiscal2013	0.0013080670300451283	0.0011051712069864172	1.1835876846737328	0.23658778371919584	-8.581355827121623e-4	0.003474269642802419	Event study with fixed effects
anio_fiscal2014	0.003996021103267763	9.674859849511571e-4	4.130314201367475	3.6346680147472205e-05	0.0020996898786043838	0.005892352327931142	Event study with fixed effects
