term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	767599.4067240995	16903.7259748811	45.41007159396399	0	734467.3414177218	800731.4720304772	Linear model
treatment	297881.8830632457	43774.045693159984	6.804988626166485	1.0300548392032234e-11	212082.77919790155	383680.9869285898	Linear model
postPost	-53244.87149950056	9986.144543597216	-5.331874705703053	9.792434435711857e-8	-72818.16520226467	-33671.577796736434	Linear model
treatment:postPost	-205309.97094940956	33769.74521405919	-6.079701509383431	1.2189584304818136e-9	-271500.19465952954	-139119.74723928957	Linear model
postPost	-61167.795343922844	9415.79247847341	-6.496298159052039	8.39355556425831e-11	-79623.34167152963	-42712.24901631605	Linear model with fixed effect
treatment:postPost	-203905.266784823	33358.64967786638	-6.1125156070125675	9.95866772182999e-10	-269290.321305065	-138520.212264581	Linear model with fixed effect
(Intercept)	1804193.904525825	31116.73282610897	57.9814697965973	0	1743203.7047528427	1865184.1042988074	Linear model assets weighted
treatment	79765.64956434288	64542.9778737742	1.2358532592087623	0.21652303993412006	-46741.498100006385	206272.79722869216	Linear model assets weighted
postPost	-91308.60306824956	24210.874709370088	-3.771388029731587	1.6266155946102743e-4	-138763.0094628741	-43854.19667362502	Linear model assets weighted
treatment:postPost	-363735.64925162285	64568.832810437394	-5.6333006718502405	1.7841570855722566e-8	-490293.4737579471	-237177.8247452986	Linear model assets weighted
treatment:postPost	-349070.93510522443	64468.63616918849	-5.41458538364514	6.143088436436649e-8	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	27481818.828604676	6606852.554541361	4.1595931802223225	3.197243292261394e-5	14532089.76465641	40431547.89255294	Event study
anio_fiscal	-13274.065734537624	3279.994395278079	-4.046978175830768	5.201641613633506e-5	-19703.00272071629	-6845.128748358958	Event study
treatment	431063.2173866929	45949.88704898492	9.381159455890664	6.981310083329105e-21	340999.36581876775	521127.068954618	Event study
i(anio_fiscal, treatment, ref = 2014)2012	-225099.46336371152	31642.75891563467	-7.11377487544204	1.1550671611475458e-12	-287120.698348234	-163078.22837918904	Event study
i(anio_fiscal, treatment, ref = 2014)2013	-164066.19031623294	24690.877778795806	-6.644809949086977	3.089368540634008e-11	-212461.42465011953	-115670.95598234635	Event study
i(anio_fiscal, treatment, ref = 2014)2015	-229294.84736982675	29177.176402550216	-7.858705866746768	4.013890926159242e-15	-286483.42939809314	-172106.26534156036	Event study
i(anio_fiscal, treatment, ref = 2014)2016	-411810.4120100509	37192.47483773739	-11.072412196464187	1.9448939520775605e-28	-484709.34056799975	-338911.48345210205	Event study
i(anio_fiscal, treatment, ref = 2014)2017	-402132.4410631801	39853.426391430934	-10.09028526464777	6.674575593816994e-24	-480246.9547107247	-324017.9274156355	Event study
anio_fiscal2013	66233.99160270506	8626.059848686898	7.678359849634886	1.6728508321394755e-14	49326.370686925555	83141.61251848457	Event study with fixed effects
anio_fiscal2014	158264.46557932318	11514.748156651014	13.744500828522968	7.990601538452835e-43	135694.83353544597	180834.0976232004	Event study with fixed effects
anio_fiscal2015	80763.16663382057	13153.535850602015	6.140034706342795	8.380018531990178e-10	54981.407433767214	106544.92583387392	Event study with fixed effects
