term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	278150.505742606	12297.734765057277	22.618027714578904	1.0031227127182616e-109	254043.60652048409	302257.40496472793	Linear model
treatment	98921.93747670778	31949.583814767542	3.0961886092232818	0.001967285314729676	36292.07824443706	161551.7967089785	Linear model
postPost	7769.343904819493	12283.87509528233	0.632483141073564	0.5270899650548923	-16310.386601364127	31849.074411003112	Linear model
treatment:postPost	-77128.74721493726	29553.64647813942	-2.609787840292017	0.0090773393466887509	-135061.9187221866	-19195.575707687938	Linear model
postPost	6216.020341097972	12280.996571255762	0.5061495054600743	0.612769289963472	-17858.884566357025	30290.925248552972	Linear model with fixed effect
treatment:postPost	-76980.65658778828	29525.56523901537	-2.6072542884315486	0.009148526506398509	-134860.74566230792	-19100.567513268637	Linear model with fixed effect
(Intercept)	637623.4515073708	23671.07092419872	26.93682316060885	8.040318795918613e-153	591221.7253235567	684025.1776911849	Linear model assets weighted
treatment	9116.519248250994	49236.040126630935	0.18515947311774214	0.853108822356326	-87399.48797623198	105632.52647273395	Linear model assets weighted
postPost	45047.70209635901	32294.841803828203	1.39488845834876	0.16308963443106045	-18258.956538966573	108354.3607316846	Linear model assets weighted
treatment:postPost	-152719.07596486155	61004.32220191262	-2.503414027933802	0.012320653233991768	-272304.1113824402	-33134.040547282886	Linear model assets weighted
treatment:postPost	-152542.63727607435	61090.05734828596	-2.4970125073937965	0.012524453911758066	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	-2929867.902755611	7748937.480524736	-0.3780993084689604	0.7053672297166611	-18119890.593524072	12260154.788012851	Event study
anio_fiscal	1594.3786845748898	3848.860365182783	0.41424695450056226	0.6787047798730306	-5950.433288377926	9139.190657527706	Event study
treatment	157946.16668914785	33904.97848303451	4.658494821584432	3.23868703274104e-6	91483.19756832394	224409.13580997178	Event study
i(anio_fiscal, treatment, ref = 2014)2012	-119638.52875035867	31243.4057349903	-3.829240952959631	1.2955744141547476e-4	-180884.0921897543	-58392.96531096306	Event study
i(anio_fiscal, treatment, ref = 2014)2013	-67658.38854026336	25778.782767602228	-2.624576542275448	0.008692787125179593	-118191.80633649936	-17124.970744027363	Event study
i(anio_fiscal, treatment, ref = 2014)2015	-61122.825472953584	29399.042747111056	-2.0790753630561634	0.037643397822449264	-118752.93638013932	-3492.7145657678557	Event study
i(anio_fiscal, treatment, ref = 2014)2016	-187046.24056051267	31503.178841837725	-5.937376716793619	3.0216946222227655e-9	-248801.02986440662	-125291.45125661872	Event study
i(anio_fiscal, treatment, ref = 2014)2017	-158160.92863199624	39290.57359183489	-4.025416637461975	5.741907675926508e-5	-235181.1273228837	-81140.72994110879	Event study
anio_fiscal2013	11577.733670596695	7972.537043430661	1.4522019286365941	0.14649499005327427	-4051.137841431497	27206.605182624888	Event study with fixed effects
anio_fiscal2014	36730.95255989395	10199.229873255024	3.601345691424394	3.189983171345399e-4	16737.009309158057	56724.895810629845	Event study with fixed effects
anio_fiscal2015	41389.02751172971	14282.036437622284	2.8979780084233058	0.0037686514480692423	13391.40126079502	69386.65376266441	Event study with fixed effects
anio_fiscal2016	18893.919046315103	17479.825643974913	1.080898598827135	0.2797833678420017	-15372.456582186598	53160.2946748168	Event study with fixed effects
anio_fiscal2017	7524.300235406984	18112.754941193907	0.41541445571564817	0.6778525953681132	-27982.83107833608	43031.431549150046	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012	-101520.12151263644	30924.939487651773	-3.282791274439618	0.0010334188063031173	-162143.4717883196	-40896.77123695326	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013	-42018.96253559642	25528.706349783297	-1.6459495424433486	0.0998237537023879	-92063.86909866135	8025.944027468511	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015	-67063.34667853433	30507.309196544313	-2.198271445261743	0.027965808643357213	-126868.00020515345	-7258.693151915206	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016	-172769.63663500722	33061.81513443391	-5.2256549113381094	1.7908675475637512e-7	-237581.98656523065	-107957.28670478381	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017	-130347.54900816346	39317.11386250189	-3.3152878276876905	9.206350819489699e-4	-207422.4020233847	-53272.695992942245	Event study with fixed effects
(Intercept)	-29937419.08981757	19933831.058802314	-1.5018397116693685	0.1331385096733215	-69007010.03897603	9132171.859340891	Event study assets weighted
anio_fiscal	15188.677015247984	9900.51107530983	1.5341306019166958	0.12499752618124005	-4215.968120899204	34593.32215139517	Event study assets weighted
treatment	116958.32345942699	47511.01326310956	2.4617097263686554	0.013827652731679614	23838.448594727437	210078.19832412654	Event study assets weighted
anio_fiscal::2012:treatment	-208244.71951349132	58071.71698419479	-3.5859921202290037	3.3579909788208917e-4	-322063.19332291605	-94426.24570406659	Event study assets weighted
anio_fiscal::2013:treatment	-120589.75156783237	49734.23743840632	-2.4246828297544023	0.015321766197501734	-218067.06574567233	-23112.43738999241	Event study assets weighted
anio_fiscal::2015:treatment	-113994.08990991686	60010.98262617113	-1.8995537970112057	0.05749170040385041	-231613.45453407115	3625.2747142374283	Event study assets weighted
anio_fiscal::2016:treatment	-343845.9426978335	59369.81470417805	-5.791595348766281	6.972095896762499e-9	-460208.641286839	-227483.24410882808	Event study assets weighted
anio_fiscal::2017:treatment	-326747.3059416263	74002.34686569367	-4.415364103717382	1.0084011380766655e-5	-471789.24056982645	-181705.37131342618	Event study assets weighted
anio_fiscal::2012:treatment	-135081.95724620495	59889.48746384401	-2.2555203419924994	0.024100686914602633	-252463.19572790223	-17700.718764507663	Event study assets weighted with fixed effects
anio_fiscal::2013:treatment	-58496.60544845712	51416.28909185062	-1.1377057053642698	0.25524339026280884	-159270.68028718396	42277.4693902697	Event study assets weighted with fixed effects
anio_fiscal::2015:treatment	-108884.11277077309	64097.527819576746	-1.6987256213260313	0.08937089357399032	-234512.95879519766	16744.733253651488	Event study assets weighted with fixed effects
anio_fiscal::2016:treatment	-302458.5412220645	66491.193932965165	-4.548851108418899	5.393958849780296e-6	-432778.88661974436	-172138.1958243847	Event study assets weighted with fixed effects
anio_fiscal::2017:treatment	-238202.07627215685	76881.26015358954	-3.0983112893348608	0.0019462687760013937	-388886.5772592466	-87517.57528506705	Event study assets weighted with fixed effects
