term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	17133.797586529756	2856.039883094692	5.99914507074889	2.015283862101533e-9	11535.747524816266	22731.847648243245	Linear model
treatment	1287353.193796791	50109.091436447365	25.691010491170495	2.128478464378532e-143	1189135.6569659472	1385570.7306276346	Linear model
postPost	6540.912915732786	4173.781168643412	1.567143233304384	0.11709591400866867	-1640.0078294584246	14721.833660923996	Linear model
treatment:postPost	-326621.3656836039	42488.899190937984	-7.687216470726208	1.5679562264809264e-14	-409902.76036785403	-243339.9709993538	Linear model
postPost	6589.343193941511	4197.3195823435535	1.5698931340992583	0.11645793347684869	-1637.8172281016996	14816.503615984722	Linear model with fixed effect
treatment:postPost	-340367.38197541947	42117.889541896184	-8.081301928408443	6.819186980475239e-16	-422922.6001572105	-257812.16379362845	Linear model with fixed effect
(Intercept)	44644.562052339345	8239.92998736988	5.418075410928283	6.089030901491677e-8	28493.68795308524	60795.43615159345	Linear model assets weighted
treatment	2300046.0143606877	53726.83931561755	42.81000043291399	0	2194737.4232843732	2405354.605437002	Linear model assets weighted
postPost	16613.780542796656	12135.40657325744	1.3690336984183227	0.17100302519365798	-7172.516671908492	40400.0777575018	Linear model assets weighted
treatment:postPost	-596066.7682086752	79316.81856979392	-7.515011052595019	5.91264600312095e-14	-751533.6171549268	-440599.91926242365	Linear model assets weighted
treatment:postPost	-595806.7974293998	79520.51361240484	-7.492491815803069	6.757814457668219e-14	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	-2290814.058827509	2916289.1210004003	-0.7855236445286574	0.4321552598192605	-8006957.156486807	3425329.038831789	Event study
anio_fiscal	1147.2782998229222	1447.718346072101	0.792473413724208	0.4280934224617481	-1690.357094988688	3984.9136946345325	Event study
treatment	1416124.3949125998	53361.9325640558	26.538101730342703	1.0064080571379738e-152	1311531.0470489445	1520717.7427762551	Event study
i(anio_fiscal, treatment, ref = 2014)2012	-223499.0543707004	40371.07891282403	-5.53611794357334	3.1285841372954594e-8	-302629.3650147411	-144368.74372665977	Event study
i(anio_fiscal, treatment, ref = 2014)2013	-177579.64744782343	31967.50041538485	-5.555005713313778	2.8088574500594937e-8	-240238.32059959212	-114920.97429605474	Event study
i(anio_fiscal, treatment, ref = 2014)2015	-304704.51612858	37633.484962512826	-8.096632996707584	5.947694521617721e-16	-378468.9394706452	-230940.09278651484	Event study
i(anio_fiscal, treatment, ref = 2014)2016	-523798.1685940002	48097.37828090808	-10.890368400847292	1.5118389399191122e-27	-618072.5993752695	-429523.7378127309	Event study
i(anio_fiscal, treatment, ref = 2014)2017	-541655.1211259027	50309.65298297902	-10.766425308263562	5.808697498589776e-27	-640265.7744981719	-443044.46775363357	Event study
anio_fiscal2013	-10593.682581242016	4197.12418096226	-2.524033629811077	0.011610400622302954	-18820.46025407541	-2366.904908408622	Event study with fixed effects
anio_fiscal2014	-30979.210332029015	5553.459992907592	-5.578362025042592	2.4636530552323364e-8	-41864.540073726384	-20093.88059033165	Event study with fixed effects
anio_fiscal2015	-16807.898614255515	6343.623994654786	-2.6495735920694625	0.008066538622700343	-29242.027792704394	-4373.7694358066365	Event study with fixed effects
anio_fiscal2016	-12945.532544650283	6671.380399209949	-1.940457861791743	0.05234001053110027	-26022.096627301682	131.0315380011143	Event study with fixed effects
anio_fiscal2017	5366.6288308613985	7844.161135302353	0.6841558629780164	0.49388575247877153	-10008.70125413451	20741.958915857307	Event study with fixed effects
