term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	6964.664665346575	1981.3129352435851	3.5151764980983837	4.4198416074900946e-4	3080.7533459125166	10848.575984780633	Linear model
treatment	370107.77855397033	29554.478958908527	12.522899796966637	1.2406928097572895e-35	312172.97515837825	428042.5819495624	Linear model
postPost	-460.2834278704195	2751.5747798764605	-0.16727999952488487	0.8671541246639785	-5854.117104385334	4933.550248644495	Linear model
treatment:postPost	-68899.1198822455	27020.28120815232	-2.549903879662728	0.010794427150131333	-121866.20760063875	-15932.032163852258	Linear model
postPost	-531.2879984570236	2837.827041869609	-0.18721648311131817	0.8514968895240006	-6094.3883364802605	5031.812339566213	Linear model with fixed effect
treatment:postPost	-70233.3482482304	26999.803484835276	-2.6012540531147827	0.009309935143242513	-123162.09044320647	-17304.60605325432	Linear model with fixed effect
(Intercept)	17501.103351759582	5487.228457390274	3.1894249506212664	0.0014312629784320357	6744.645682260412	28257.561021258753	Linear model assets weighted
treatment	629238.8674038829	43519.854374714814	14.458662062285596	9.004003093293222e-47	543928.1363126854	714549.5984950804	Linear model assets weighted
postPost	-1179.6004112552407	7641.707035731391	-0.1543634695415068	0.8773271931703299	-16159.421078618509	13800.220256108028	Linear model assets weighted
treatment:postPost	-106491.77345724762	52316.02246540143	-2.0355479724720027	0.041829868103473715	-209045.3823429427	-3938.1645715525374	Linear model assets weighted
treatment:postPost	-111919.51867488383	52494.29420905493	-2.1320320686505854	0.033004210350271214	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	930291.1260412132	2007176.592276789	0.4634824507324298	0.6430316725962095	-3004320.3039375856	4864902.556020012	Event study
anio_fiscal	-458.4557097600981	996.333326252376	-0.4601429036651225	0.6454266246734579	-2411.5397127449246	1494.6282932247282	Event study
treatment	432195.60808297026	31485.666145478255	13.726741752454206	2.2059699434501056e-42	370475.1484217848	493916.0677441557	Event study
