term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	300687.7891517662	73069.37737392569	4.1150999222701	4.155045661594773e-5	157318.8128758174	444056.765427715	Linear model
treatment	137459.7681101274	80405.84493643374	1.7095743253341673	0.08762285532002845	-20304.046081791137	295223.5823020459	Linear model
postPost	36687.00159202566	107354.63537164353	0.34173653950778643	0.7326135663816735	-173952.86869107035	247326.87187512167	Linear model
treatment:postPost	12315.964568596637	112771.15336168226	0.10921201212775213	0.9130539840513365	-208951.62237394394	233583.5515111372	Linear model
postPost	16322.143493881078	38304.77664618274	0.42611248316749184	0.6701362312147194	-58863.34526235014	91507.6322501123	Linear model with fixed effect
treatment:postPost	-22580.702621055905	44760.39104066598	-0.5044795654385761	0.6140581542699182	-110437.41846612471	65276.013224012895	Linear model with fixed effect
(Intercept)	357805.90319031547	96114.36401708929	3.7227099908469143	2.0694144689583567e-4	169220.50025158428	546391.3061290467	Linear model assets weighted
treatment	418540.0808333997	106156.00727885512	3.942688610489662	8.559476494711411e-5	210252.03136464104	626828.1303021584	Linear model assets weighted
postPost	124673.90661047022	151584.19984250082	0.8224729671034913	0.41098361695607954	-172748.52029504866	422096.33351598907	Linear model assets weighted
treatment:postPost	-84034.63716566729	161629.0147785406	-0.5199229685388426	0.6032204699764785	-401165.9337238141	233096.6593924795	Linear model assets weighted
treatment	-42093.0923033705	1183178297950.8652	-3.5576288355078104e-8	0.9999999716142288	-2318986893366.189	2318986809180.0044	Linear model assets weighted with fixed effect
treatment:postPost	-89238.1669615489	57638.84656908958	-1.5482295755967697	0.1215670330848499	-202208.2303473945	23731.89642429672	Linear model assets weighted with fixed effect
(Intercept)	-12412313.609361222	69613139.34783582	-0.17830417828652492	0.8585166037963581	-149000360.88191158	124175733.66318913	Event study
anio_fiscal	6319.746573268552	34564.14265371203	0.18284112053882642	0.8549560418191127	-61498.610635572986	74138.10378211009	Event study
treatment	123500.94546576081	67425.56563989204	1.8316634690965354	0.06726919941707486	-8794.860085872162	255796.75101739378	Event study
i(anio_fiscal, treatment, ref = 2014)2012	11316.310442784334	76679.31129336126	0.14757970894509165	0.8827012471986159	-139136.28362040577	161768.90450597444	Event study
i(anio_fiscal, treatment, ref = 2014)2013	4322.282519796879	42729.98770267595	0.10115337616926572	0.9194469586446571	-79518.29175923171	88162.85679882547	Event study
i(anio_fiscal, treatment, ref = 2014)2015	6461.994805782915	47222.677522911006	0.1368409235721069	0.8911813282314724	-86193.69304657498	99117.68265814081	Event study
i(anio_fiscal, treatment, ref = 2014)2016	24185.60036167562	82701.03308977351	0.29244616975245885	0.7700001163822507	-138082.22325581952	186453.42397917074	Event study
i(anio_fiscal, treatment, ref = 2014)2017	102857.6971209916	120493.8023694761	0.8536347521476163	0.393491404353812	-133563.3769503216	339278.7711923048	Event study
anio_fiscal2013	19222.523713796712	18106.913305782946	1.061612401251044	0.2887231052260912	-16318.642372794136	54763.68980038756	Event study with fixed effects
anio_fiscal2014	-8697.507236673684	22350.688608549055	-0.3891382224951637	0.697274561618216	-52568.570325732166	35173.555852384794	Event study with fixed effects
anio_fiscal2015	-12305.094951551484	29958.38016145331	-0.41073966233274983	0.6813703566225238	-71108.92015478924	46498.730251686284	Event study with fixed effects
anio_fiscal2016	41377.67755333363	64748.348193845515	0.6390537937656096	0.522965751480805	-85713.658122025	168469.01322869226	Event study with fixed effects
anio_fiscal2017	63130.848634496026	66207.41523098951	0.9535313894106917	0.340600868311684	-66824.41768563147	193086.1149546235	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012	-7310.843313430646	34748.289007291336	-0.21039433947083236	0.8334119871120059	-75516.54408511161	60894.85745825033	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013	-12882.587795436328	29666.487583419763	-0.4342471537694354	0.6642227943845973	-71113.47146964936	45348.29587877671	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015	-4.711375217018725	30416.590327245256	-1.5489491643639534e-4	0.9998764492744121	-59707.93468844489	59698.51193801085	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016	-75937.98176769883	59851.864842745505	-1.2687655090984702	0.2048834389956097	-193418.2520404252	41542.28850502752	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017	-40612.906627335076	69140.38413916656	-0.5873977579527031	0.5570977134843645	-176325.15279996098	95099.33954529082	Event study with fixed effects
(Intercept)	-65727910.30917692	100442930.69672953	-0.6543806503180523	0.5128665974975621	-262592436.9764194	131136616.35806555	Event study assets weighted
anio_fiscal	32837.27276161057	49878.90069765028	0.6583399453941351	0.5103197155288939	-64923.57619423373	130598.12171745487	Event study assets weighted
treatment	363177.7093519097	94230.91408363273	3.854124868507364	1.1614431148836768e-4	178488.51151770144	547866.907186118	Event study assets weighted
anio_fiscal::2012:treatment	65197.184666411136	115223.20113117393	0.5658338253611657	0.5715067499125288	-160636.13973410454	291030.5090669268	Event study assets weighted
