term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	767599.4067241657	16903.72597488082	45.41007159396865	0	734467.3414177885	800731.4720305428	Linear model
treatment	-570184.7843519121	25120.189636229607	-22.698267513457097	4.427802270057091e-113	-619421.4890153055	-520948.0796885187	Linear model
postPost	-53244.87149953471	9986.144543596543	-5.3318747057068325	9.792434435508238e-8	-72818.16520229752	-33671.577796771904	Linear model
treatment:postPost	217854.73991980543	25478.082510802888	8.550672517346369	1.2824431413124057e-17	167916.5490804843	267792.93075912655	Linear model
postPost	-61167.79534395562	9415.79247847341	-6.49629815905552	8.393555564064483e-11	-79623.34167156242	-42712.249016348826	Linear model with fixed effect
treatment:postPost	222692.58722533888	24827.063420237293	8.969751414249636	3.184298240335655e-19	174029.97914660716	271355.1953040706	Linear model with fixed effect
(Intercept)	1804193.9045257696	31116.732826109263	57.98146979659498	0	1743203.7047527866	1865184.1042987527	Linear model assets weighted
treatment	-1435769.5065887922	47927.660603050535	-29.957012057822144	3.0814863081895084e-194	-1529709.8830147858	-1341829.1301627986	Linear model assets weighted
postPost	-91308.6030682437	24210.874709370983	-3.7713880297312055	1.6266155946127603e-4	-138763.00946287	-43854.1966736174	Linear model assets weighted
treatment:postPost	378670.50794832694	50751.053815411244	7.461332907994485	8.803112607748566e-14	279196.1534847973	478144.8624118566	Linear model assets weighted
treatment:postPost	384341.78570294566	49808.59576076235	7.716374650451762	1.196851689240976e-14	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	27481818.82717503	6606852.35194806	4.15959330755619	3.197241510972061e-5	14532090.160318771	40431547.49403129	Event study
anio_fiscal	-13274.065733827973	3279.994291287557	-4.04697830392176	5.201638769930173e-5	-19703.002516180524	-6845.128951475421	Event study
treatment	-587424.1175860601	23536.842236288827	-24.957643497324227	4.693588861615167e-136	-633557.3901942594	-541290.8449778608	Event study
i(anio_fiscal, treatment, ref = 2014)2012	39358.85890050356	18959.162241484915	2.0759809109276817	0.037904432936336795	2198.0455964580397	76519.67220454908	Event study
i(anio_fiscal, treatment, ref = 2014)2013	34792.11998564408	16786.64923704594	2.07260659910987	0.03821764664888791	1889.5301795712585	67694.7097917169	Event study
i(anio_fiscal, treatment, ref = 2014)2015	141905.99534006827	20317.61481903501	6.984382596283914	2.922264657904571e-12	102082.55369972001	181729.43698041653	Event study
i(anio_fiscal, treatment, ref = 2014)2016	279968.9016533943	29624.12471554007	9.45070628556089	3.608030043254108e-21	221904.28076834593	338033.52253844263	Event study
