term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	945231.7247445364	21685.655459175534	43.58787893333399	0	902726.2311762907	987737.2183127822	Linear model
treatment	-854180.768668043	25113.310102624208	-34.01306976967507	4.8290485438450224e-247	-903404.7196366452	-804956.8176994408	Linear model
postPost	-77878.61783077735	12838.05815474882	-6.066230335774723	1.3313291589838574e-9	-103042.1642752337	-52715.071386321	Linear model
treatment:postPost	258527.35777319368	30824.211607290137	8.387152316072545	5.283093215447189e-17	198109.61616116622	318945.09938522114	Linear model
postPost	-85721.89337578783	12010.602806133125	-7.1371849323011975	9.896917117920186e-13	-109263.85965044727	-62179.927101128385	Linear model with fixed effect
treatment:postPost	264939.69879546127	30393.74622988569	8.716914880829998	3.108846368947984e-18	205364.95802232146	324514.4395686011	Linear model with fixed effect
(Intercept)	2250952.3916612305	31089.898348820436	72.40140724830104	0	2190013.884324388	2311890.898998073	Linear model assets weighted
treatment	-2087080.4028221697	40159.336956544976	-51.96999156336986	0	-2165795.682695769	-2008365.1229485709	Linear model assets weighted
postPost	-149064.2771858176	30682.5212712214	-4.858279926481534	1.1924221310674705e-6	-209204.29522708233	-88924.25914455287	Linear model assets weighted
treatment:postPost	480162.06221351644	63040.78733100778	7.616688854032441	2.7098253763059804e-14	356597.44202116097	603726.6824058719	Linear model assets weighted
treatment:postPost	481876.81690429786	62623.52782462888	7.694820679118353	1.4169274971853601e-14	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	41395168.86716271	8563232.548919994	4.83405870746597	1.3469961898920278e-6	24610597.58591431	58179740.14841111	Event study
anio_fiscal	-20098.526607128784	4251.087215563449	-4.727855625626086	2.2833972021571973e-6	-28430.973026726206	-11766.080187531365	Event study
treatment	-865092.5254353618	22723.696400133827	-38.070061762938664	5.763966851121157e-307	-909632.6567260387	-820552.3941446849	Event study
i(anio_fiscal, treatment, ref = 2014)2012	25231.29397824458	20522.919711949347	1.2294202936219552	0.21892770505057413	-14995.151681928055	65457.73963841722	Event study
i(anio_fiscal, treatment, ref = 2014)2013	35640.634980159426	17371.105845168055	2.051719406802948	0.04020901259382731	1591.9783978846972	69689.29156243415	Event study
i(anio_fiscal, treatment, ref = 2014)2015	160501.26609432517	24161.131210482785	6.6429532912220814	3.1480253614404964e-11	113143.65590200471	207858.87628664562	Event study
i(anio_fiscal, treatment, ref = 2014)2016	320007.0430224222	35999.56183279134	8.889192721532895	6.629352411828673e-19	249445.2302695497	390568.85577529465	Event study
i(anio_fiscal, treatment, ref = 2014)2017	304232.8819921046	36008.38186487898	8.448946224069019	3.123402430374354e-17	233653.78132179764	374811.9826624115	Event study
anio_fiscal2013	86458.48164001649	11441.3650000953	7.55665793716889	4.33804826456781e-14	64032.276917157506	108884.68636287547	Event study with fixed effects
anio_fiscal2014	201913.92393722862	15251.22216589435	13.239196291347719	8.075641263073816e-40	172020.0231165396	231807.82475791764	Event study with fixed effects
anio_fiscal2015	95338.58681592884	17256.835845474165	5.524685270789816	3.347520427576026e-8	61513.48521868486	129163.68841317281	Event study with fixed effects
anio_fiscal2016	5122.063230142425	18824.418596811418	0.27209675580684484	0.7855508139095334	-31775.655288353424	42019.78174863828	Event study with fixed effects
anio_fiscal2017	-53352.08708008277	20033.115737919976	-2.663194671166128	0.007747301839003979	-92618.97129989215	-14085.202860273384	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012	266615.3228971214	24474.109073022446	10.893770314646865	1.5110906477028664e-27	218643.65339120058	314586.99240304227	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013	168420.8265963679	20373.133859532692	8.26680999386665	1.4728083226723044e-16	128487.47329662748	208354.17989610834	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015	245372.37616378447	26067.347165283987	9.413016775660505	5.4008357201605616e-21	194277.80273608357	296466.9495914854	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016	473695.1180051394	37073.211741715466	12.777288391017088	3.2132045182516053e-37	401027.9636711342	546362.2723391446	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017	496345.58130860794	36531.87154148556	13.586645314488154	7.810661668307417e-42	424739.50720016746	567951.6554170484	Event study with fixed effects
(Intercept)	49824379.38264391	19921415.12655634	2.5010461890443354	0.012382702746874636	10779123.213522047	88869635.55176577	Event study assets weighted
anio_fiscal	-23652.385962130633	9890.549503199794	-2.391412727319003	0.01678367365510423	-43037.506775712754	-4267.265148548515	Event study assets weighted
treatment	-2091060.0422434676	34712.57826983058	-60.23926041992828	0	-2159095.4454628634	-2023024.639024072	Event study assets weighted
anio_fiscal::2012:treatment	63206.933824045525	42556.55957529085	1.4852453876639191	0.13747883282040138	-20202.39024945769	146616.25789754873	Event study assets weighted
anio_fiscal::2013:treatment	67754.72700701124	34261.471900711695	1.9775778227906142	0.04797635316632778	603.4760242852644	134905.97798973724	Event study assets weighted
anio_fiscal::2015:treatment	278807.95851701626	49049.21393599403	5.684249270148186	1.3138852418776883e-8	182673.26573246787	374942.65130156465	Event study assets weighted
anio_fiscal::2016:treatment	563757.8486947424	70966.18755656898	7.944034590351306	1.9570898033440134e-15	424666.6769637527	702849.0204257321	Event study assets weighted
anio_fiscal::2017:treatment	496783.2171486344	71608.91037890538	6.937449746407219	3.992412705467592e-12	356432.33183382335	637134.1024634454	Event study assets weighted
anio_fiscal::2012:treatment	691270.6144662448	52881.59902374977	13.072044477244093	4.756961166847971e-39	587624.5849348068	794916.6439976828	Event study assets weighted with fixed effects
