term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	1009861.9863693918	22850.254100553677	44.194781463936636	0	965072.9445697133	1054651.0281690704	Linear model
treatment	-559112.3314189542	60104.75684562734	-9.302297534535821	1.5473559305538263e-20	-676924.3458881099	-441300.31694979843	Linear model
postPost	105324.27502317545	14689.61773989597	7.169980654916712	7.826697799221417e-13	76530.98895824906	134117.56108810185	Linear model
treatment:postPost	489969.8996979514	92338.09795157563	5.306259394198304	1.133795363921202e-7	308976.94834360667	670962.8510522961	Linear model
postPost	-31122.330262612726	10980.461292350052	-2.834337231742282	0.004599386909379607	-52645.706148102356	-9598.954377123096	Linear model with fixed effect
treatment:postPost	272068.41731012537	84867.42358112284	3.2058050760791783	0.0013502110589296722	105715.34620170429	438421.48841854645	Linear model with fixed effect
(Intercept)	2402588.805982385	29305.87984784029	81.98316578300735	0	2345146.019057338	2460031.5929074315	Linear model assets weighted
treatment	-1773314.8238366817	89503.53348792423	-19.81279123550956	2.4611064450980006e-86	-1948751.713289584	-1597877.9343837793	Linear model assets weighted
postPost	7119.35605496688	25278.349819866307	0.2816384813763343	0.7782243494485791	-42429.02365786326	56667.735767797014	Linear model assets weighted
treatment:postPost	837514.3262561806	133754.4237305044	6.261582255728973	3.907503217425757e-10	575340.7657786929	1099687.8867336684	Linear model assets weighted
treatment	-122833.01834458794	5176469877298.488	-2.3729109075525503e-8	0.9999999810669102	-10145694649394.525	10145694403728.49	Linear model assets weighted with fixed effect
treatment:postPost	404925.4339291494	132157.75719705707	3.0639550981890182	0.0021843169203627035	145900.98954532848	663949.8783129703	Linear model assets weighted with fixed effect
(Intercept)	-81434027.49199751	10514051.709295118	-7.74525651419466	1.0104427360693553e-14	-102042739.68467492	-60825315.2993201	Event study
anio_fiscal	40951.87113812589	5221.6765081301255	7.842667211261368	4.6858271250849765e-15	30716.803697456722	51186.93857879506	Event study
treatment	-767329.9657692143	47533.15208857605	-16.14304821063259	3.637417176696164e-58	-860500.2371440638	-674159.6943943648	Event study
i(anio_fiscal, treatment, ref = 2014)2012	350127.7255771742	80379.99479700493	4.355906298095711	1.3333690844105044e-5	192573.9846767085	507681.46647764	Event study
i(anio_fiscal, treatment, ref = 2014)2013	289765.10296387237	74780.52158974663	3.8748740554867016	1.0710261561223719e-4	143186.9531057234	436343.2528220214	Event study
i(anio_fiscal, treatment, ref = 2014)2015	436206.5006776442	81049.5617710357	5.381972353039042	7.470536222195811e-8	277340.3339452489	595072.6674100396	Event study
i(anio_fiscal, treatment, ref = 2014)2016	914338.9888801228	110114.05339448774	8.303563084763296	1.0898450159727341e-16	698503.1819504411	1130174.7958098045	Event study
i(anio_fiscal, treatment, ref = 2014)2017	721629.0982623326	109317.07412409312	6.601247829256417	4.2045380516199336e-11	507355.45945405867	935902.7370706066	Event study
anio_fiscal2013	51107.98920297798	10498.711331914106	4.868024997279362	1.140865795484298e-6	30528.91532972453	71687.06307623142	Event study with fixed effects
anio_fiscal2014	97962.74200867602	13213.050887950825	7.414089511908993	1.3029185402213147e-13	72063.14902837998	123862.33498897207	Event study with fixed effects
anio_fiscal2015	49199.62381512184	14965.809994782649	3.2874681579061686	0.0010136949403236975	19864.355921861636	78534.89170838206	Event study with fixed effects
anio_fiscal2016	14893.554846677675	18133.60731214587	0.8213233357436823	0.4114776659135033	-20651.078458063603	50438.18815141895	Event study with fixed effects
anio_fiscal2017	-4421.721185952578	20474.329756039115	-0.21596414821092474	0.8290191912188646	-44554.52713081913	35711.084758913974	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012	271028.96147267194	67742.5349248736	4.00086831372996	6.347147866177604e-5	138243.2712572748	403814.6516880691	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013	105886.11230058473	50687.6408066275	2.0889927133231248	0.036728403103438806	6530.6131690216425	205241.61143214782	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015	189230.14580920702	59143.77344669546	3.1994939582229156	0.001380101595533008	73299.3382630767	305160.9533553374	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016	579297.6189764434	115093.03258961499	5.033298766590275	4.887676961421102e-7	353697.73865983397	804897.4992930528	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017	526376.511962403	113899.88493146836	4.621396345388012	3.849492795095703e-6	303115.38285272114	749637.6410720848	Event study with fixed effects
(Intercept)	-36499370.66982147	17014635.70928458	-2.1451749713280326	0.03193885995760927	-69847443.87008837	-3151297.4695545807	Event study assets weighted
anio_fiscal	19313.122953966358	8447.353705538633	2.2862926813758753	0.022237141755037704	2756.6139264396734	35869.63198149305	Event study assets weighted
treatment	-1999174.6553482986	69368.01791016039	-28.81983247578821	1.2105314242925417e-182	-2135133.4721311424	-1863215.8385654548	Event study assets weighted
anio_fiscal::2012:treatment	427146.4442716916	126633.75570249614	3.3730851770297128	7.433095474585683e-4	178948.84386775552	675344.0446756277	Event study assets weighted
anio_fiscal::2013:treatment	313925.1134539328	105917.46603898883	2.9638654057148153	0.003038011334805889	106330.69468377045	521519.5322240952	Event study assets weighted
anio_fiscal::2015:treatment	583004.4497741719	115556.70164669167	5.045180776764262	4.530927725487808e-7	356517.4763744159	809491.4231739279	Event study assets weighted
anio_fiscal::2016:treatment	1389871.0033321858	152216.77244554705	9.130866336227097	6.795329907024143e-20	1091531.6114959847	1688210.3951683869	Event study assets weighted
anio_fiscal::2017:treatment	1188517.2851832695	162086.75380969714	7.332599717424683	2.257303936680662e-13	870833.0853452529	1506201.4850212862	Event study assets weighted
anio_fiscal::2012:treatment	564515.9432062196	110091.44200864415	5.127700508836054	2.9330253332299446e-7	348740.6818631971	780291.204549242	Event study assets weighted with fixed effects
anio_fiscal::2013:treatment	231529.56467541156	68596.4303130901	3.375242175411412	7.375076019155457e-4	97083.03179374337	365976.09755707975	Event study assets weighted with fixed effects
anio_fiscal::2015:treatment	369389.88648528035	94386.89006608025	3.9135719613886053	9.094078211759793e-5	184394.9813430217	554384.791627539	Event study assets weighted with fixed effects
anio_fiscal::2016:treatment	948393.3807786097	177303.6490784616	5.348978352718055	8.845211968900815e-8	600884.6142572967	1295902.1472999225	Event study assets weighted with fixed effects
anio_fiscal::2017:treatment	875687.7640173018	175497.31528544094	4.989750199842219	6.045742207768799e-7	531719.346674367	1219656.1813602368	Event study assets weighted with fixed effects
