term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	308865.3421106176	13387.2490012221	23.071606577454546	1.2713530416841301e-112	282621.18414411537	335109.50007711985	Linear model
treatment	635711.3067371002	90697.5159817027	7.009136908064257	2.6785347517040206e-12	457909.2850987578	813513.3283754427	Linear model
postPost	135461.9684416701	17646.098838282665	7.6765958120890465	1.9134109143052912e-14	100868.82646290163	170055.11042043855	Linear model
treatment:postPost	110462.29798374561	76440.60292620852	1.4450736095106382	0.14849276659017982	-39390.6895917418	260315.28555923302	Linear model
postPost	68414.51590016486	14415.283424877167	4.745970917373608	2.1417305055501375e-6	40153.21242114981	96675.81937917991	Linear model with fixed effect
treatment:postPost	154172.97598849869	71721.1510117275	2.1496165888816963	0.03164056462367368	13562.961265602615	294782.99071139476	Linear model with fixed effect
(Intercept)	694182.8941780158	24546.338105400744	28.2805073081463	1.169783675231139e-164	646062.6287912658	742303.1595647658	Linear model assets weighted
treatment	681191.5497488462	117604.99863568241	5.792198951160624	7.322459693134588e-9	450640.51110279013	911742.5883949023	Linear model assets weighted
postPost	194634.01308801858	35214.49876900267	5.52709877726114	3.4017500613082414e-8	125600.04887920023	263667.9772968369	Linear model assets weighted
treatment:postPost	58202.81891313195	107083.34666258191	0.5435282023499713	0.5867876603763585	-151721.73430448383	268127.37213074777	Linear model assets weighted
treatment:postPost	107295.00019545486	97879.87062073676	1.0961906622373836	0.27299534516869034	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	-94846360.42225616	12576695.253335427	-7.541437437398528	5.386950725508493e-14	-119501524.98797813	-70191195.85653418	Event study
anio_fiscal	47269.869970278516	6248.193784848727	7.565365543703756	4.4907443471287013e-14	35021.00467610583	59518.7352644512	Event study
treatment	509224.15231969033	88607.1926399003	5.746984382962879	9.561070523266789e-9	335519.9420929224	682928.3625464583	Event study
i(anio_fiscal, treatment, ref = 2014)2012	250855.48404149228	79922.3199967223	3.1387412684188862	0.0017055123285696315	94176.96776187653	407534.00032110803	Event study
i(anio_fiscal, treatment, ref = 2014)2013	141857.01366522154	76505.72371113983	1.8542013170259843	0.06376256817539232	-8123.6585481375805	291837.68587858067	Event study
i(anio_fiscal, treatment, ref = 2014)2015	112772.62765744897	64704.509541219224	1.742886677560063	0.08140794848152631	-14073.121464125958	239618.3767790239	Event study
i(anio_fiscal, treatment, ref = 2014)2016	317077.28644135466	92953.01947927287	3.411156390805122	6.514258923843518e-4	134853.58252084826	499300.99036186107	Event study
i(anio_fiscal, treatment, ref = 2014)2017	290054.4137738761	109405.2664684987	2.6511924255254393	0.008043250575781823	75577.97184672282	504530.85570102936	Event study
anio_fiscal2013	-784.9326160141529	8191.087766498974	-0.09582764077128769	0.9236618885141948	-16843.648160208635	15273.78292818033	Event study with fixed effects
anio_fiscal2014	-6930.425613494993	10121.25239957958	-0.6847399254446882	0.49354461521220794	-26773.249652153117	12912.39842516313	Event study with fixed effects
anio_fiscal2015	28563.88832726265	14614.691818151969	1.9544639519380957	0.05071049622413473	-88.37195416774193	57216.148608693045	Event study with fixed effects
anio_fiscal2016	94105.67336142356	23051.13475876347	4.08247465238764	4.536064154011715e-5	48913.676081666046	139297.67064118106	Event study with fixed effects
anio_fiscal2017	118459.87801557333	26889.65628450679	4.405406925332371	1.0813101230336577e-5	65742.41805620809	171177.33797493856	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012	121836.42178743066	76782.61029702018	1.586771032088225	0.11263736097269957	-28696.710398455514	272369.55397331686	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013	83093.6866585195	77113.48452233513	1.0775506666989256	0.2812942171977904	-68088.12799991571	234275.5013169547	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015	149512.81379001465	62084.22511010436	2.408225495685233	0.016071715049634776	27796.02363394531	271229.603946084	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016	241891.5600051811	88966.15079038362	2.718916777405719	0.006575658441190097	67472.46582236665	416310.65418799553	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017	247101.04447275054	101966.28415552372	2.4233602952115088	0.015418301834918938	47195.049197114946	447007.03974838613	Event study with fixed effects
(Intercept)	-132622261.80077818	23369556.31025777	-5.67500127259863	1.3868762468488831e-8	-178425750.50356415	-86818773.09799221	Event study assets weighted
anio_fiscal	66227.59628367971	11607.966741464264	5.705357170529381	1.1609937696691285e-8	43476.399536670986	88978.79303068844	Event study assets weighted
treatment	515814.4164066422	120153.37779372913	4.292966422401841	1.7630167680549064e-5	280318.1233100984	751310.7095031859	Event study assets weighted
anio_fiscal::2012:treatment	322671.7072497709	116095.31858801383	2.77936880809839	0.005446464880092058	95129.06404356033	550214.3504559814	Event study assets weighted
anio_fiscal::2013:treatment	184141.13356090966	117497.89701325174	1.5671866326266393	0.11707107404521767	-46150.51284426008	414432.7799660794	Event study assets weighted
anio_fiscal::2015:treatment	124483.64143961575	97974.20837122848	1.2705756291282486	0.20387966157587656	-67542.27838181469	316509.5612610462	Event study assets weighted
anio_fiscal::2016:treatment	320096.93994457764	130588.40112247698	2.451189670699493	0.014238490362844235	64148.376945852855	576045.5029433024	Event study assets weighted
anio_fiscal::2017:treatment	230370.4818632817	142063.63966310464	1.6216005897750572	0.10488889630170126	-48069.13538907928	508810.09911564266	Event study assets weighted
anio_fiscal::2012:treatment	166927.46295450954	117377.64401225492	1.422140172936861	0.15498556250712434	-63128.491899673594	396983.41780869267	Event study assets weighted with fixed effects
anio_fiscal::2013:treatment	113375.81989848826	121689.25733920725	0.9316830620672999	0.3515003424866839	-125130.74179178436	351882.3815887609	Event study assets weighted with fixed effects
anio_fiscal::2015:treatment	183489.12076129866	94912.20145279518	1.9332511305467657	0.05320526879860423	-2535.3757795900456	369513.61730218737	Event study assets weighted with fixed effects
anio_fiscal::2016:treatment	204604.72255818878	126206.44477494978	1.6211907634593314	0.10497673306579516	-42755.36381755603	451964.8089339336	Event study assets weighted with fixed effects
anio_fiscal::2017:treatment	198679.25190429768	132192.6827173963	1.50295196239445	0.13285143194537208	-60413.64524152945	457772.1490501248	Event study assets weighted with fixed effects
