term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	12.360010721649335	0.027514582985925545	449.21672001977333	0	12.30608012821708	12.41394131508159	Linear model
treatment	-0.6998636484176811	0.1689917357738638	-4.1414075381425945	3.464835941742849e-5	-1.0310998005372123	-0.36862749629814995	Linear model
postPost	0.17414223691529346	0.021438568317701454	8.122848239427782	4.794116004122869e-16	0.13212107627102607	0.21616339755956085	Linear model
treatment:postPost	0.516639704444764	0.1386992621725771	3.7248915124143416	1.9589304266530975e-4	0.24477901437326827	0.7885003945162599	Linear model
postPost	-0.07641952870871589	0.01656838124626309	-4.612371454571153	4.010116213048284e-6	-0.10889527798369364	-0.043943779433738145	Linear model with fixed effect
treatment:postPost	0.33918120361144427	0.11753484647877598	2.8857927140160293	0.003909217958239145	0.10880068854581942	0.5695617186770692	Linear model with fixed effect
(Intercept)	13.97453257496787	0.026995777120339987	517.6562435181297	0	13.921618878946761	14.02744627098898	Linear model assets weighted
treatment	-1.6201720075783237	0.20183913385082908	-8.027045977990202	1.0487297983469757e-15	-2.015791460433412	-1.2245525547232354	Linear model assets weighted
postPost	0.032679553059199846	0.02795443210525549	1.169029402427246	0.24240459958771046	-0.022113176791342275	0.08747228290974196	Linear model assets weighted
treatment:postPost	0.5722082144557629	0.1771013703572935	3.230964352796143	0.0012355680430889064	0.22507658589645313	0.9193398430150725	Linear model assets weighted
treatment	-0.05625507144501384	4197616.343515493	-1.3401670577140064e-8	0.999999989307014	-8227176.910462148	8227176.797952005	Linear model assets weighted with fixed effect
treatment:postPost	0.3333322652380418	0.1633124744652683	2.041070446880845	0.04124382538067644	0.013245697059998784	0.6534188334160849	Linear model assets weighted with fixed effect
(Intercept)	-125.866833202356	15.207461433737535	-8.276649837370112	1.339067520044167e-16	-155.67456928681173	-96.05909711790027	Event study
anio_fiscal	0.06866047900325793	0.007550680665706683	9.09328337974837	1.0412759875343662e-19	0.053860592939297534	0.08346036506721832	Event study
