term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	12.671662743824085	0.030542676100501133	414.8838399794369	0	12.61179569855975	12.73152978908842	Linear model
treatment	-1.9555654571713157	0.2601140140594735	-7.5181087964148965	5.849516546838977e-14	-2.4654178814430274	-1.4457130328996037	Linear model
postPost	0.09702762788325955	0.024318984156832996	3.9897895100193703	6.642460662020371e-5	0.04935971166959611	0.144695544096923	Linear model
treatment:postPost	1.1385478071445825	0.23112068844703654	4.926204637043955	8.467428788485652e-7	0.6855255287019999	1.591570085587165	Linear model
postPost	-0.10076569625746944	0.019511158400856047	-5.16451633405059	2.4473765093225225e-7	-0.13901053725659254	-0.06252085525834633	Linear model with fixed effect
treatment:postPost	0.43527641684305507	0.21875280165514815	1.9898095638072997	0.046633491549688044	0.006487620938103067	0.8640652127480071	Linear model with fixed effect
(Intercept)	14.338859144607897	0.02538158802166522	564.9315217144227	0	14.289108406526736	14.388609882689057	Linear model assets weighted
treatment	-3.026761475264925	0.3251168414644071	-9.309765257412192	1.4428840207755024e-20	-3.664026677570747	-2.3894962729591027	Linear model assets weighted
postPost	-0.061195106642032454	0.03280788578951744	-1.8652560251713968	0.06216369979278805	-0.12550221506714926	0.0031120017830843366	Linear model assets weighted
treatment:postPost	1.184815799501195	0.29910146443833047	3.961250412886171	7.487937465234718e-5	0.5985436322805762	1.7710879667218138	Linear model assets weighted
treatment	-0.09629093923805312	8013324.388855685	-1.2016353583784423e-8	0.999999990412337	-15705827.294884516	15705827.102302639	Linear model assets weighted with fixed effect
treatment:postPost	0.3195010664208084	0.3117798060244957	1.0247651074479984	0.3054740339828477	-0.29157612449408715	0.930578257335704	Linear model assets weighted with fixed effect
(Intercept)	-75.20707996253309	17.14263763370146	-4.387135840442674	1.1558296269718975e-5	-108.8085587249006	-41.605601200165566	Event study
anio_fiscal	0.04364807354185729	0.00851142429412473	5.1281750308214225	2.9595804762055213e-7	0.026964734095057216	0.060331412988657365	Event study
treatment	-2.4777092676865777	0.29458881411180826	-8.410737777525346	4.412269440570164e-17	-3.0551361486905155	-1.90028238668264	Event study
i(anio_fiscal, treatment, ref = 2014)2012	0.8692310671543195	0.24197938684473128	3.5921698888842593	3.2891321141092486e-4	0.39492452216796753	1.3435376121406715	Event study
i(anio_fiscal, treatment, ref = 2014)2013	0.7199277609631037	0.20728507195372922	3.4731288373907026	5.157799635871515e-4	0.31362593671430256	1.1262295852119049	Event study
i(anio_fiscal, treatment, ref = 2014)2015	1.096800199299254	0.23372023104234996	4.692791010892482	2.717209747774887e-6	0.6386825194233219	1.554917879175186	Event study
i(anio_fiscal, treatment, ref = 2014)2016	2.048512465848162	0.27180136295719626	7.536799828964674	5.07220555063133e-14	1.5157515267127541	2.5812734049835697	Event study
i(anio_fiscal, treatment, ref = 2014)2017	1.795257282486619	0.28818851670861406	6.229454604889044	4.796901533946036e-10	1.2303756971286366	2.3601388678446016	Event study
anio_fiscal2013	0.10628971986720384	0.017527855851397402	6.064045754845133	1.3654027626786124e-9	0.07193245172238273	0.14064698801202496	Event study with fixed effects
anio_fiscal2014	0.21530182471012937	0.022524237761977182	9.558673060785082	1.4116890348796078e-21	0.17115088673420698	0.2594527626860518	Event study with fixed effects
anio_fiscal2015	0.08559022162961742	0.028776661441579202	2.974292963184002	0.0029422125054506497	0.02918358057532964	0.1419968626839052	Event study with fixed effects
anio_fiscal2016	-0.0010985403702557658	0.03228602956198294	-0.034025254426122004	0.9728575514558865	-0.06438407765428322	0.06218699691377169	Event study with fixed effects
anio_fiscal2017	-0.064478270517099	0.03433247390143057	-1.8780548906035086	0.06039674268049107	-0.13177515051811076	0.002818609483912743	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012	0.8160329353319353	0.22143044696888214	3.685278815548854	2.2941059720390028e-4	0.38199552046290847	1.2500703502009622	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013	0.5490452929998583	0.16974414384444142	3.2345463034236968	0.0012215041048372001	0.21632090756901795	0.8817696784306985	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015	0.48854381095110794	0.17493068804075926	2.7927850534565786	0.005233523511899382	0.14565300863456215	0.8314346132676538	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016	1.19044690812629	0.2870532565803464	4.147129080882185	3.3887772958257766e-5	0.6277787876334562	1.753115028619124	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017	1.1492348382888908	0.3056843191201688	3.7595478943658556	1.7099030371281733e-4	0.550046996449046	1.7484226801287357	Event study with fixed effects
(Intercept)	7.3043482494085765	21.704060208981932	0.3365429407713203	0.7364614759094457	-35.23482807848488	49.843524577302034	Event study assets weighted
anio_fiscal	0.0034773878335813413	0.01077454543982366	0.32274102448244474	0.7468913802597517	-0.017640333178263305	0.024595108845425987	Event study assets weighted
treatment	-3.455289691001429	0.3701384553715154	-9.335127547158766	1.0086972792922443e-20	-4.180747732822885	-2.729831649179973	Event study assets weighted
anio_fiscal::2012:treatment	0.8005004428260047	0.30668439649963297	2.610176624447089	0.009049548552766564	0.19941007106632247	1.401590814585687	Event study assets weighted
anio_fiscal::2013:treatment	0.5692501491223059	0.24568715550852782	2.316971548407003	0.020505281683681566	0.0877121728614999	1.0507881253831117	Event study assets weighted
anio_fiscal::2015:treatment	0.938334726265234	0.25119102895207046	3.735542348704964	1.8731105266158273e-4	0.44600935627961796	1.43066009625085	Event study assets weighted
anio_fiscal::2016:treatment	2.095979017940179	0.3367262120614052	6.22457932546682	4.828498001084552e-10	1.4360077696492282	2.75595026623113	Event study assets weighted
