term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	10.170795548318134	0.46582641131584845	21.833874810979616	3.7247922051703974e-99	9.257475085142774	11.084116011493494	Linear model
treatment	3.1169589754302636	0.4701077499450704	6.630307574794212	3.867987969729412e-11	2.1952443248819593	4.038673625978568	Linear model
postPost	0.4374912517661301	0.45016622687748997	0.971843789350263	0.331195771411385	-0.4451251410576769	1.3201076445899371	Linear model
treatment:postPost	-0.5384411486188238	0.45568429250664366	-1.1816100696755387	0.23744114880161013	-1.4318765120587762	0.3549942148211288	Linear model
postPost	-0.044562564413806016	0.4594314762346092	-0.09699501823216417	0.9227377722611527	-0.9454480500195144	0.8563229211919023	Linear model with fixed effect
treatment:postPost	-0.13403625505378644	0.4636035292676139	-0.2891182801510003	0.7725137480668177	-1.043102595078559	0.7750300849709862	Linear model with fixed effect
(Intercept)	10.499774850528297	0.6437992665616985	16.309081721394058	1.110330448110107e-57	9.2375127072824	11.762036993774194	Linear model assets weighted
treatment	3.9730273162758394	0.6450001146190683	6.159731178687117	8.117709782850133e-10	2.7084107356744864	5.237643896877192	Linear model assets weighted
postPost	0.36366987884735275	0.5984333942292056	0.6077031836028585	0.5434239815230818	-0.8096458703672851	1.5369856280619905	Linear model assets weighted
treatment:postPost	-0.5465258222349199	0.6051098368521445	-0.9031844946993659	0.3664904621569919	-1.7329317087209106	0.6398800642510709	Linear model assets weighted
treatment	55.11973864536599	134688631.87752587	4.0923823990941634e-7	0.9999996734751266	-263984812.48718545	263984922.72666273	Linear model assets weighted with fixed effect
treatment:postPost	-0.4011979757242426	0.5311206056362212	-0.7553801744213138	0.45002090534062383	-1.4421752342183372	0.6397792827698521	Linear model assets weighted with fixed effect
(Intercept)	-57.28342704712087	239.88909876504115	-0.23879128873307826	0.8112814941556259	-527.621100247685	413.05424615344333	Event study
anio_fiscal	0.033598836164681484	0.11904691600181126	0.2822318905276831	0.7777824997349032	-0.19981005887158862	0.26700773120095156	Event study
treatment	2.948522874907307	0.392906461188361	7.504388871563436	7.794819556293349e-14	2.1781722766844083	3.718873473130206	Event study
i(anio_fiscal, treatment, ref = 2014)2012	-0.022049497855600942	0.24537174355321673	-0.08986160156953363	0.9284023694256125	-0.5031366982582386	0.45903770254703674	Event study
i(anio_fiscal, treatment, ref = 2014)2013	-0.024687155234644955	0.12847443267158568	-0.19215617240943025	0.8476310934947218	-0.2765800759200514	0.22720576545076152	Event study
i(anio_fiscal, treatment, ref = 2014)2015	-0.23474944545429183	0.13098959698371102	-1.7921228163140597	0.07320018551983529	-0.4915737137347835	0.022074822826199825	Event study
i(anio_fiscal, treatment, ref = 2014)2016	-0.18889277303505678	0.253982086482699	-0.7437247864641192	0.4570932292182258	-0.6868618104188662	0.30907626434875257	Event study
i(anio_fiscal, treatment, ref = 2014)2017	-0.1900740917726928	0.3693516982243802	-0.5146154537435571	0.6068544633139323	-0.9142421312119573	0.5340939476665718	Event study
anio_fiscal2013	-0.15351973941717406	0.17086177154587273	-0.8985025616216165	0.3690005280551044	-0.48855796829628834	0.1815184894619402	Event study with fixed effects
anio_fiscal2014	-1.0367581925032912	0.3950017416538646	-2.6246927118913574	0.00872327677579025	-1.811306429540302	-0.2622099554662801	Event study with fixed effects
anio_fiscal2015	-0.5698704912950487	0.5223756339687576	-1.090920889562647	0.2754083550026785	-1.5941827504448904	0.45444176785479296	Event study with fixed effects
anio_fiscal2016	-0.6436219205751972	0.5358611928108916	-1.201098212018378	0.2298220500103181	-1.6943776475003958	0.4071338063500014	Event study with fixed effects
anio_fiscal2017	-0.15238997554312905	0.49252375147488964	-0.30940634860103466	0.7570371302875054	-1.118166485303484	0.8133865342172258	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012	-1.2693510450715717	0.39819638378143946	-3.187751312599284	0.0014507876972883673	-2.050163569495056	-0.48853852064808734	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013	-1.0180543344506299	0.34760197360629475	-2.928793308877214	0.0034322734083817737	-1.699657647691887	-0.33645102120937265	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015	-0.6748443263618475	0.47415301927403947	-1.4232627420470296	0.15477947695026265	-1.6045981639697433	0.2549095112460481	Event study with fixed effects
