term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	12.671662743823672	0.030541884994752033	414.89458643436797	0	12.611797779110516	12.731527708536829	Linear model
treatment	0.6160917799249633	0.07023859502663048	8.77141377459752	1.9169581614438394e-18	0.4784175331162448	0.7537660267336819	Linear model
postPost	0.09702762788331037	0.02431835425499749	3.9898928548329264	6.636120616806325e-5	0.049361368266144075	0.14469388750047668	Linear model
treatment:postPost	-0.1979775247360106	0.07471241118652068	-2.6498612692576162	0.008059423699224235	-0.34442087163763435	-0.05153417783438688	Linear model
postPost	-0.10076569625747137	0.019511015774722487	-5.164554086826092	2.442400134364728e-7	-0.1390098120095427	-0.06252158050540002	Linear model with fixed effect
treatment:postPost	-0.07783312321012283	0.06503724364137796	-1.1967469537808622	0.23142498155089666	-0.2053145369271338	0.04964829050688817	Linear model with fixed effect
(Intercept)	14.33885914460716	0.025380930596623056	564.9461547526926	0	14.289110135506542	14.388608153707777	Linear model assets weighted
treatment	0.1339430221975066	0.04679073537618659	2.862597074413043	0.0042066271137213415	0.04222878377772962	0.22565726061728356	Linear model assets weighted
postPost	-0.061195106642031774	0.03280703601109728	-1.8653043396340947	0.06215479079389742	-0.12549998021106962	0.003109766927006069	Linear model assets weighted
treatment:postPost	-0.1216608367455531	0.09538794358512234	-1.275432011352518	0.2021726081251502	-0.30863017009761073	0.06530849660650452	Linear model assets weighted
treatment	0.039723120274072835	19366492.916070327	2.051126161366603e-9	0.9999999983634381	-37957628.5826248	37957628.66207104	Linear model assets weighted with fixed effect
treatment:postPost	-0.07166668259691915	0.09529447288850607	-0.7520549767956503	0.45201799802490034	-0.2584404173841196	0.11510705219028132	Linear model assets weighted with fixed effect
(Intercept)	-75.20707995683284	17.1419430144229	-4.387313613955842	1.154025910377737e-5	-108.80689963951994	-41.60726027414575	Event study
anio_fiscal	0.04364807353900842	0.008511079413429577	5.128382831223077	2.952311933341474e-7	0.026965557831445178	0.060330589246571656	Event study
treatment	0.6330117126883683	0.06842709680898468	9.250892441855754	2.46620242995602e-20	0.49888817066881963	0.767135254707917	Event study
i(anio_fiscal, treatment, ref = 2014)2012	-0.001951023115644589	0.06163999801604211	-0.03165190101298877	0.9747499992592097	-0.12277121350115848	0.1188691672698693	Event study
i(anio_fiscal, treatment, ref = 2014)2013	-0.014637917860305898	0.048990389154087044	-0.29879162246019275	0.7651024459863572	-0.11066368578970713	0.08138785006909534	Event study
i(anio_fiscal, treatment, ref = 2014)2015	-0.24479868282856493	0.05523590445857935	-4.43187606373199	9.396105332419288e-6	-0.3530662478447866	-0.13653111781234328	Event study
i(anio_fiscal, treatment, ref = 2014)2016	-0.20899124778368047	0.08993464842762365	-2.3238123619493494	0.020146479771844642	-0.3852716127254807	-0.0327108828418802	Event study
i(anio_fiscal, treatment, ref = 2014)2017	-0.2202218038956665	0.09747158811193661	-2.25934354986361	0.023873769281236547	-0.4112752791050212	-0.029168328686311806	Event study
anio_fiscal2013	0.1062897198671939	0.017527214919934177	6.064267503578548	1.3588682059662184e-9	0.07193410888702516	0.14064533084736264	Event study with fixed effects
anio_fiscal2014	0.2153018247101103	0.022523414130565203	9.55902260030538	1.3785899487160766e-21	0.17115301627992077	0.2594506331402998	Event study with fixed effects
anio_fiscal2015	0.08559022162961206	0.028775609181230285	2.974401726495533	0.0029404945322596353	0.029186301254141914	0.1419941420050822	Event study with fixed effects
anio_fiscal2016	-0.0010985403702544387	0.03228484897650136	-0.0340264986543383	0.972856493842297	-0.06438102518355443	0.062183944443045557	Event study with fixed effects
anio_fiscal2017	-0.06447827051710066	0.034331218484744505	-1.8781235669148288	0.06038454612206273	-0.13177190456706128	0.0028153635328599658	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012	-0.017291027858193253	0.05509450227696273	-0.3138430722410454	0.7536447960098882	-0.1252833869420437	0.09070133122565718	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013	-0.02580377652162595	0.0450850898118451	-0.5723350364680118	0.5671039937666393	-0.11417639097619535	0.06256883793294345	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015	-0.07824502207316135	0.04999662272475488	-1.5650061505938442	0.11760354217883524	-0.17624487707011222	0.019754832923789503	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016	-0.12129821851450678	0.0753459921683679	-1.6098828222137442	0.10744545989963734	-0.26898612031043057	0.02638968328141697	Event study with fixed effects
