term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	11.467484645798628	0.05141017884720391	223.05864136129765	0	11.366701979738329	11.568267311858927	Linear model
treatment	0.5503760230058526	0.12495535862495553	4.404581196535688	1.0785237184510104e-5	0.3054180309674982	0.7953340150442071	Linear model
postPost	0.27285823714429763	0.04273946855545437	6.384221572391913	1.8533503835851302e-10	0.18907331976789635	0.35664315452069895	Linear model
treatment:postPost	-0.308754379426471	0.1149798023542032	-2.6852923131258466	0.007266804412029904	-0.5341566496419352	-0.08335210921100672	Linear model
postPost	0.002108867539272331	0.0304755378378848	0.06919869800134429	0.9448344942781117	-0.05763795108838956	0.061855686166934216	Linear model with fixed effect
treatment:postPost	-0.21546583526764526	0.08403924679890379	-2.5638715656653863	0.010382957490829006	-0.38022347343662977	-0.050708197098660784	Linear model with fixed effect
(Intercept)	13.00418909585564	0.045418682220594565	286.3180625253598	0	12.915151944346373	13.093226247364907	Linear model assets weighted
treatment	0.21567845263465754	0.0953573052524235	2.2617926551482124	0.023746265161497	0.028743420172936268	0.40261348509637884	Linear model assets weighted
postPost	0.18961075789867013	0.04866001503570851	3.8966440466474737	9.860893468350713e-5	0.09421941408700306	0.2850021017103372	Linear model assets weighted
treatment:postPost	-0.3681843925602918	0.14471015396892045	-2.544288582813388	0.010975196927625776	-0.6518689750693316	-0.08449981005125196	Linear model assets weighted
treatment:postPost	-0.36919763625101104	0.13571326274246795	-2.7204241412396626	0.006519822933480687	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	-182.7184171101822	31.24880811101974	-5.847212362821206	5.265390747678308e-9	-243.9774653586658	-121.45936886169861	Event study
anio_fiscal	0.09646420007738203	0.015518749080121052	6.215977820077595	5.44812432610796e-10	0.06604179819639641	0.12688660195836765	Event study
treatment	0.4937700051851946	0.12060979478065456	4.093946151580665	4.297323399268805e-5	0.2573308676840646	0.7302091426863246	Event study
i(anio_fiscal, treatment, ref = 2014)2012	0.10947846795752943	0.1178906538788246	0.9286441660596629	0.3531113416641689	-0.12163016275729895	0.3405870986723578	Event study
i(anio_fiscal, treatment, ref = 2014)2013	0.05331312178067138	0.06800518699426038	0.7839566970850472	0.43309684730652254	-0.08000181991015903	0.1866280634715018	Event study
i(anio_fiscal, treatment, ref = 2014)2015	-0.26994785658606196	0.09082403345148389	-2.972207314821158	0.002968555495016325	-0.4479960505382753	-0.09189966263384863	Event study
i(anio_fiscal, treatment, ref = 2014)2016	-0.30379732558150313	0.14440330259446363	-2.103811478845987	0.03543691837970962	-0.5868804066848468	-0.020714244478159505	Event study
i(anio_fiscal, treatment, ref = 2014)2017	-0.14243237168144413	0.15467156483805342	-0.9208697916166805	0.35715589076274856	-0.4456449876449134	0.16078024428202514	Event study
