term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	8.56122577349921	0.0320355879114701	267.24110065212597	0	8.498433410837519	8.6240181361609	Linear model
treatment	0.16259094393654944	0.07903719172407464	2.05714474907165	0.03968511942945125	0.007671607971350636	0.31751027990174824	Linear model
postPost	0.019283999286964823	0.027178299343120365	0.7095366433163588	0.4779997137453068	-0.033987681994407284	0.07255568056833693	Linear model
treatment:postPost	0.07374257926854022	0.06325935794899255	1.1657181112713872	0.24374220523203383	-0.05025091687256379	0.19773607540964422	Linear model
postPost	-0.04177811618450687	0.020902509467748902	-1.9987129415713247	0.04565701119675882	-0.08274951004019304	-8.067223288207026e-4	Linear model with fixed effect
treatment:postPost	0.08318799933619718	0.04400351423934248	1.8904853572313278	0.05871188033871343	-0.0030640995190201886	0.16944009819141453	Linear model with fixed effect
(Intercept)	9.93981123832271	0.01997999587594495	497.4881526522141	0	9.900648818376228	9.978973658269192	Linear model assets weighted
treatment	-0.15742768611834118	0.057639975633731216	-2.7312240226939597	0.006315435196233573	-0.27040673503750906	-0.044448637199173316	Linear model assets weighted
postPost	0.00520383729166102	0.017832378661996467	0.2918195822496297	0.7704275701565965	-0.029749077921228485	0.04015675250455052	Linear model assets weighted
treatment:postPost	0.1140772348811434	0.051086591678438924	2.2330171407635646	0.025558729138551943	0.013943352503610465	0.2142111172586763	Linear model assets weighted
treatment	-0.025280168497071636	2213060.8487934126	-1.142316918708073e-8	0.9999999908856296	-4337519.584510898	4337519.533950562	Linear model assets weighted with fixed effect
treatment:postPost	0.08752318162618362	0.04357862729286381	2.008396938205438	0.044601128008488714	0.0021106416364763403	0.1729357216158909	Linear model assets weighted with fixed effect
(Intercept)	18.917125033939183	16.997441903353653	1.1129395318131234	0.2657476526511022	-14.399246494631942	52.23349656251031	Event study
anio_fiscal	-0.005136204556145214	0.008438849231579466	-0.6086380281478132	0.5427712406274794	-0.021677036869119686	0.011404627756829256	Event study
treatment	0.005099175100777635	0.08718493085393028	0.05848688587389945	0.9533613870709798	-0.16579039549097244	0.17598874569252773	Event study
i(anio_fiscal, treatment, ref = 2014)2012	0.20537799672709528	0.0799612262444512	2.5684698243524897	0.010221983473024311	0.04864747594710378	0.3621085175070868	Event study
i(anio_fiscal, treatment, ref = 2014)2013	0.24677663916945228	0.06991368040888964	3.529733204233863	4.1690453595112143e-4	0.1097401271650913	0.38381315117381326	Event study
i(anio_fiscal, treatment, ref = 2014)2015	0.14323905142463486	0.07462369736211028	1.9194847814839526	0.05493709016212181	-0.0030294777039268084	0.28950758055319653	Event study
i(anio_fiscal, treatment, ref = 2014)2016	0.22810623625784418	0.08147563037406878	2.7996866696283145	0.005120079702921196	0.06840735995037847	0.3878051125653099	Event study
i(anio_fiscal, treatment, ref = 2014)2017	0.3876057852585317	0.08959151035529428	4.326367350225463	1.523165138298682e-5	0.21199912269280247	0.5632124478242608	Event study
anio_fiscal2013	0.07034946590089251	0.026175761707991473	2.6875804679798407	0.007204932727980916	0.01904187108336236	0.12165706071842267	Event study with fixed effects
anio_fiscal2014	0.060049680636215734	0.02863712565107885	2.096917175552969	0.03601722361402019	0.0039175208146478985	0.11618184045778357	Event study with fixed effects
anio_fiscal2015	0.023424160984064572	0.030426923623372987	0.7698497973048739	0.44140084021262427	-0.036216214957138435	0.08306453692526758	Event study with fixed effects
anio_fiscal2016	-0.018813059103407387	0.032528023421543845	-0.5783646568253265	0.5630264331127719	-0.08257183963273104	0.04494572142591627	Event study with fixed effects
anio_fiscal2017	0.005023302570935786	0.03503817595748015	0.14336655472681314	0.8860025769124262	-0.06365567438593617	0.07370227952780775	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012	0.012504337786338306	0.06424544759684339	0.19463383405476795	0.8456821889246817	-0.11342435269235562	0.13843302826503223	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013	-0.040950598339403815	0.05749692222210884	-0.7122224417719772	0.4763378642073174	-0.1536513793725059	0.07175018269369828	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015	0.03129292239643551	0.059578032139474574	0.5252426317669828	0.5994221165286167	-0.08548708068957615	0.14807292548244716	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016	0.07392091794396408	0.06263311447229689	1.1802210151414372	0.23793060695474705	-0.04884740854654995	0.1966892444344781	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017	0.12183301816605413	0.0654646041888156	1.8610517802056594	0.06275596359006476	-0.006485363704922503	0.25015140003703074	Event study with fixed effects
