term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	10.059945913714706	0.03204553934960738	313.9265594491534	0	9.997134045796347	10.122757781633066	Linear model
treatment	0.16338476241509226	0.0789612816879235	2.069175663343882	0.03854229767902595	0.008614217225095089	0.3181553076050894	Linear model
postPost	0.012978048296220675	0.027423792123874267	0.47324047081447956	0.6360467428023612	-0.040774818519748415	0.06673091511218976	Linear model
treatment:postPost	0.05821458772138694	0.063481473662469	0.9170327083286361	0.35913645267817806	-0.06621427257796961	0.1826434480207435	Linear model
postPost	-0.04854214550931223	0.02109128718745577	-2.3015259845393934	0.021375234027881853	-0.08988356583885909	-0.007200725179765381	Linear model with fixed effect
treatment:postPost	0.0683599769462386	0.04413036982297412	1.5490460927578864	0.12139123845402486	-0.018140773431624	0.15486072732410122	Linear model with fixed effect
(Intercept)	11.436765197048958	0.01993486088342116	573.7067975508347	0	11.397691245597564	11.475839148500352	Linear model assets weighted
treatment	-0.15623020488645536	0.05745426007500684	-2.7192101104860806	0.00654939469121117	-0.26884523550920036	-0.04361517426371039	Linear model assets weighted
postPost	0.0019598850475453177	0.01783783268880511	0.10987237529003883	0.9125116830308743	-0.033003720294698745	0.03692349038978938	Linear model assets weighted
treatment:postPost	0.09923568311983896	0.05117514298337214	1.9391383655162953	0.052498404378285665	-0.0010717664351994477	0.1995431326748774	Linear model assets weighted
treatment	-0.03586375688448449	2213865.8297362244	-1.6199607222248674e-8	0.9999999870745835	-4339097.328750639	4339097.257023125	Linear model assets weighted with fixed effect
treatment:postPost	0.07383313234354791	0.0436595262984328	1.6911116222119482	0.09081548588700397	-0.011737966783459702	0.15940423147055552	Linear model assets weighted with fixed effect
(Intercept)	23.73159526353544	17.193772347556795	1.3802436593798253	0.16752691795041919	-9.96959973765064	57.43279026472152	Event study
anio_fiscal	-0.006783680938318788	0.00853642791105899	-0.7946744245951509	0.4268122545597074	-0.02351577531695853	0.009948413440320956	Event study
treatment	0.01735374242107879	0.08699246895300106	0.1994855719114536	0.8418849374941506	-0.15315858614515995	0.18786607098731753	Event study
i(anio_fiscal, treatment, ref = 2014)2012	0.1730265461406749	0.08003092850819428	2.1619959853765645	0.03063019549405128	0.016159404174363123	0.32989368810698666	Event study
i(anio_fiscal, treatment, ref = 2014)2013	0.24404338105822182	0.06980634890796548	3.496005519211082	4.7329271863121757e-4	0.10721724835660607	0.3808695137598376	Event study
i(anio_fiscal, treatment, ref = 2014)2015	0.1277702840992069	0.0744456451444973	1.7162895673911847	0.08612439713064614	-0.018149247303703403	0.27368981550211724	Event study
i(anio_fiscal, treatment, ref = 2014)2016	0.20135504635254062	0.08173902485808558	2.463389387163978	0.01377131393802445	0.041139896339775855	0.3615701963653054	Event study
i(anio_fiscal, treatment, ref = 2014)2017	0.3449043519661566	0.09010213371522728	3.8279265733733414	1.2961715729275307e-4	0.16829682704500074	0.5215118768873125	Event study
anio_fiscal2013	0.10075957462245227	0.0264143476280743	3.8145774425774834	1.3695035819044627e-4	0.04898432339457214	0.1525348258503324	Event study with fixed effects
anio_fiscal2014	0.0868461573287955	0.02877051291702719	3.018582170545786	0.002543772402879855	0.030452542948902886	0.14323977170868812	Event study with fixed effects
anio_fiscal2015	0.048716103979411236	0.030440544194095837	1.6003690232601058	0.10953731533888436	-0.010950969588121764	0.10838317754694424	Event study with fixed effects
anio_fiscal2016	-0.005761998869719404	0.03301402512925521	-0.17453184963542775	0.8614498034890442	-0.07047340000589622	0.05894940226645742	Event study with fixed effects
anio_fiscal2017	0.004968745561279821	0.03576282159152771	0.13893606097503583	0.8895024967876388	-0.06513062235009015	0.0750681134726498	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012	0.011684059887871228	0.06440809404878435	0.181406701446893	0.856050753549093	-0.11456343626230554	0.137931556038048	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013	-0.04378174395286874	0.057765052756297695	-0.7579278796399185	0.44850579062480667	-0.15700809202554694	0.06944460411980947	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015	0.014180990729686531	0.05943925472894258	0.23857955141522702	0.8114348066719588	-0.10232699158815364	0.13068897304752672	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016	0.06067091115284722	0.06317668192674816	0.960337094360126	0.33690070803953553	-0.06316287132621404	0.1845046936319085	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017	0.10352876603039422	0.0663050687346189	1.561400478216234	0.11844989748574423	-0.02643702527947918	0.23349455734026764	Event study with fixed effects
(Intercept)	9.930378412411073	10.879815450928911	0.9127340860881261	0.3613824122012659	-11.393668029851995	31.25442485467414	Event study assets weighted
anio_fiscal	7.482582992132114e-4	0.005401437611436956	0.1385294717889282	0.8898219790363703	-0.009838364883943275	0.011334881482369698	Event study assets weighted
treatment	-0.1925740323793459	0.06391862791652828	-3.0127998465616237	0.0025884957877318525	-0.31785224103695775	-0.06729582372173404	Event study assets weighted
anio_fiscal::2012:treatment	0.02466745836392903	0.07294605575141602	0.33816027624564454	0.7352424092617501	-0.1183041837230972	0.16763910045095526	Event study assets weighted
anio_fiscal::2013:treatment	0.08773611672474502	0.06271802911984822	1.3988978600888367	0.16184361438913844	-0.035188961531491814	0.21066119498098185	Event study assets weighted
anio_fiscal::2015:treatment	0.1229674041796045	0.060068557298463415	2.0471176553919013	0.04064653387011939	0.0052351952713356326	0.24069961308787335	Event study assets weighted
anio_fiscal::2016:treatment	0.16059151472009425	0.06065978024723092	2.6474133942716542	0.008111013257859394	0.0417005301254075	0.279482499314781	Event study assets weighted
anio_fiscal::2017:treatment	0.12454395730388157	0.07489594149342674	1.6628932732598363	0.0963338011465401	-0.02224939061145384	0.27133730521921695	Event study assets weighted
