term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	10.061292049987962	0.03772986223796661	266.66654615726475	0	9.987336800724611	10.135247299251313	Linear model
treatment	0.026254464426390275	0.09453117161192895	0.2777334077077831	0.7812209120744548	-0.1590384559564979	0.21154738480927848	Linear model
postPost	0.024238543052169888	0.033249849886925115	0.7289820295309437	0.46602424753465654	-0.040935321640135934	0.0894124077444757	Linear model
treatment:postPost	0.00533154429767408	0.0786456456106039	0.06779198334860158	0.9459521457527869	-0.1488237581501754	0.15948684674552355	Linear model
postPost	-0.04388817815738097	0.025582994434959677	-1.7155215457267539	0.08627739068830602	-0.09403536167789081	0.006259005363128865	Linear model with fixed effect
treatment:postPost	0.05708522362272123	0.05698532986255679	1.0017529732723383	0.31648462277388795	-0.05461607865678767	0.16878652590223014	Linear model with fixed effect
(Intercept)	11.43420204575855	0.02378585184381882	480.7144230459811	0	11.38757880099407	11.480825290523029	Linear model assets weighted
treatment	-0.29447062738956087	0.075505168837105	-3.9000062105000044	9.661725865236512e-5	-0.44247020254837277	-0.14647105223074897	Linear model assets weighted
postPost	0.0026352431852242836	0.02111414318999999	0.12480938305241668	0.9006761623705065	-0.03875111843862629	0.044021604809074855	Linear model assets weighted
treatment:postPost	0.103677363114965	0.0664765801548398	1.559607351543592	0.1188741857476809	-0.026625048924568462	0.23397977515449847	Linear model assets weighted
treatment	-0.02406816609913648	3616515.943982563	-6.6550698163471236e-9	0.9999999946900225	-7088241.023788864	7088240.975652531	Linear model assets weighted with fixed effect
treatment:postPost	0.06661604486887478	0.060663509056123	1.098123829388847	0.2721504212247841	-0.05228224805694569	0.18551433779469523	Linear model assets weighted with fixed effect
(Intercept)	13.896912736459928	20.776053001600637	0.6688908973898592	0.5035755646847708	-26.82675073895952	54.62057621187938	Event study
anio_fiscal	-0.0018982686312017602	0.010314808784228751	-0.18403333216454731	0.8539898406682848	-0.022116584483104426	0.018320047220700908	Event study
treatment	-0.14336813953532665	0.10454552266158516	-1.3713465281474622	0.17028785752805964	-0.3482904451534451	0.06155416608279177	Event study
i(anio_fiscal, treatment, ref = 2014)2012	0.20345431851032295	0.100277036490996	2.0289223298755084	0.04248415957129996	0.00689877987855958	0.4000098571420863	Event study
i(anio_fiscal, treatment, ref = 2014)2013	0.29695623833350066	0.08488674832567349	3.4982637948883246	4.6967981417753087e-4	0.13056759020716863	0.4633448864598327	Event study
i(anio_fiscal, treatment, ref = 2014)2015	0.07866553929139539	0.09342877189580572	0.8419840879330547	0.39981053635651176	-0.10446654384842866	0.2617976224312194	Event study
i(anio_fiscal, treatment, ref = 2014)2016	0.17021146556398237	0.10037646845932877	1.6957307641576356	0.08995802228297649	-0.026538972167083952	0.3669619032950487	Event study
i(anio_fiscal, treatment, ref = 2014)2017	0.33363535469775385	0.10945723944321666	3.0480885174418684	0.0023071048239418834	0.11908546961175859	0.5481852397837491	Event study
anio_fiscal2013	0.10249820536609366	0.03189677397324816	3.2134348587120116	0.0013153028592312657	0.039974894948269876	0.16502151578391744	Event study with fixed effects
anio_fiscal2014	0.07760873951161358	0.03505793071015258	2.2137284756837783	0.026867609673643756	0.008889003583591307	0.14632847543963584	Event study with fixed effects
anio_fiscal2015	0.03928944636090626	0.03716166031638614	1.0572575613254258	0.29041694475434854	-0.033553971144319496	0.11213286386613203	Event study with fixed effects
anio_fiscal2016	-0.003702537616783641	0.040190641025533845	-0.09212437329455263	0.9266008775338208	-0.08248329227361216	0.07507821704004487	Event study with fixed effects
anio_fiscal2017	0.020589871259194096	0.04315955758638884	0.47706400182580855	0.63332589073125245	-0.06401048421038871	0.1051902267287769	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012	-0.02032132868814735	0.07934702253684495	-0.25610700992228286	0.7978729305801191	-0.17585550668878283	0.13521284931248814	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013	-0.03708135190491909	0.07237572884279299	-0.5123451258841667	0.608419629290404	-0.17895056303421547	0.10478785922437728	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015	-0.0032202923006957	0.07505761033266939	-0.04290427428241802	0.9657786091996133	-0.15034646480909553	0.14390588020770412	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016	0.028787520982762885	0.08081079914271197	0.35623358868069216	0.721672374799762	-0.12961591768942926	0.18719095965495502	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017	0.09605061350329587	0.08190975707299067	1.1726394624477292	0.24096545136655434	-0.06450697680406074	0.25660820381065247	Event study with fixed effects
(Intercept)	11.12851983465032	12.969816480406285	0.8580321742765101	0.3908746975407189	-14.291853353040036	36.54889302234068	Event study assets weighted
anio_fiscal	1.5237652576050031e-4	0.006439192743864335	0.023663917484950916	0.9811206876164293	-0.012468209341725243	0.012772962393246243	Event study assets weighted
treatment	-0.3302144488152283	0.0819523458549008	-4.029347120824136	5.59319764128086e-5	-0.49083809513940424	-0.1695908024910524	Event study assets weighted
anio_fiscal::2012:treatment	0.016234276074335696	0.09649040207831824	0.16824757410751426	0.8663885156176885	-0.1728834368529568	0.20535198900162818	Event study assets weighted
anio_fiscal::2013:treatment	0.09046189455668951	0.08304469047326658	1.089315813463242	0.27601464166805767	-0.07230270787818949	0.2532264969915685	Event study assets weighted
anio_fiscal::2015:treatment	0.10543264908880623	0.07987200529227553	1.320020058379612	0.18682832110249223	-0.05111360465704637	0.26197890283465886	Event study assets weighted
anio_fiscal::2016:treatment	0.15008102885322394	0.07947413229863476	1.88842613958054	0.05896876489354108	-0.005685408154671612	0.3058474658611195	Event study assets weighted
anio_fiscal::2017:treatment	0.16758760168667308	0.08662245157162264	1.9346901253205178	0.05302833285545727	-0.002189283646272272	0.3373644870196184	Event study assets weighted
anio_fiscal::2012:treatment	-0.06973627378904047	0.08455980880715859	-0.8246976284924713	0.4095432784207606	-0.23547045359066415	0.09599790601258319	Event study assets weighted with fixed effects
anio_fiscal::2013:treatment	-0.07590357122983553	0.07193336446286774	-1.0551928412721083	0.2913371375439792	-0.2168903748638497	0.06508323240417864	Event study assets weighted with fixed effects
anio_fiscal::2015:treatment	0.0043229948057340595	0.06873908422076425	0.06288990979062531	0.9498541697606457	-0.13040313459722935	0.13904912420869747	Event study assets weighted with fixed effects
anio_fiscal::2016:treatment	0.027393941512075838	0.06982426444432577	0.39232696155243196	0.6948166448054658	-0.10945910204580328	0.16424698506995494	Event study assets weighted with fixed effects
anio_fiscal::2017:treatment	0.03254863798050975	0.0703998381841995	0.4623396703746252	0.6438377554537523	-0.10543250937796891	0.1705297853389884	Event study assets weighted with fixed effects
