term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	10.027316026465272	0.03194854455948369	313.8583044932085	0	9.964694169757701	10.089937883172842	Linear model
treatment	0.08842952024531515	0.08015377921355983	1.1032482948770965	0.269932874031567	-0.06867868439093731	0.2455377248815676	Linear model
postPost	-0.08895818614408882	0.028240344261837302	-3.150039012247553	0.0016349354708039207	-0.14431165579728727	-0.03360471649089036	Linear model
treatment:postPost	0.1043651384826117	0.06565457002608009	1.589609656131394	0.11193891825630979	-0.024323386552244863	0.23305366351746826	Linear model
postPost	-0.127538391930905	0.02244635744481087	-5.681919315616584	1.3570379227508113e-8	-0.1715360481360792	-0.08354073572573079	Linear model with fixed effect
treatment:postPost	0.07759962720622406	0.046704483088882275	1.6615027524990675	0.09663373060687	-0.013946976523908652	0.16914623093635678	Linear model with fixed effect
(Intercept)	11.35173545729195	0.02000171262846474	567.5381737630369	0	11.312530404310783	11.390940510273117	Linear model assets weighted
treatment	-0.259524571947158	0.06361039732057922	-4.079908047724089	4.523141855548605e-5	-0.3842063451247878	-0.1348427987695282	Linear model assets weighted
postPost	-0.07332452776097519	0.01972774936002904	-3.7168217429576695	2.023047707256994e-4	-0.11199258950277025	-0.03465646601918013	Linear model assets weighted
treatment:postPost	0.20662519825433215	0.05604829608699661	3.686556285914816	2.2792115544019594e-4	0.09676578479252176	0.3164846117161425	Linear model assets weighted
treatment:postPost	0.0879328171438424	0.04456548222422618	1.973114903175924	0.048482472703985036	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	88.84999378138154	17.686404706707897	5.023632290155813	5.114816792048703e-7	54.18314023929966	123.51684732346342	Event study
anio_fiscal	-0.039149672346493615	0.008781045711038332	-4.458429398366529	8.301981401326273e-6	-0.05636126682592099	-0.021938077867066235	Event study
treatment	-0.01416396348297631	0.08806167608947905	-0.16084140243463427	0.8722199702629381	-0.18677231878688863	0.15844439182093603	Event study
i(anio_fiscal, treatment, ref = 2014)2012	0.11725108370598859	0.08260084478072346	1.4194901277008665	0.15577205052055665	-0.04465357899685789	0.27915574640883506	Event study
i(anio_fiscal, treatment, ref = 2014)2013	0.1751402378876705	0.0752847944966766	2.3263693426884755	0.020008981292160083	0.027575654353507006	0.322704821421834	Event study
