term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.007087526642054545	8.567030573254132e-4	8.273025970260305	1.360865179709133e-16	0.005408350010484788	0.008766703273624303	Linear model
treatment	0.6622345671840117	0.011302674974131269	58.59095910478586	0	0.6400808144589524	0.6843883199090711	Linear model
postPost	0.003185987799205127	0.00130792081796729	2.435917951177382	0.014859982455458862	6.224040058534341e-4	0.00574957159255682	Linear model
treatment:postPost	-0.18859748070285645	0.01270360455300784	-14.845981698808636	1.1207483604502406e-49	-0.2134971185875515	-0.1636978428181614	Linear model
postPost	0.003187847556785095	0.0013342563875783054	2.3892316247937058	0.016891339845714302	5.726209967102406e-4	0.00580307411685995	Linear model with fixed effect
treatment:postPost	-0.1863926181240578	0.012586720546906358	-14.808672158044418	2.1297346844661626e-49	-0.21106338319212276	-0.16172185305599285	Linear model with fixed effect
(Intercept)	0.012776604709989899	0.0018478479348738711	6.9143160910922	4.797792547765388e-12	0.009154739415588323	0.016398470004391475	Linear model assets weighted
treatment	0.644396638126637	0.01570235586227016	41.03821386923234	0	0.6136193124254389	0.675173963827835	Linear model assets weighted
postPost	0.005172482810027621	0.002802496173618729	1.8456698919765668	0.06495025214080878	-3.2053608907119373e-4	0.010665501709126435	Linear model assets weighted
treatment:postPost	-0.1721301160111487	0.017610937189209117	-9.774046330516656	1.575573514600378e-22	-0.20664834719440692	-0.13761188482789047	Linear model assets weighted
treatment:postPost	-0.1692295006322931	0.01754363466857022	-9.646205237930042	5.100843219757296e-22	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	-1.293110145320886	0.8957148000736737	-1.4436628100981763	0.14884456029587917	-3.0487515621328383	0.46253127149106654	Event study
anio_fiscal	6.4620376558423e-4	4.446939204903996e-4	1.4531427928486393	0.14619484255085757	-2.2541638019566714e-4	0.0015178239113641271	Event study
treatment	0.7241593492559357	0.010682879173355846	67.78690814570481	0	0.7032204241360218	0.7450982743758496	Event study
i(anio_fiscal, treatment, ref = 2014)2012	-0.11133456948584877	0.011048844544410803	-10.07658031917634	7.670245470626457e-24	-0.132990803242943	-0.08967833572875455	Event study
