term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.008247827420125982	0.0011090280628320054	7.43698712101513	1.0686225202044631e-13	0.006074050137698284	0.01042160470255368	Linear model
treatment	0.8093894565490458	0.00936970930978358	86.38362512526453	0	0.7910241311590389	0.8277547819390527	Linear model
postPost	0.003900370402123404	0.0016962702724408372	2.299380272998	0.02149288091213201	5.755548211060601e-4	0.007225185983140748	Linear model
treatment:postPost	-0.23158450700985941	0.01619384451781454	-14.300773775807079	3.522969623538901e-46	-0.26332564369318234	-0.19984337032653646	Linear model
postPost	0.003917673160460912	0.0017376268839214989	2.2546112728294445	0.02416996696166918	5.117530614020573e-4	0.0073235932595197666	Linear model with fixed effect
treatment:postPost	-0.23241144836783867	0.01615508289247862	-14.386273961865173	1.1601669747802026e-46	-0.26407700444008264	-0.2007458922955947	Linear model with fixed effect
(Intercept)	0.01550027958242593	0.0024766933507124867	6.25845730072593	3.961411215287143e-10	0.01064577686806669	0.020354782296785168	Linear model assets weighted
treatment	0.8050355915374126	0.012152228818097448	66.24592110531448	0	0.7812163214747713	0.8288548616000538	Linear model assets weighted
postPost	0.006589767826069383	0.003720580869182383	1.771166400561942	0.07654718124194791	-7.028467090498076e-4	0.013882382361188574	Linear model assets weighted
treatment:postPost	-0.22035798523133693	0.02294762097721232	-9.6026505514518945	8.615984723424396e-22	-0.26533702484070854	-0.17537894562196532	Linear model assets weighted
treatment:postPost	-0.218303505576705	0.02291156260100924	-9.528093276671093	1.6019845006674276e-21	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	-1.5589109761675597	1.1601617013953964	-1.3437014635912938	0.1790591091021359	-3.8329140075696895	0.7150920552345701	Event study
anio_fiscal	7.788990609686315e-4	5.759769356154009e-4	1.3523094638093782	0.1762905462541543	-3.500584766158169e-4	0.0019078565985530798	Event study
treatment	0.8845644672719716	0.006684091821919881	132.33876655780244	0	0.8714631512684055	0.8976657832755377	Event study
i(anio_fiscal, treatment, ref = 2014)2012	-0.13234209247394849	0.013554842319091641	-9.763454960117691	1.7987932280208374e-22	-0.1589105893366864	-0.10577359561121058	Event study
i(anio_fiscal, treatment, ref = 2014)2013	-0.10153153441186881	0.012055740264398589	-8.421841561376223	3.935059935738157e-17	-0.12516167999766575	-0.07790138882607187	Event study
i(anio_fiscal, treatment, ref = 2014)2015	-0.16270342257699202	0.014045030374290458	-11.584412296809408	6.107283201851206e-31	-0.19023272440522615	-0.1351741207487579	Event study
i(anio_fiscal, treatment, ref = 2014)2016	-0.3717922146959599	0.018468766031194614	-20.130863863237284	2.630138937227677e-89	-0.4079923667012189	-0.3355920626907009	Event study
i(anio_fiscal, treatment, ref = 2014)2017	-0.3918209640380848	0.01904628329987927	-20.572043262664714	3.846285187710241e-93	-0.4291530927480535	-0.3544888353281161	Event study
anio_fiscal2013	-0.00489557512533818	0.001716300683235059	-2.852399450258622	0.0043441058206179035	-0.008259693872348836	-0.0015314563783275239	Event study with fixed effects
anio_fiscal2014	-0.014679245121666431	0.0021814621653738347	-6.729085360575513	1.7599047227214932e-11	-0.018955126287544574	-0.010403363955788288	Event study with fixed effects
anio_fiscal2015	-0.007959417796991147	0.0024561241876978274	-3.2406414288243552	0.001194825706601034	-0.012773663637205002	-0.0031451719567772906	Event study with fixed effects
anio_fiscal2016	-0.004338099796874369	0.0027520397234138765	-1.5763216497082395	0.11496965747339226	-0.009732369295505496	0.0010561697017567578	Event study with fixed effects
anio_fiscal2017	0.003308021550028966	0.0031196826715749674	1.0603711653656478	0.2889903176561947	-0.0028068644152831374	0.00942290751534107	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012	-0.1518559054147577	0.01370476394614325	-11.080519592421911	1.9366020756599942e-28	-0.17871859548120567	-0.12499321534830976	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013	-0.11416041773026402	0.012226597325957036	-9.337055493591969	1.1056786696755845e-20	-0.13812575531835677	-0.09019508014217127	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015	-0.16943830884524774	0.014141360489734047	-11.981754440688494	5.948393720264625e-33	-0.19715677123150005	-0.14171984645899544	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016	-0.3827357815462016	0.018502458682204313	-20.685671462372582	6.091494762804465e-94	-0.41900242685293704	-0.3464691362394661	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017	-0.413033226186146	0.0189663638696649	-21.777143422137854	8.918137282760671e-104	-0.45020917145017686	-0.3758572809221152	Event study with fixed effects
(Intercept)	-2.7149577626453407	2.5284081034389656	-1.0737814670632653	0.2829206381714077	-7.670546583604936	2.2406310583142544	Event study assets weighted
anio_fiscal	0.001357031930645694	0.0012552204810997915	1.0811104113411996	0.2796480027177445	-0.0011031550049669363	0.0038172188662583244	Event study assets weighted
