term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.6979039230078543	0.005366987788257821	130.03642835460988	0	0.6873843933890813	0.7084234526266273	Linear model
treatment	-0.011082217581552561	0.013280113912615582	-0.8344971778461098	0.40400755997885884	-0.037111818757482685	0.014947383594377563	Linear model
postPost	-0.07699783143308112	0.006021704043071565	-12.786717992504641	2.438302880689772e-37	-0.08880063340240305	-0.06519502946375919	Linear model
treatment:postPost	0.01200848468121969	0.014370360810927046	0.8356425311247986	0.40336272772321213	-0.01615804785938673	0.040175017221826106	Linear model
postPost	-0.08147864223552949	0.0059711483441194655	-13.645389050796513	3.067481110084464e-42	-0.09318245505156453	-0.06977482941949445	Linear model with fixed effect
treatment:postPost	0.011852961086106494	0.014283894503294472	0.8298129815627452	0.4066526000411622	-0.016144338246640674	0.039850260418853665	Linear model with fixed effect
(Intercept)	0.7806623483521694	0.007733584244361798	100.94444227737152	0	0.7655041866928808	0.795820510011458	Linear model assets weighted
treatment	-0.054561695098847555	0.017176121598479453	-3.1766015852890637	0.0014916333338022365	-0.08822764088060656	-0.020895749317088555	Linear model assets weighted
postPost	-0.07344696348687524	0.008498926122607317	-8.641911039973017	5.799344709094351e-18	-0.09010522853270508	-0.0567886984410454	Linear model assets weighted
treatment:postPost	0.01739606248538213	0.018574387210872487	0.9365618519678202	0.34899156495723793	-0.019010544744621927	0.05380266971538619	Linear model assets weighted
treatment:postPost	0.013899307112955351	0.01851176152271594	0.7508365476672435	0.45275103120133714	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	37.74540326593007	3.727676558024427	10.125718441069408	4.6468221788066435e-24	30.43899495612476	45.051811575735385	Event study
anio_fiscal	-0.01840944828667333	0.0018506479874248645	-9.947568857916446	2.809362737087143e-23	-0.022036798895925653	-0.014782097677421006	Event study
treatment	0.08458881212963165	0.015215635879354214	5.559334673906628	2.7312000001098966e-8	0.0547655035089922	0.1144121207502711	Event study
