term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.6546559802899776	0.005152249866272721	127.06215678230949	0	0.644557338174163	0.6647546224057922	Linear model
treatment	0.014666113536054258	0.012392021631960277	1.1835125834697438	0.23661568215376805	-0.009622807770305324	0.03895503484241384	Linear model
postPost	-0.11211012528498764	0.004751761363198178	-23.593382898658824	6.221239067471895e-122	-0.12142379187185455	-0.10279645869812072	Linear model
treatment:postPost	-0.07330136761868697	0.013500005475032752	-5.429728732647728	5.6888667808515974e-8	-0.09976198723000247	-0.046840748007371466	Linear model
postPost	-0.11338031172472043	0.0045984550464537605	-24.65617486293731	1.4183623531798164e-132	-0.12239357325732848	-0.10436705019211238	Linear model with fixed effect
treatment:postPost	-0.06982445884248462	0.013333832263545922	-5.2366384594008615	1.649075070074088e-7	-0.09595960993327285	-0.04368930775169638	Linear model with fixed effect
(Intercept)	0.6638319837062708	0.008358115991733828	79.4236385763012	0	0.647449699392865	0.6802142680196767	Linear model assets weighted
treatment	-0.006658740869459043	0.017692019120671604	-0.3763697531662102	0.7066447594160603	-0.041335896295359054	0.028018414556440968	Linear model assets weighted
postPost	-0.045129786114437395	0.006568880983989198	-6.8702395772484595	6.537736349623446e-12	-0.05800508911418824	-0.03225448311468655	Linear model assets weighted
treatment:postPost	-0.12182784708668859	0.01858605179323836	-6.554799719809766	5.664307372951221e-11	-0.15825734687368	-0.08539834729969717	Linear model assets weighted
treatment:postPost	-0.11600379314360723	0.018493165046571777	-6.272792831917745	3.546286291458933e-10	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	68.98248771847956	3.1740685903280217	21.733143363278934	6.635154664129151e-104	62.76117008866764	75.20380534829148	Event study
anio_fiscal	-0.03394556951972475	0.0015758614200179657	-21.540961082312524	4.009429287350596e-102	-0.03703432899529898	-0.030856810044150522	Event study
treatment	0.116392882086154	0.011729575052449282	9.923026330084287	3.5968225057445046e-23	0.09340238582329177	0.13938337834901623	Event study
i(anio_fiscal, treatment, ref = 2014)2012	-0.18051811605272342	0.011455099820609979	-15.758755391021193	1.0144317005056342e-55	-0.2029706284786919	-0.15806560362675492	Event study
i(anio_fiscal, treatment, ref = 2014)2013	-0.11600406696104963	0.009673183348144297	-11.992336213011392	4.6601270210745103e-33	-0.13496394271281906	-0.0970441912092802	Event study
i(anio_fiscal, treatment, ref = 2014)2015	-0.09750900580096199	0.011136370423203059	-8.755905388868728	2.1316426979955164e-18	-0.11933679422907192	-0.07568121737285205	Event study
i(anio_fiscal, treatment, ref = 2014)2016	-0.23698604563534442	0.01500349687773154	-15.795387406457449	5.706248931832341e-56	-0.26639357637323974	-0.2075785148974491	Event study
i(anio_fiscal, treatment, ref = 2014)2017	-0.21400109452467891	0.016014559118855572	-13.362908896612309	1.3105889795504592e-40	-0.2453903528675508	-0.18261183618180704	Event study
anio_fiscal2013	0.03025650246595334	0.0037737970327772	8.017522458987964	1.1279535245972458e-15	0.02285962245786908	0.0376533824740376	Event study with fixed effects
anio_fiscal2014	0.098163880198841	0.0046922542247854445	20.92040957208144	2.538792860785515e-96	0.08896676621345473	0.10736099418422726	Event study with fixed effects
anio_fiscal2015	0.03681383369186093	0.005644190884414906	6.52242889118325	7.055727309090067e-11	0.02575086386276655	0.0478768035209553	Event study with fixed effects
anio_fiscal2016	-0.10404263551520955	0.007036180262738047	-14.78680642481473	2.9395250532776152e-49	-0.11783399224867509	-0.09025127878174401	Event study with fixed effects
anio_fiscal2017	-0.14435405019123762	0.007382779164603314	-19.55280619571315	1.7802967944974672e-84	-0.158824762614944	-0.12988333776753125	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012	-0.01842482018107948	0.011681886767594097	-1.5772127009645807	0.11475979602628315	-0.04132205443544282	0.004472414073283859	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013	-0.01575427748315037	0.010179023335978346	-1.547719949463714	0.12170294696595929	-0.0357058047014311	0.004197249735130363	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015	-0.06956976814210693	0.011564756808290555	-6.0156706531203215	1.8174173980347464e-9	-0.09223742029473161	-0.04690211598948224	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016	-0.10089426777539708	0.015761463971604033	-6.4013259147227	1.568858978633702e-10	-0.13178773044365852	-0.07000080510713563	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017	-0.0748460064742061	0.01644851323047727	-4.550320471246286	5.382717081390809e-6	-0.10708612898754898	-0.04260588396086322	Event study with fixed effects
(Intercept)	21.111305470813413	4.2489634758308394	4.9685777698254565	6.744575002552207e-7	12.783490086558846	29.43912085506798	Event study assets weighted
anio_fiscal	-0.010161311459667931	0.0021093621528819133	-4.817243660973557	1.4555490245090177e-6	-0.014295585309668353	-0.006027037609667511	Event study assets weighted
treatment	0.07631341167112987	0.016917440019133357	4.510931416622173	6.454358834057823e-6	0.0431558385230119	0.10947098481924784	Event study assets weighted
anio_fiscal::2012:treatment	-0.13593527880545236	0.014356045292976231	-9.468852739825179	2.829340132456274e-21	-0.16407261054011155	-0.10779794707079318	Event study assets weighted
anio_fiscal::2013:treatment	-0.09407191918190555	0.012726177422640149	-7.392001231614887	1.446351865063403e-13	-0.11901476859114701	-0.06912906977266409	Event study assets weighted
anio_fiscal::2015:treatment	-0.1346621035956696	0.016081838505667405	-8.373551540653345	5.590721656925451e-17	-0.16618192787196714	-0.10314227931937206	Event study assets weighted
anio_fiscal::2016:treatment	-0.25360961252874215	0.01955777135741667	-12.96720407934254	1.8775481679672895e-38	-0.29194214000714785	-0.21527708505033644	Event study assets weighted
anio_fiscal::2017:treatment	-0.2513183437599532	0.020807775666378505	-12.078097524188369	1.3787287528628446e-33	-0.292100834664444	-0.21053585285546242	Event study assets weighted
anio_fiscal::2012:treatment	-0.021094165298766593	0.01536711624585685	-1.3726820934574384	0.1698511983090885	-0.051213159686886375	0.00902482908935319	Event study assets weighted with fixed effects
anio_fiscal::2013:treatment	-0.020099392871600563	0.013711314827472712	-1.4658982836079557	0.1426759996388443	-0.0469730761141371	0.006774290370935972	Event study assets weighted with fixed effects
anio_fiscal::2015:treatment	-0.08365330073741124	0.016943127081694154	-4.937299964408147	7.921158665980218e-7	-0.11686121960301701	-0.05044538187180548	Event study assets weighted with fixed effects
anio_fiscal::2016:treatment	-0.16662051473461886	0.0203649744764838	-8.181719791842696	2.798211380046943e-16	-0.20653513125460454	-0.12670589821463318	Event study assets weighted with fixed effects
anio_fiscal::2017:treatment	-0.13997598012146312	0.02140741985308341	-6.538666550294324	6.206973834379157e-11	-0.18193375203543433	-0.09801820820749191	Event study assets weighted with fixed effects
