term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.8049200025052485	0.00438372123333507	183.6156907935675	0	0.7963275836577165	0.8135124213527806	Linear model
treatment	0.012717281463949915	0.01028486855323322	1.2365040348475844	0.21628475711456324	-0.007441823939282803	0.03287638686718263	Linear model
postPost	-0.13867092840121342	0.005874177251007709	-23.606868243110057	1.15024177702497e-121	-0.15018475162096762	-0.12715710518145923	Linear model
treatment:postPost	-0.08901320820648795	0.01714261432239176	-5.192510694837163	2.0936361472484688e-7	-0.12261400409642895	-0.05541241231654694	Linear model
postPost	-0.1393542451649312	0.005792693818866862	-24.056898141423083	7.522468356689105e-126	-0.15070849646475395	-0.12799999386510844	Linear model with fixed effect
treatment:postPost	-0.0891395300424456	0.017074034606801847	-5.22076545440143	1.8020875849357236e-7	-0.12260632212389226	-0.05567273796099893	Linear model with fixed effect
(Intercept)	0.8294803736164065	0.006698102585069683	123.83811132802725	0	0.81635159561451	0.842609151618303	Linear model assets weighted
treatment	-0.008944502496564994	0.013653103439659586	-0.6551259599032239	0.5123936594822591	-0.03570559816801257	0.017816593174882576	Linear model assets weighted
postPost	-0.0660043503401395	0.008213782977933279	-8.035804028115102	9.77157950177146e-16	-0.0821039743610398	-0.0499047263192392	Linear model assets weighted
treatment:postPost	-0.14776386706515168	0.02408769016153779	-6.134414137437504	8.696429290256936e-10	-0.19497752685803255	-0.10055020727227082	Linear model assets weighted
treatment:postPost	-0.14437847977162882	0.024041895258924202	-6.005286946670164	1.9099381466999596e-9	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	85.53180773759493	3.9689775743835036	21.55008591875969	6.313004398394177e-102	77.7523171503262	93.31129832486366	Event study
anio_fiscal	-0.04209254870854544	0.001970815648563766	-21.35793306655568	3.604942380766891e-100	-0.045955493635772754	-0.03822960378131812	Event study
treatment	0.13694156132040544	0.007863256544800683	17.41537498365782	1.8306677678510696e-67	0.1215289949530941	0.15235412768771678	Event study
i(anio_fiscal, treatment, ref = 2014)2012	-0.21808498801050674	0.014069229185367176	-15.500848350478783	6.698093990744393e-54	-0.24566172130426725	-0.19050825471674623	Event study
i(anio_fiscal, treatment, ref = 2014)2013	-0.14440298218138065	0.012202181699014117	-11.834193732178875	3.270422342766208e-32	-0.1683201638465776	-0.12048580051618368	Event study
i(anio_fiscal, treatment, ref = 2014)2015	-0.11983197480747218	0.014170929507476487	-8.456183113764672	2.936223210677357e-17	-0.14760804827984142	-0.09205590133510295	Event study
