term	estimate	std.error	statistic	p.value	conf.low	conf.high	model
(Intercept)	0.15803316123239228	0.0014069105143357332	112.32637727994161	0	0.15527551537847548	0.16079080708630908	Linear model
treatment	-0.009008244356171043	0.0036082812740048276	-2.4965471569717184	0.01254816532329375	-0.016080735316779886	-0.0019357533955622003	Linear model
postPost	-0.013270670115597733	0.001568507525299793	-8.460699041313987	2.821568427647777e-17	-0.01634505774004624	-0.010196282491149226	Linear model
treatment:postPost	0.009548334550900291	0.003768540767514097	2.533695438088311	0.01129356812068056	0.0021617234502231937	0.01693494565157739	Linear model
postPost	-0.01365838594139106	0.0015569003144282438	-8.772806977309248	1.8951185679780014e-18	-0.016710058982649864	-0.010606712900132254	Linear model with fixed effect
treatment:postPost	0.009257123445940596	0.0037586074674065034	2.4629130671972383	0.01379059201334409	0.001889894488079723	0.01662435240380147	Linear model with fixed effect
(Intercept)	0.17397499070123842	0.0021288338678335243	81.7231411666189	0	0.1698023231225328	0.17814765827994405	Linear model assets weighted
treatment	-0.022892650695704928	0.005226849080176341	-4.379818576076543	1.1932735430552984e-5	-0.03313765103377014	-0.012647650357639722	Linear model assets weighted
postPost	-0.009146009723661188	0.0020757625533263644	-4.406096308561356	1.0574809375723162e-5	-0.013214653706749797	-0.005077365740572579	Linear model assets weighted
treatment:postPost	0.008550732013061575	0.0044597652549358555	1.9173054015787114	0.05521209683748341	-1.9072882570590408e-4	0.017292192851829053	Linear model assets weighted
treatment:postPost	0.007631750550717254	0.0044383117430135954	1.719516562289815	0.08552035451057652	NA	NA	Linear model assets weighted with fixed effect
(Intercept)	7.036124422683001	0.9707372508391461	7.248227485450547	4.3623023242579264e-13	5.133409534566835	8.938839310799167	Event study
anio_fiscal	-0.0034175668180727835	4.8193225773201083e-4	-7.091384241752079	1.3680297226070923e-12	-0.004362188734103572	-0.002472944902041995	Event study
treatment	0.008697648285833802	0.003981085636378934	2.184742826518271	0.028918239270951437	8.944338684870046e-4	0.0165008627031806	Event study
i(anio_fiscal, treatment, ref = 2014)2012	-0.02293503122754445	0.004709911554283264	-4.869524822963393	1.126443443211863e-6	-0.03216679690697863	-0.013703265548110268	Event study
i(anio_fiscal, treatment, ref = 2014)2013	-0.026385394100168696	0.004239271988890261	-6.224038978701095	4.932825231045879e-10	-0.03469467235343716	-0.018076115846900234	Event study
i(anio_fiscal, treatment, ref = 2014)2015	-0.009040403130462832	0.004443502347736268	-2.034521965554591	0.04191098160816459	-0.01774998758816065	-3.308186727650139e-4	Event study
i(anio_fiscal, treatment, ref = 2014)2016	-0.01574635448914072	0.0047416864227887885	-3.320834210685661	8.989507555026788e-4	-0.025040401198092553	-0.00645230778018889	Event study
i(anio_fiscal, treatment, ref = 2014)2017	-0.004402722583011932	0.005125441785445768	-0.8589937740613748	0.3903533240853009	-0.014448957426590983	0.00564351226056712	Event study
anio_fiscal2013	4.419034294249769e-4	0.0020080758138356298	0.2200631203166061	0.8258244845994143	-0.003494116719759773	0.004377923578609727	Event study with fixed effects
anio_fiscal2014	0.013825834500479153	0.0022642463397465054	6.106152964799329	1.0414837853545778e-9	0.009387695683928693	0.018263973317029614	Event study with fixed effects
anio_fiscal2015	4.120451568276085e-5	0.0023879904034200964	0.01725489165440006	0.9862334621541593	-0.004639484469843103	0.0047218935012086245	Event study with fixed effects
anio_fiscal2016	-0.014253579966604474	0.002493399043247278	-5.716525802480988	1.1044029585457603e-8	-0.019140879941316778	-0.00936627999189217	Event study with fixed effects
anio_fiscal2017	-0.011606763770439467	0.0025269246090088024	-4.593237063369402	4.393711062945217e-6	-0.0165597770521101	-0.006653750488768833	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2012	-0.005194113212509554	0.005128863470896519	-1.0127220663960528	0.31120650658662663	-0.015247174867241853	0.0048589484422227455	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2013	-0.01027626783951996	0.004628266051185623	-2.220327813023516	0.026408891009614997	-0.01934811079870491	-0.0012044248803350088	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2015	5.926314553665157e-4	0.00480794708476269	0.12326081067836185	0.9019019447540393	-0.008831403469735698	0.010016666380468728	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2016	0.0038183568429161876	0.0051129988083188325	0.7467940021233201	0.45519764151538655	-0.006203608559804335	0.013840322245636711	Event study with fixed effects
i(anio_fiscal, treatment, ref = 2014)2017	0.0078025850525639505	0.005407754127577879	1.4428512962105975	0.14907971421233723	-0.0027971288931595163	0.018402298998287415	Event study with fixed effects
(Intercept)	5.122814574087943	1.2649330729288635	4.049870055359077	5.124608116811028e-5	2.643591308293794	7.602037839882093	Event study assets weighted
anio_fiscal	-0.002458873714242275	6.279612622187658e-4	-3.915645537679147	9.016263489862447e-5	-0.0036896551718773687	-0.0012280922566071813	Event study assets weighted
treatment	-0.008847567353536034	0.005531043256475268	-1.59961998908218	0.10968291128728709	-0.019688212933160695	0.001993078226088626	Event study assets weighted
anio_fiscal::2012:treatment	-0.021522542875374584	0.005594282240660011	-3.8472393686085034	1.1945624641694885e-4	-0.03248713458642024	-0.01055795116432893	Event study assets weighted
anio_fiscal::2013:treatment	-0.01830017391680197	0.00480386503052396	-3.8094687924248283	1.3926568272999243e-4	-0.027715576363220338	-0.008884771470383603	Event study assets weighted
anio_fiscal::2015:treatment	-0.006397379043311557	0.005223943174878584	-1.2246264611138782	0.22071599327671387	-0.016636119523357404	0.003841361436734289	Event study assets weighted
anio_fiscal::2016:treatment	-0.01449554190132854	0.005593194257358777	-2.5916392734361486	0.009551986957052571	-0.025458001204287994	-0.003533082598369087	Event study assets weighted
anio_fiscal::2017:treatment	0.001776166110146693	0.005919305503848849	0.30006326062944294	0.7641289024134719	-0.009825459490886765	0.013377791711180151	Event study assets weighted
