term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	945231.7247445897	21685.655459176163	43.587878933335176	0	902726.2311763426	987737.2183128367	Linear model	all
treatment	359255.26663912163	54525.51451812486	6.588755187623243	4.537826829296508e-11	252381.21291183046	466129.3203664128	Linear model	all
postPost	-77878.61783071725	12838.058154750404	-6.066230335769292	1.3313291590287683e-9	-103042.1642751767	-52715.07138625779	Linear model	all
treatment:postPost	-242201.83493710964	44189.38608307278	-5.48099569615627	4.276848549804367e-8	-328816.3100898101	-155587.35978440917	Linear model	all
postPost	-85721.89337575626	12010.602806133124	-7.137184932298571	9.896917118108654e-13	-109263.85965041569	-62179.92710109683	Linear model with fixed effect	all
treatment:postPost	-248056.14540574915	43595.340433969955	-5.689969224611471	1.2908092738542918e-8	-333507.313077761	-162604.97773373732	Linear model with fixed effect	all
(Intercept)	2250952.391661337	31089.898348820778	72.40140724830367	0	2190013.8843244943	2311890.89899818	Linear model assets weighted	all
treatment	93738.18475203215	61524.45526771665	1.5235922747164705	0.12762528353736033	-26854.31209893385	214330.68160299814	Linear model assets weighted	all
postPost	-149064.27718585636	30682.52127122238	-4.858279926482642	1.1924221310608031e-6	-209204.29522712302	-88924.25914458971	Linear model assets weighted	all
treatment:postPost	-430388.71048006305	84174.2640412983	-5.113067698090025	3.196836425307415e-7	-595376.5129264669	-265400.9080336592	Linear model assets weighted	all
treatment:postPost	-423511.01065426273	84358.18292451653	-5.0203903874176525	5.156657045545289e-7	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	41395168.86836273	8563232.793145617	4.834058569737497	1.3469971213266392e-6	24610597.108413983	58179740.628311485	Event study	all
anio_fiscal	-20098.526607724496	4251.0873309600565	-4.727855497427639	2.2833986419556993e-6	-28430.97325350783	-11766.079961941161	Event study	all
treatment	519192.55152774515	57270.62262902592	9.06559991308018	1.3426172358160596e-19	406937.88106926286	631447.2219862274	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	-265990.664184514	41154.91990925676	-6.463155918441871	1.0473881132421836e-10	-346657.36135112424	-185323.9670179038	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	-198825.45235529495	32216.407898885926	-6.17155869702564	6.882790916635585e-10	-261972.00264637906	-135678.90206421085	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	-283458.71122094203	37845.14560003444	-7.489962232320862	7.15462892761726e-14	-357638.0051200802	-209279.41732180386	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	-481306.558778826	48757.16581126466	-9.871504029621565	6.189914877596334e-23	-576874.2220830338	-385738.8954746182	Event study	all
