term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	278150.505742606	12297.734765057277	22.618027714578904	1.0031227127182616e-109	254043.60652048409	302257.40496472793	Linear model	all
treatment	98921.93747670778	31949.583814767542	3.0961886092232818	0.001967285314729676	36292.07824443706	161551.7967089785	Linear model	all
postPost	7769.343904819493	12283.87509528233	0.632483141073564	0.5270899650548923	-16310.386601364127	31849.074411003112	Linear model	all
treatment:postPost	-77128.74721493726	29553.64647813942	-2.609787840292017	0.0090773393466887509	-135061.9187221866	-19195.575707687938	Linear model	all
postPost	6216.020341097972	12280.996571255762	0.5061495054600743	0.612769289963472	-17858.884566357025	30290.925248552972	Linear model with fixed effect	all
treatment:postPost	-76980.65658778828	29525.56523901537	-2.6072542884315486	0.009148526506398509	-134860.74566230792	-19100.567513268637	Linear model with fixed effect	all
(Intercept)	637623.4515073708	23671.07092419872	26.93682316060885	8.040318795918613e-153	591221.7253235567	684025.1776911849	Linear model assets weighted	all
treatment	9116.519248250994	49236.040126630935	0.18515947311774214	0.853108822356326	-87399.48797623198	105632.52647273395	Linear model assets weighted	all
postPost	45047.70209635901	32294.841803828203	1.39488845834876	0.16308963443106045	-18258.956538966573	108354.3607316846	Linear model assets weighted	all
treatment:postPost	-152719.07596486155	61004.32220191262	-2.503414027933802	0.012320653233991768	-272304.1113824402	-33134.040547282886	Linear model assets weighted	all
treatment:postPost	-152542.63727607435	61090.05734828596	-2.4970125073937965	0.012524453911758066	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	-2929867.902755611	7748937.480524736	-0.3780993084689604	0.7053672297166611	-18119890.593524072	12260154.788012851	Event study	all
anio_fiscal	1594.3786845748898	3848.860365182783	0.41424695450056226	0.6787047798730306	-5950.433288377926	9139.190657527706	Event study	all
treatment	157946.16668914785	33904.97848303451	4.658494821584432	3.23868703274104e-6	91483.19756832394	224409.13580997178	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	-119638.52875035867	31243.4057349903	-3.829240952959631	1.2955744141547476e-4	-180884.0921897543	-58392.96531096306	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	-67658.38854026336	25778.782767602228	-2.624576542275448	0.008692787125179593	-118191.80633649936	-17124.970744027363	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	-61122.825472953584	29399.042747111056	-2.0790753630561634	0.037643397822449264	-118752.93638013932	-3492.7145657678557	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	-187046.24056051267	31503.178841837725	-5.937376716793619	3.0216946222227655e-9	-248801.02986440662	-125291.45125661872	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	-158160.92863199624	39290.57359183489	-4.025416637461975	5.741907675926508e-5	-235181.1273228837	-81140.72994110879	Event study	all
anio_fiscal2013	11577.733670596695	7972.537043430661	1.4522019286365941	0.14649499005327427	-4051.137841431497	27206.605182624888	Event study with fixed effects	all
anio_fiscal2014	36730.95255989395	10199.229873255024	3.601345691424394	3.189983171345399e-4	16737.009309158057	56724.895810629845	Event study with fixed effects	all
anio_fiscal2015	41389.02751172971	14282.036437622284	2.8979780084233058	0.0037686514480692423	13391.40126079502	69386.65376266441	Event study with fixed effects	all
anio_fiscal2016	18893.919046315103	17479.825643974913	1.080898598827135	0.2797833678420017	-15372.456582186598	53160.2946748168	Event study with fixed effects	all
anio_fiscal2017	7524.300235406984	18112.754941193907	0.41541445571564817	0.6778525953681132	-27982.83107833608	43031.431549150046	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-101520.12151263644	30924.939487651773	-3.282791274439618	0.0010334188063031173	-162143.4717883196	-40896.77123695326	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-42018.96253559642	25528.706349783297	-1.6459495424433486	0.0998237537023879	-92063.86909866135	8025.944027468511	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	-67063.34667853433	30507.309196544313	-2.198271445261743	0.027965808643357213	-126868.00020515345	-7258.693151915206	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	-172769.63663500722	33061.81513443391	-5.2256549113381094	1.7908675475637512e-7	-237581.98656523065	-107957.28670478381	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	-130347.54900816346	39317.11386250189	-3.3152878276876905	9.206350819489699e-4	-207422.4020233847	-53272.695992942245	Event study with fixed effects	all
(Intercept)	-29937419.08981757	19933831.058802314	-1.5018397116693685	0.1331385096733215	-69007010.03897603	9132171.859340891	Event study assets weighted	all
anio_fiscal	15188.677015247984	9900.51107530983	1.5341306019166958	0.12499752618124005	-4215.968120899204	34593.32215139517	Event study assets weighted	all
treatment	116958.32345942699	47511.01326310956	2.4617097263686554	0.013827652731679614	23838.448594727437	210078.19832412654	Event study assets weighted	all
anio_fiscal::2012:treatment	-208244.71951349132	58071.71698419479	-3.5859921202290037	3.3579909788208917e-4	-322063.19332291605	-94426.24570406659	Event study assets weighted	all
anio_fiscal::2013:treatment	-120589.75156783237	49734.23743840632	-2.4246828297544023	0.015321766197501734	-218067.06574567233	-23112.43738999241	Event study assets weighted	all
anio_fiscal::2015:treatment	-113994.08990991686	60010.98262617113	-1.8995537970112057	0.05749170040385041	-231613.45453407115	3625.2747142374283	Event study assets weighted	all
anio_fiscal::2016:treatment	-343845.9426978335	59369.81470417805	-5.791595348766281	6.972095896762499e-9	-460208.641286839	-227483.24410882808	Event study assets weighted	all
anio_fiscal::2017:treatment	-326747.3059416263	74002.34686569367	-4.415364103717382	1.0084011380766655e-5	-471789.24056982645	-181705.37131342618	Event study assets weighted	all
anio_fiscal::2012:treatment	-135081.95724620495	59889.48746384401	-2.2555203419924994	0.024100686914602633	-252463.19572790223	-17700.718764507663	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	-58496.60544845712	51416.28909185062	-1.1377057053642698	0.25524339026280884	-159270.68028718396	42277.4693902697	Event study assets weighted with fixed effects	all
anio_fiscal::2015:treatment	-108884.11277077309	64097.527819576746	-1.6987256213260313	0.08937089357399032	-234512.95879519766	16744.733253651488	Event study assets weighted with fixed effects	all
anio_fiscal::2016:treatment	-302458.5412220645	66491.193932965165	-4.548851108418899	5.393958849780296e-6	-432778.88661974436	-172138.1958243847	Event study assets weighted with fixed effects	all
anio_fiscal::2017:treatment	-238202.07627215685	76881.26015358954	-3.0983112893348608	0.0019462687760013937	-388886.5772592466	-87517.57528506705	Event study assets weighted with fixed effects	all
(Intercept)	221397.25375699467	31887.47055084085	6.943079834570214	5.663708299919346e-12	158849.1867848962	283945.32072909316	Linear model	treat_a
treatment	262010.5457395777	56564.16690474416	4.632094134451086	3.928604048666533e-6	151058.5248153091	372962.5666638463	Linear model	treat_a
postPost	29686.732724511687	31692.885506468578	0.9367002167869053	0.3490614861803025	-32479.6508410036	91853.11629002697	Linear model	treat_a
treatment:postPost	-97815.98545267462	54390.42255851752	-1.798404587635561	0.0723111286316402	-204504.1527504467	8872.181845097468	Linear model	treat_a
postPost	32703.76458199969	32274.76348858564	1.0132921529716483	0.3111167272010231	-30614.919402847183	96022.44856684656	Linear model with fixed effect	treat_a
treatment:postPost	-99620.06104202074	55324.71747004963	-1.800642924131527	0.07200015450630155	-208159.61093758914	8919.48885354765	Linear model with fixed effect	treat_a
(Intercept)	696148.0072644296	85091.27812512465	8.181191099759495	5.871902225749209e-16	529239.3478138164	863056.6667150428	Linear model assets weighted	treat_a
treatment	27805.52587606933	103060.96549361364	0.26979686967702965	0.787353129300048	-174351.1225048632	229962.17425700184	Linear model assets weighted	treat_a
postPost	165165.6797325309	124221.82985829898	1.3296026947995934	0.18384857906477042	-78498.53066588906	408829.89013095084	Linear model assets weighted	treat_a
treatment:postPost	-243127.91058210234	144165.3087745431	-1.6864522585133475	0.0919137987286767	-525911.7511475184	39655.92998331369	Linear model assets weighted	treat_a
treatment:postPost	-233159.97349168797	145486.21677867713	-1.6026258614339097	0.10901728057545049	NA	NA	Linear model assets weighted with fixed effect	treat_a
(Intercept)	-14683386.002140777	20351297.60990435	-0.7214963037538612	0.47071539695871945	-54603046.51153673	25236274.50725518	Event study	treat_a
anio_fiscal	7406.083700966268	10110.256443444165	0.7325317357077155	0.46395724279442185	-12425.477540062671	27237.644941995208	Event study	treat_a
treatment	318603.63267758465	57889.35362753975	5.503665401543111	4.360701286462811e-8	205051.98657541667	432155.27877975267	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	-111003.20874970047	52591.55196743397	-2.110666154488776	0.03496430363694243	-214163.06324371992	-7843.354255680999	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	-74964.03669151323	43361.860367906454	-1.7288012104525985	0.08404813798723874	-160019.58342482016	10091.510041793692	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	-33247.892756475805	52156.371768563564	-0.637465598719339	0.5239178071032242	-135554.12866890355	69058.34315595192	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	-218504.07217171259	54053.11646058509	-4.042395452462824	5.556162475188571e-5	-324530.82780872285	-112477.31653470233	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	-205880.98134729618	71901.7255003611	-2.863366350592827	0.004249281966587001	-346918.3012780563	-64843.66141653608	Event study	treat_a
anio_fiscal2013	-35347.42390872209	29235.359073397285	-1.2090641274485485	0.22686832150009242	-92703.56904168404	22008.721224239853	Event study with fixed effects	treat_a
anio_fiscal2014	-28435.042788163577	28351.697576526123	-1.0029396903452603	0.3160853168245628	-84057.55376477024	27187.46818844309	Event study with fixed effects	treat_a
anio_fiscal2015	-7282.158326727134	36970.60910479669	-0.19697155397372998	0.8438820255634736	-79813.90374312822	65249.58708967395	Event study with fixed effects	treat_a
anio_fiscal2016	16766.132371929893	51764.85708223843	0.3238902474953938	0.7460756600321307	-84790.09097193084	118322.35571579063	Event study with fixed effects	treat_a
anio_fiscal2017	23388.625922558196	49829.735794738415	0.46937085957874636	0.6388869595575699	-74371.12968724515	121148.38153236153	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	-178614.80128210515	54449.12457010398	-3.2803980356403377	0.0010653780415227937	-285437.2242037848	-71792.37836042554	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	-77876.2363702498	43245.76520485682	-1.8007829437482983	0.07197961259183559	-162719.05903743615	6966.586296936555	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	-51571.8298869732	55206.03212675253	-0.9341701966293243	0.3503976852722619	-159879.21146992248	56735.551695976064	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	-258557.49727182454	64213.86043298413	-4.026506046022016	6.004064895802325e-5	-384537.11973158084	-132577.87481206824	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	-243700.8216797924	78656.7638416857	-3.0982818231664697	0.0019901510156974766	-398015.6276401553	-89386.01571942947	Event study with fixed effects	treat_a
(Intercept)	-93616739.2092753	76514490.41061519	-1.2235164699768744	0.22113468734508568	-243582384.70951638	56348906.290965766	Event study assets weighted	treat_a
anio_fiscal	46857.99136656613	38005.68062777612	1.23292072639058	0.21760534180081403	-27631.773871806683	121347.75660493894	Event study assets weighted	treat_a
treatment	77680.54144034279	103969.5769308271	0.74714684558181	0.45497492547549406	-126096.08483194473	281457.1677126303	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	-105930.78657746175	106378.1888646843	-0.9957942291366546	0.31935013479744645	-314428.20549284277	102566.63233791926	Event study assets weighted	treat_a
anio_fiscal::2013:treatment	-84496.8962863381	77544.97638149577	-1.0896501647075263	0.2758672764287327	-236482.25717607889	67488.46460340268	Event study assets weighted	treat_a
anio_fiscal::2015:treatment	-59378.59964616585	94640.18432137798	-0.6274142434521126	0.530387733538274	-244869.95240629895	126112.75311396725	Event study assets weighted	treat_a
anio_fiscal::2016:treatment	-378347.77415821375	109955.77523907805	-3.4409086138092158	5.797643096612929e-4	-593857.1335189878	-162838.41479743976	Event study assets weighted	treat_a
anio_fiscal::2017:treatment	-409695.4919522954	153211.36390361466	-2.674054205339723	0.007494033749706192	-709984.2472256401	-109406.73667895066	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	-320181.51235533634	126629.62872325988	-2.528488123858204	0.011455496198222026	-568371.0240286044	-71992.00068206826	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2013:treatment	-104396.19540854412	78654.8487888786	-1.3272696727033213	0.18441949219260406	-258556.86624419005	49764.4754271018	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2015:treatment	-102809.33692935485	123049.58203621402	-0.8355114680446263	0.4034297926955066	-343982.0860330411	138363.4121743314	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2016:treatment	-511348.5754079856	190138.7171543887	-2.6893448270863276	0.00715924230782781	-884013.6130972356	-138683.5377187357	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2017:treatment	-510245.43441564246	208673.50296258298	-2.4451855514551553	0.014477763542883682	-919237.9847501173	-101252.88408116763	Event study assets weighted with fixed effects	treat_a
(Intercept)	213266.43738805744	38315.1211646556	5.566116742044614	3.335497987044439e-8	138080.258085785	288452.61669032986	Linear model	treat_b
treatment	270141.36210851313	60475.359549763896	4.466965787714242	8.826765203538398e-6	151469.90582006704	388812.8183969592	Linear model	treat_b
postPost	-26394.236424907114	35263.37413308934	-0.7484886819194116	0.4543393638163543	-95591.93931040191	42803.46646058769	Linear model	treat_b
treatment:postPost	-41735.016303254844	56597.056992645856	-0.7374061218179213	0.4610463467559076	-152796.03727049087	69326.00466398118	Linear model	treat_b
postPost	-31296.28348967275	35054.15689864102	-0.8927980661513513	0.37222193148104354	-100100.66231171839	37508.09533237288	Linear model with fixed effect	treat_b
treatment:postPost	-35620.01297034769	57002.5191179029	-0.6248848914321129	0.5322169178342585	-147504.68703452803	76264.66109383266	Linear model with fixed effect	treat_b
