term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	308865.3421106152	13386.77300101534	23.072426946149672	7.209749396727252e-113	282622.3936665693	335108.29055466113	Linear model	all
treatment	129282.21515127245	36050.03985564119	3.5861878563510685	3.38248941136815e-4	58611.01326672298	199953.41703582194	Linear model	all
postPost	135461.9684416658	17645.47140939592	7.676868772660535	1.8947284359581876e-14	100870.42076751456	170053.51611581707	Linear model	all
treatment:postPost	-86459.00228103965	38701.20986095994	-2.2340129053240694	0.025519349154279797	-162327.4625161045	-10590.542045974784	Linear model	all
postPost	68414.51590016439	14415.158152099177	4.746012161524685	2.1381757319830655e-6	40153.82221908748	96675.2095812413	Linear model with fixed effect	all
treatment:postPost	-74673.07502733704	27262.712566972325	-2.7390185347073808	0.0061862473028608915	-128121.19960849217	-21224.9504461819	Linear model with fixed effect	all
(Intercept)	694182.8941780219	24545.46532996866	28.28151289234117	3.532127438466478e-165	646064.8465245189	742300.941831525	Linear model assets weighted	all
treatment	82163.08984568488	51220.75489399922	1.6040975970721336	0.10874578592615711	-18248.236307853484	182574.41599922325	Linear model assets weighted	all
postPost	194634.01308802044	35213.246673914546	5.527295307086876	3.390678697253386e-8	125603.23046842121	263664.79570761963	Linear model assets weighted	all
treatment:postPost	-153994.74364322008	66110.42404034114	-2.3293564650145218	0.01987359486142577	-283595.241804584	-24394.245481856153	Linear model assets weighted	all
treatment:postPost	-159982.8758320762	53021.1055767417	-3.017343265325167	0.002550008715383948	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	-94846360.42244405	12576029.133157365	-7.541836888114119	5.3321179310375514e-14	-119499959.13588573	-70192761.70900236	Event study	all
anio_fiscal	47269.86997037459	6247.862853776705	7.565766259065837	4.4445520850309965e-14	35021.782598541526	59517.95734220765	Event study	all
treatment	83999.23677590239	35012.26969974611	2.399137145242301	0.01646445217791951	15362.432735069	152636.04081673577	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	93216.5572369947	35334.17204695735	2.638141828061361	0.008357957486105757	23948.70732237774	162484.40715161167	Event study	all
