term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	242416.87802622322	11303.070560286764	21.446993251369474	2.811262209729128e-100	220261.17079623946	264572.585256207	Linear model	all
treatment	-11116.954445624211	24340.059580920122	-0.45673489042478177	0.6478693633618406	-58827.10817411213	36593.1992828637	Linear model	all
postPost	126602.58506573642	13000.08764757446	9.738594730886893	2.467390458343863e-22	101120.47077231908	152084.69935915378	Linear model	all
treatment:postPost	159733.76999649373	41237.32427120475	3.8735241148522537	1.0780715971850153e-4	78902.4526453671	240565.08734762037	Linear model	all
postPost	123380.32125881744	12778.324011941957	9.655438470922524	5.806268651042911e-22	98332.24827014186	148428.394247493	Linear model with fixed effect	all
treatment:postPost	115354.87096444801	39774.73879307873	2.9002043624865013	0.0037372811520566267	37388.42094616161	193321.3209827344	Linear model with fixed effect	all
(Intercept)	601597.0021241712	30549.423870509574	19.692580936196112	4.5165041513344687e-85	541715.5665700331	661478.4376783094	Linear model assets weighted	all
treatment	-177558.83961501543	51230.81258783563	-3.4658603025394026	5.302719063916232e-4	-277978.88731765107	-77138.7919123798	Linear model assets weighted	all
postPost	253387.1319493429	38050.495008375234	6.659233523599897	2.8650756524976796e-11	178802.47613700829	327971.7877616775	Linear model assets weighted	all
treatment:postPost	262329.65908566717	87653.32012072898	2.9928091568505146	0.002769501714826933	90516.05428042152	434143.2638909128	Linear model assets weighted	all
treatment	-50969.6531374685	12510225228779.814	-4.074239448560258e-9	0.9999999967492272	-24519590937862.44	24519590835923.137	Linear model assets weighted with fixed effect	all
treatment:postPost	168786.39728429666	85323.45299895553	1.9781946387749079	0.04790675331304411	1555.5023697477882	336017.29219884553	Linear model assets weighted with fixed effect	all
(Intercept)	-75056377.55332275	8338274.929369151	-9.001427536163202	2.539678612959326e-19	-91400642.82347806	-58712112.28316744	Event study	all
anio_fiscal	37409.3957657617	4140.563624779126	9.034855917171726	1.8755145872101696e-19	29293.27212812747	45525.51940339593	Event study	all
treatment	-101884.38724560462	21394.551254293037	-4.7621651903150095	1.9362824733375086e-6	-143820.90576989308	-59947.86872131617	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	170398.53171299634	26723.265587033442	6.376411264485447	1.8752073072167234e-10	118016.93655823785	222780.12686775482	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	83847.32212080536	19728.60088932893	4.250038945547215	2.152484154320265e-5	45176.315338757515	122518.3289028532	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	115241.19204730852	32419.602196485095	3.5546763143134084	3.798098263888769e-4	51693.925647404525	178788.45844721253	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	278863.9761409596	45118.12433458058	6.180752862707672	6.573583609666302e-10	190425.70817034165	367302.2441115775	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	377956.20544905035	54469.49446665973	6.938860166590931	4.1432309048435185e-12	271187.85417309904	484724.55672500166	Event study	all
anio_fiscal2013	9015.527635399927	9285.95654567981	0.9708776463739003	0.33163260625066515	-9186.807776470514	27217.863047270366	Event study with fixed effects	all
anio_fiscal2014	-52786.086709172174	11497.64196913165	-4.591035870736789	4.464122593559998e-6	-75323.76869575221	-30248.404722592142	Event study with fixed effects	all
anio_fiscal2015	22150.70137630593	15139.1074302733	1.463144473894922	0.14345916373374493	-7524.982536987762	51826.385289599624	Event study with fixed effects	all
anio_fiscal2016	120788.15439845092	17874.38368228406	6.7576122648731305	1.4807275084870982e-11	85750.78097710249	155825.52781979935	Event study with fixed effects	all
anio_fiscal2017	187625.20364400063	19609.31624403736	9.568166544361391	1.3451786336167348e-21	149187.01478154384	226063.39250645743	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	12682.13105929346	26238.985536032378	0.48333160753787047	0.6288708439211366	-38751.53797034266	64115.80008892958	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-28290.132440346064	23037.624207294575	-1.2279969577500247	0.21947690602910322	-73448.49182432298	16868.226943630852	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	57108.512497504256	32577.799613271283	1.7529886356793676	0.07963448455150789	-6750.502201132265	120967.52719614079	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	123957.97095031728	42978.79024695207	2.8841661256183917	0.003932863993881202	39710.93061332466	208205.0112873099	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	155825.55348899297	52490.14030783276	2.9686633065779815	0.002998047591876983	52934.361289324355	258716.74568866158	Event study with fixed effects	all
(Intercept)	-147573216.7935408	23713558.497850887	-6.22315781104363	4.872468352512792e-10	-194050937.39461228	-101095496.19246933	Event study assets weighted	all
anio_fiscal	73616.7639083233	11774.691624919791	6.252118208558585	4.049227152576959e-10	50538.7923944151	96694.73542223149	Event study assets weighted	all
treatment	-337430.72829696524	45976.16703270036	-7.339253140805954	2.1478903031987471e-13	-427542.3598282557	-247319.0967656748	Event study assets weighted	all
anio_fiscal::2012:treatment	292124.1665468771	56086.61889990707	5.208446725380359	1.9042800877154425e-7	182196.4134884358	402051.91960531846	Event study assets weighted	all
anio_fiscal::2013:treatment	138265.79997944657	40200.95120192103	3.4393663792920264	5.830775423385609e-4	59473.383479429176	217058.21647946397	Event study assets weighted	all
anio_fiscal::2015:treatment	216191.29967273655	69112.5997418307	3.128102552650553	0.0017593878173513457	80733.0933008162	351649.5060446569	Event study assets weighted	all
anio_fiscal::2016:treatment	487197.66667512106	93471.76155860919	5.212244409982962	1.8656951837932301e-7	303996.3804487316	670398.9529015105	Event study assets weighted	all
anio_fiscal::2017:treatment	603415.4718206904	105318.75116247636	5.729421068521739	1.0077396634610304e-8	396994.5126455009	809836.4309958799	Event study assets weighted	all
anio_fiscal::2012:treatment	-25205.837904883825	57856.275041680005	-0.43566299224631017	0.663081260068108	-138602.0532662202	88190.37745645257	Event study assets weighted with fixed effects	all
