term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	17133.797586529756	2856.039883094692	5.99914507074889	2.015283862101533e-9	11535.747524816266	22731.847648243245	Linear model	all
treatment	1287353.193796791	50109.091436447365	25.691010491170495	2.128478464378532e-143	1189135.6569659472	1385570.7306276346	Linear model	all
postPost	6540.912915732786	4173.781168643412	1.567143233304384	0.11709591400866867	-1640.0078294584246	14721.833660923996	Linear model	all
treatment:postPost	-326621.3656836039	42488.899190937984	-7.687216470726208	1.5679562264809264e-14	-409902.76036785403	-243339.9709993538	Linear model	all
postPost	6589.343193941511	4197.3195823435535	1.5698931340992583	0.11645793347684869	-1637.8172281016996	14816.503615984722	Linear model with fixed effect	all
treatment:postPost	-340367.38197541947	42117.889541896184	-8.081301928408443	6.819186980475239e-16	-422922.6001572105	-257812.16379362845	Linear model with fixed effect	all
(Intercept)	44644.562052339345	8239.92998736988	5.418075410928283	6.089030901491677e-8	28493.68795308524	60795.43615159345	Linear model assets weighted	all
treatment	2300046.0143606877	53726.83931561755	42.81000043291399	0	2194737.4232843732	2405354.605437002	Linear model assets weighted	all
postPost	16613.780542796656	12135.40657325744	1.3690336984183227	0.17100302519365798	-7172.516671908492	40400.0777575018	Linear model assets weighted	all
treatment:postPost	-596066.7682086752	79316.81856979392	-7.515011052595019	5.91264600312095e-14	-751533.6171549268	-440599.91926242365	Linear model assets weighted	all
treatment:postPost	-595806.7974293998	79520.51361240484	-7.492491815803069	6.757814457668219e-14	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	-2290814.058827509	2916289.1210004003	-0.7855236445286574	0.4321552598192605	-8006957.156486807	3425329.038831789	Event study	all
anio_fiscal	1147.2782998229222	1447.718346072101	0.792473413724208	0.4280934224617481	-1690.357094988688	3984.9136946345325	Event study	all
treatment	1416124.3949125998	53361.9325640558	26.538101730342703	1.0064080571379738e-152	1311531.0470489445	1520717.7427762551	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	-223499.0543707004	40371.07891282403	-5.53611794357334	3.1285841372954594e-8	-302629.3650147411	-144368.74372665977	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	-177579.64744782343	31967.50041538485	-5.555005713313778	2.8088574500594937e-8	-240238.32059959212	-114920.97429605474	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	-304704.51612858	37633.484962512826	-8.096632996707584	5.947694521617721e-16	-378468.9394706452	-230940.09278651484	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	-523798.1685940002	48097.37828090808	-10.890368400847292	1.5118389399191122e-27	-618072.5993752695	-429523.7378127309	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	-541655.1211259027	50309.65298297902	-10.766425308263562	5.808697498589776e-27	-640265.7744981719	-443044.46775363357	Event study	all
anio_fiscal2013	-10593.682581242016	4197.12418096226	-2.524033629811077	0.011610400622302954	-18820.46025407541	-2366.904908408622	Event study with fixed effects	all
anio_fiscal2014	-30979.210332029015	5553.459992907592	-5.578362025042592	2.4636530552323364e-8	-41864.540073726384	-20093.88059033165	Event study with fixed effects	all
anio_fiscal2015	-16807.898614255515	6343.623994654786	-2.6495735920694625	0.008066538622700343	-29242.027792704394	-4373.7694358066365	Event study with fixed effects	all
anio_fiscal2016	-12945.532544650283	6671.380399209949	-1.940457861791743	0.05234001053110027	-26022.096627301682	131.0315380011143	Event study with fixed effects	all
anio_fiscal2017	5366.6288308613985	7844.161135302353	0.6841558629780164	0.49388575247877153	-10008.70125413451	20741.958915857307	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-312489.5481612721	39365.64512344507	-7.938128466619796	2.1751363079145337e-15	-389650.0981986532	-235328.99812389095	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-229517.60500296243	31255.938454681247	-7.343167933855054	2.1769864153977055e-13	-290782.3294990277	-168252.88050689717	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	-341305.8941717692	36938.958629194254	-9.239727020945908	2.746354447744459e-20	-413709.8991537472	-268901.8891897912	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	-579140.8890413978	47356.55897294611	-12.229370156988177	2.98292227870038e-34	-671964.4189688661	-486317.35911392956	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	-636676.9358248463	49531.74871761438	-12.853915969222232	1.2073902161888632e-37	-733764.052354489	-539589.8192952035	Event study with fixed effects	all
(Intercept)	-6417049.448774725	8300733.4826857075	-0.773070170504798	0.43948085358719774	-22686188.12010444	9852089.222554991	Event study assets weighted	all
anio_fiscal	3211.701049095209	4120.71275282246	0.7794042540080891	0.4357416187202861	-4864.747537071713	11288.14963526213	Event study assets weighted	all
treatment	2611594.62565325	47383.68301769745	55.11590613751657	0	2518724.313483701	2704464.937822799	Event study assets weighted	all
anio_fiscal::2012:treatment	-560175.3554173228	68974.51921059523	-8.12148256817822	4.605229822725774e-16	-695362.9289210555	-424987.78191359015	Event study assets weighted	all
anio_fiscal::2013:treatment	-398280.65351525834	59173.024543730826	-6.73078073305034	1.6875511234016337e-11	-514257.65047727537	-282303.6565532413	Event study assets weighted	all
anio_fiscal::2015:treatment	-617404.6153064384	71557.35686646216	-8.628108168648787	6.2375075616727006e-18	-757654.4575935842	-477154.7730192927	Event study assets weighted	all
anio_fiscal::2016:treatment	-1030650.849401962	85791.57893661242	-12.01342675093396	3.0206372811488122e-33	-1198799.2542945475	-862502.4445093765	Event study assets weighted	all
anio_fiscal::2017:treatment	-1075584.2206519148	88563.41263927807	-12.144791947356495	6.113791108887516e-34	-1249165.319772859	-902003.1215309704	Event study assets weighted	all
anio_fiscal::2012:treatment	-677731.5456805802	70644.49664271684	-9.593550494218881	8.510487689397635e-22	-816192.2148062659	-539270.8765548945	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	-463970.7852229135	60228.49410777578	-7.703509644333157	1.3237911025062066e-14	-582016.4645172368	-345925.1059285901	Event study assets weighted with fixed effects	all
anio_fiscal::2015:treatment	-651551.7370033645	71996.65020364423	-9.049750719796476	1.432950904680044e-19	-792662.5784100355	-510440.8955966935	Event study assets weighted with fixed effects	all
anio_fiscal::2016:treatment	-1079737.7557976532	85812.89983659181	-12.582464383020863	2.636739913745709e-36	-1247927.9488863163	-911547.5627089902	Event study assets weighted with fixed effects	all
anio_fiscal::2017:treatment	-1190901.4106033165	88544.31949162649	-13.449777664347382	3.0879938628424174e-41	-1364445.0878425124	-1017357.7333641207	Event study assets weighted with fixed effects	all
(Intercept)	9748.886895662617	4320.064257620533	2.256653214929782	0.024065488278789716	1280.0126848939544	18217.76110643128	Linear model	treat_a
