term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	1009861.9863693918	22850.254100553677	44.194781463936636	0	965072.9445697133	1054651.0281690704	Linear model	all
treatment	-559112.3314189542	60104.75684562734	-9.302297534535821	1.5473559305538263e-20	-676924.3458881099	-441300.31694979843	Linear model	all
postPost	105324.27502317545	14689.61773989597	7.169980654916712	7.826697799221417e-13	76530.98895824906	134117.56108810185	Linear model	all
treatment:postPost	489969.8996979514	92338.09795157563	5.306259394198304	1.133795363921202e-7	308976.94834360667	670962.8510522961	Linear model	all
postPost	-31122.330262612726	10980.461292350052	-2.834337231742282	0.004599386909379607	-52645.706148102356	-9598.954377123096	Linear model with fixed effect	all
treatment:postPost	272068.41731012537	84867.42358112284	3.2058050760791783	0.0013502110589296722	105715.34620170429	438421.48841854645	Linear model with fixed effect	all
(Intercept)	2402588.805982385	29305.87984784029	81.98316578300735	0	2345146.019057338	2460031.5929074315	Linear model assets weighted	all
treatment	-1773314.8238366817	89503.53348792423	-19.81279123550956	2.4611064450980006e-86	-1948751.713289584	-1597877.9343837793	Linear model assets weighted	all
postPost	7119.35605496688	25278.349819866307	0.2816384813763343	0.7782243494485791	-42429.02365786326	56667.735767797014	Linear model assets weighted	all
treatment:postPost	837514.3262561806	133754.4237305044	6.261582255728973	3.907503217425757e-10	575340.7657786929	1099687.8867336684	Linear model assets weighted	all
treatment	-122833.01841222112	5176469877298.488	-2.3729109088591006e-8	0.9999999810669102	-10145694649394.525	10145694403728.49	Linear model assets weighted with fixed effect	all
treatment:postPost	404925.4339291494	132157.75719705707	3.0639550981890182	0.0021843169203627035	145900.98954532848	663949.8783129703	Linear model assets weighted with fixed effect	all
(Intercept)	-81434027.49199751	10514051.709295118	-7.74525651419466	1.0104427360693553e-14	-102042739.68467492	-60825315.2993201	Event study	all
anio_fiscal	40951.87113812589	5221.6765081301255	7.842667211261368	4.6858271250849765e-15	30716.803697456722	51186.93857879506	Event study	all
treatment	-767329.9657692143	47533.15208857605	-16.14304821063259	3.637417176696164e-58	-860500.2371440638	-674159.6943943648	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	350127.7255771742	80379.99479700493	4.355906298095711	1.3333690844105044e-5	192573.9846767085	507681.46647764	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	289765.10296387237	74780.52158974663	3.8748740554867016	1.0710261561223719e-4	143186.9531057234	436343.2528220214	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	436206.5006776442	81049.5617710357	5.381972353039042	7.470536222195811e-8	277340.3339452489	595072.6674100396	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	914338.9888801228	110114.05339448774	8.303563084763296	1.0898450159727341e-16	698503.1819504411	1130174.7958098045	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	721629.0982623326	109317.07412409312	6.601247829256417	4.2045380516199336e-11	507355.45945405867	935902.7370706066	Event study	all
anio_fiscal2013	51107.98920297798	10498.711331914106	4.868024997279362	1.140865795484298e-6	30528.91532972453	71687.06307623142	Event study with fixed effects	all
anio_fiscal2014	97962.74200867602	13213.050887950825	7.414089511908993	1.3029185402213147e-13	72063.14902837998	123862.33498897207	Event study with fixed effects	all
anio_fiscal2015	49199.62381512184	14965.809994782649	3.2874681579061686	0.0010136949403236975	19864.355921861636	78534.89170838206	Event study with fixed effects	all
anio_fiscal2016	14893.554846677675	18133.60731214587	0.8213233357436823	0.4114776659135033	-20651.078458063603	50438.18815141895	Event study with fixed effects	all
anio_fiscal2017	-4421.721185952578	20474.329756039115	-0.21596414821092474	0.8290191912188646	-44554.52713081913	35711.084758913974	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	271028.96147267194	67742.5349248736	4.00086831372996	6.347147866177604e-5	138243.2712572748	403814.6516880691	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	105886.11230058473	50687.6408066275	2.0889927133231248	0.036728403103438806	6530.6131690216425	205241.61143214782	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	189230.14580920702	59143.77344669546	3.1994939582229156	0.001380101595533008	73299.3382630767	305160.9533553374	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	579297.6189764434	115093.03258961499	5.033298766590275	4.887676961421102e-7	353697.73865983397	804897.4992930528	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	526376.511962403	113899.88493146836	4.621396345388012	3.849492795095703e-6	303115.38285272114	749637.6410720848	Event study with fixed effects	all
(Intercept)	-36499370.66982147	17014635.70928458	-2.1451749713280326	0.03193885995760927	-69847443.87008837	-3151297.4695545807	Event study assets weighted	all
anio_fiscal	19313.122953966358	8447.353705538633	2.2862926813758753	0.022237141755037704	2756.6139264396734	35869.63198149305	Event study assets weighted	all
treatment	-1999174.6553482986	69368.01791016039	-28.81983247578821	1.2105314242925417e-182	-2135133.4721311424	-1863215.8385654548	Event study assets weighted	all
anio_fiscal::2012:treatment	427146.4442716916	126633.75570249614	3.3730851770297128	7.433095474585683e-4	178948.84386775552	675344.0446756277	Event study assets weighted	all
anio_fiscal::2013:treatment	313925.1134539328	105917.46603898883	2.9638654057148153	0.003038011334805889	106330.69468377045	521519.5322240952	Event study assets weighted	all
anio_fiscal::2015:treatment	583004.4497741719	115556.70164669167	5.045180776764262	4.530927725487808e-7	356517.4763744159	809491.4231739279	Event study assets weighted	all
anio_fiscal::2016:treatment	1389871.0033321858	152216.77244554705	9.130866336227097	6.795329907024143e-20	1091531.6114959847	1688210.3951683869	Event study assets weighted	all
anio_fiscal::2017:treatment	1188517.2851832695	162086.75380969714	7.332599717424683	2.257303936680662e-13	870833.0853452529	1506201.4850212862	Event study assets weighted	all
anio_fiscal::2012:treatment	564515.9432062196	110091.44200864415	5.127700508836054	2.9330253332299446e-7	348740.6818631971	780291.204549242	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	231529.56467541156	68596.4303130901	3.375242175411412	7.375076019155457e-4	97083.03179374337	365976.09755707975	Event study assets weighted with fixed effects	all
anio_fiscal::2015:treatment	369389.88648528035	94386.89006608025	3.9135719613886053	9.094078211759793e-5	184394.9813430217	554384.791627539	Event study assets weighted with fixed effects	all
anio_fiscal::2016:treatment	948393.3807786097	177303.6490784616	5.348978352718055	8.845211968900815e-8	600884.6142572967	1295902.1472999225	Event study assets weighted with fixed effects	all
anio_fiscal::2017:treatment	875687.7640173018	175497.31528544094	4.989750199842219	6.045742207768799e-7	531719.346674367	1219656.1813602368	Event study assets weighted with fixed effects	all
(Intercept)	832671.0259681296	44392.75455719671	18.756912795201657	4.3178652599460105e-75	745634.636085806	919707.4158504533	Linear model	treat_a
treatment	-361470.4272706522	83365.05511818657	-4.335994581400994	1.4892918307661505e-5	-524915.8703886131	-198024.98415269135	Linear model	treat_a
postPost	74871.26604165355	26648.725708351336	2.8095627108424908	0.004986680298006442	22623.801252533813	127118.73083077329	Linear model	treat_a
treatment:postPost	606483.2832428241	121953.6161996884	4.9730651877494205	6.886597462329231e-7	367381.1461262933	845585.4203593549	Linear model	treat_a
postPost	-43175.838118922526	20910.22142271507	-2.0648197475336154	0.03902848547994477	-84176.17814698805	-2175.4980908569996	Linear model with fixed effect	treat_a
treatment:postPost	491344.6962845991	131509.27194056148	3.7361981329093905	1.9041327710783975e-4	233483.9707855839	749205.4217836142	Linear model with fixed effect	treat_a
(Intercept)	2201097.01259826	71679.78016696085	30.707362766338466	7.553262525641202e-185	2060561.7077828604	2341632.3174136593	Linear model assets weighted	treat_a
treatment	-1554347.889821818	131205.8341534927	-11.846637002463211	8.251583592508254e-32	-1811589.9161418001	-1297105.863501836	Linear model assets weighted	treat_a
postPost	-8304.049988718374	56246.735824940246	-0.1476361226465393	0.8826379103631252	-118581.34360788464	101973.2436304479	Linear model assets weighted	treat_a
treatment:postPost	1032219.118811806	178047.83416543886	5.797425863954551	7.2915890961933055e-9	683138.7144372542	1381299.5231863577	Linear model assets weighted	treat_a
treatment:postPost	805294.3692574904	200483.38353476292	4.016763659207976	5.900284409612402e-5	NA	NA	Linear model assets weighted with fixed effect	treat_a
(Intercept)	-53935380.51598334	18981432.72295931	-2.841481004262913	0.004514802335763709	-91150371.31833306	-16720389.713633627	Event study	treat_a
anio_fiscal	27205.80379589701	9427.730090397252	2.8857215400775917	0.003927572143754428	8721.799257251758	45689.808334542264	Event study	treat_a
treatment	-485464.1631453044	80665.37881867289	-6.018246864451919	1.9331901968186287e-9	-643616.6785333497	-327311.6477572592	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	196008.37695009718	91729.78794383738	2.136801810444668	0.032678940214142	16162.984641945863	375853.7692582485	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	180517.042387467	88667.73128815948	2.0358820482370104	0.04183266608277343	6675.11735918498	354358.967415749	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	541380.9101046838	122369.07520926933	4.424164431894593	9.957890169828355e-6	301464.1411825637	781297.6790268039	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	929676.449036863	145722.2859577821	6.379782220176014	1.990546555087932e-10	643973.3827421523	1215379.5153315738	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	679558.6615384553	147932.27910672847	4.59371454047683	4.497998784531458e-6	389522.68339711585	969594.6396797947	Event study	treat_a
anio_fiscal2013	34314.6891370001	20349.53708736738	1.6862638687885454	0.0918525146261616	-5586.318166277932	74215.69644027815	Event study with fixed effects	treat_a
anio_fiscal2014	87888.07569508986	25177.45637779656	3.4907448304665283	4.888602733116539e-4	38520.570847421084	137255.58054275863	Event study with fixed effects	treat_a
anio_fiscal2015	46473.47170107091	29060.515836787567	1.5991963791035106	0.10988587059531572	-10507.866481826204	103454.80988396802	Event study with fixed effects	treat_a
anio_fiscal2016	-1698.0329272306344	34311.14719362465	-0.04948924959134405	0.960532811152049	-68974.7148919789	65578.64903751762	Event study with fixed effects	treat_a
anio_fiscal2017	-66093.60178686859	37268.5676388166	-1.77344089065633	0.07626057052977107	-139169.1407121382	6981.93713840103	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	220636.09665573118	97081.6176126737	2.272686653574341	0.023117918581066297	30280.202231870673	410991.9910795917	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	88770.69911470216	71814.36694588442	1.2361133696492117	0.21651650137289236	-52041.62343030806	229583.02165971237	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	283194.7921632266	111447.79503035883	2.541053343281338	0.011103571009215184	64669.95475053071	501719.62957592244	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	796139.3436145779	169321.62048379143	4.7019355315630795	2.6974150060619425e-6	464136.54735830834	1128142.1398708476	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	765371.8952172425	169316.30938041257	4.520367222850564	6.420440539070487e-6	433379.51287721086	1097364.2775572743	Event study with fixed effects	treat_a
(Intercept)	-13717394.977196604	36911213.02839073	-0.3716321911893195	0.7101667179159099	-86062043.13852803	58627253.184134826	Event study assets weighted	treat_a
anio_fiscal	7900.149173984028	18326.06266992995	0.43108818933304593	0.6664042479960524	-28018.273637502607	43818.57198547066	Event study assets weighted	treat_a
treatment	-1640490.882586209	124984.58363251302	-13.125545846595578	2.3508275160442367e-39	-1885456.1651286688	-1395525.6000437494	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	172711.09126322204	149336.8736558045	1.1565200679189993	0.2474684959682277	-119983.80266596307	465405.98519240716	Event study assets weighted	treat_a
anio_fiscal::2013:treatment	131709.54279744346	132039.5363733569	0.9975007972234895	0.3185214870271033	-127083.1930297025	390502.27862458944	Event study assets weighted	treat_a
anio_fiscal::2015:treatment	740210.0657805544	178649.56357848571	4.1433634146850835	3.422489415134147e-5	390063.35531292396	1090356.776248185	Event study assets weighted	treat_a
anio_fiscal::2016:treatment	1421758.686649263	200738.83340831206	7.082629018558357	1.4144496789995135e-12	1028317.8028703856	1815199.5704281402	Event study assets weighted	treat_a
anio_fiscal::2017:treatment	1124057.9137198348	224390.8104114354	5.009375881564847	5.4606829953682e-7	684260.0068516661	1563855.8205880034	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	506990.8321411902	168774.65128841397	3.00395129405309	0.0026649798429432257	176198.59411259228	837783.0701697881	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2013:treatment	217255.24191587116	104010.84331662802	2.08877492949948	0.03672798820398985	13397.735013641708	421112.7488181006	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2015:treatment	589251.9958781948	186119.3339107595	3.165990246670071	0.0015455597586729699	224464.80458652187	954039.1871698678	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2016:treatment	1311635.1930006137	252900.99746593897	5.186358322597231	2.1444602362621566e-7	815958.346313118	1807312.0396881094	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2017:treatment	1302258.4203228592	260144.2160719742	5.005909568108802	5.559885686939837e-7	792385.126035384	1812131.7146103345	Event study assets weighted with fixed effects	treat_a
(Intercept)	843402.8401613419	78523.3118511041	10.740795571136918	4.862390031525264e-26	689384.3342074185	997421.3461152654	Linear model	treat_b
treatment	-372202.2414638598	105628.551735697	-3.523689715969803	4.374619105236395e-4	-579385.9597876305	-165018.52314008906	Linear model	treat_b
postPost	158799.45456298586	54210.44486037621	2.929314728406821	0.0034448479494142937	52469.098294711715	265129.81083126	Linear model	treat_b
treatment:postPost	522555.0947215009	130907.43804172825	3.991790707529777	6.852161303677724e-5	265788.44097064674	779321.7484723551	Linear model	treat_b
postPost	12881.683052040096	38721.00252211924	0.33267948175364204	0.7394326542734243	-63084.4766629861	88847.8427670663	Linear model with fixed effect	treat_b
treatment:postPost	435287.17511364294	135530.92960640122	3.211718361098617	0.001353443838233926	169391.05739498558	701183.2928323003	Linear model with fixed effect	treat_b
(Intercept)	2316916.8346223333	113041.72357222177	20.49612091363829	3.7454821138553426e-83	2095192.6489682205	2538641.0202764464	Linear model assets weighted	treat_b
