term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	10.030238299598722	0.06762373516696846	148.32422780009495	0	9.897685674171308	10.162790925026135	Linear model	all
treatment	-1.0277242348991726	0.1983441258423312	-5.181520907335249	2.2343209945464925e-7	-1.4165083586035423	-0.6389401111948031	Linear model	all
postPost	0.6961488993447935	0.050323670088001655	13.833428645554445	3.2777794731330208e-43	0.5975069864892332	0.7947908122003539	Linear model	all
treatment:postPost	0.38097718609830034	0.15156923358062382	2.513552236810963	0.01196438941342912	0.08387884044308852	0.6780755317535121	Linear model	all
postPost	0.6056476105979298	0.04652623322368267	13.017335998084722	1.9934259034458172e-38	0.514446880002444	0.6968483411934157	Linear model with fixed effect	all
treatment:postPost	0.2614122937050944	0.14751651658035692	1.772088304177755	0.07641020707150675	-0.027749608191178554	0.5505741956013673	Linear model with fixed effect	all
(Intercept)	11.021349197854779	0.14057846501267418	78.3999825070015	0	10.74579440085966	11.296903994849897	Linear model assets weighted	all
treatment	-0.833233273023182	0.2797926121092304	-2.978038865078716	0.0029064302483584117	-1.3816686000381844	-0.2847979460081794	Linear model assets weighted	all
postPost	0.47220099938662513	0.09829224461700627	4.804051440950878	1.572510083502652e-6	0.2795335128751467	0.6648684858981035	Linear model assets weighted	all
treatment:postPost	0.42873781030144803	0.2257919793029441	1.8988177154256327	0.05761092302216347	-0.013848207509597588	0.8713238281124936	Linear model assets weighted	all
treatment	-0.2135879427729506	32240184.358490646	-6.624898306969542e-9	0.999999994714096	-63189600.41116118	63189599.9839853	Linear model assets weighted with fixed effect	all
treatment:postPost	0.15934883225170646	0.222070459871085	0.7175597886554145	0.4730287589766227	-0.2759012711258674	0.5945989356292803	Linear model assets weighted with fixed effect	all
(Intercept)	-420.6678590662183	31.624830840926588	-13.30182163446769	4.170851587352023e-40	-482.6572548064951	-358.6784633259415	Event study	all
anio_fiscal	0.21396910458480822	0.015692779922610537	13.634875760700394	4.8852543620441255e-42	0.18320891017362215	0.2447292989959943	Event study	all
treatment	-1.4551884063657332	0.20045058422607367	-7.259586755429616	4.1071236275044516e-13	-1.8481015148804252	-1.0622752978510412	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	0.7701811378558715	0.12317833467525026	6.252569819898864	4.166003704356465e-10	0.5287331891468239	1.0116290865649191	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	0.4495134137382397	0.10570814303282265	4.252401005650668	2.129930672264371e-5	0.24230965209941743	0.656717175377062	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	0.18388666023405184	0.11644146177279462	1.5792197850698497	0.11431038258222681	-0.04435601055579111	0.4121293310238948	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	1.1669901071302191	0.18209582891982534	6.4086591881466495	1.519562312688566e-10	0.8100550626917629	1.5239251515686754	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	1.1457647113111769	0.1937094598366702	5.914861939511112	3.4064133307306707e-9	0.766065214265621	1.5254642083567327	Event study	all
anio_fiscal2013	-0.020325360319242595	0.036161084386922525	-0.5620782856443641	0.5740752336806416	-0.09120833113972775	0.050557610501242564	Event study with fixed effects	all
anio_fiscal2014	-0.27015388595347956	0.048191254599803085	-5.605869533734518	2.12689414540824e-8	-0.36461840081840907	-0.17568937108855004	Event study with fixed effects	all
anio_fiscal2015	0.004311522680853892	0.05754906722753835	0.074919071473512	0.9402805954114175	-0.10849617991423144	0.11711922527593924	Event study with fixed effects	all
anio_fiscal2016	0.6708718079171576	0.06794213418590116	9.874164477694196	6.849942542381775e-23	0.537691611674968	0.8040520041593472	Event study with fixed effects	all
anio_fiscal2017	0.8766791484898792	0.07175544775789598	12.217597072877428	4.369694267365165e-34	0.7360240935913264	1.0173342033884318	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.07319784112946486	0.11575694343707497	-0.6323408251467431	0.5271785959019519	-0.3001046439267312	0.1537089616678015	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.15946537536352268	0.100498969486778	-1.5867364230486214	0.11260385398431011	-0.3564634920515375	0.03753274132449211	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	0.0010718475908366367	0.11481253617911745	0.009335632035551083	0.9925515370684908	-0.22398372775450442	0.2261274229361777	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	0.3076395681738258	0.18243431533834506	1.686303191388492	0.09176849559639275	-0.0499682433734327	0.6652473797210843	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	0.2679794629196626	0.19539868352457215	1.3714496847465358	0.17026547611287401	-0.11504110788054284	0.651000033719868	Event study with fixed effects	all
(Intercept)	-263.2572192937214	60.02255758841992	-4.385971372611275	1.154693082906068e-5	-380.8992704270057	-145.61516816043707	Event study assets weighted	all
anio_fiscal	0.1362688978025859	0.029791627224285955	4.574066961052074	4.7834684976234124e-6	0.07787838140214245	0.19465941420302932	Event study assets weighted	all
treatment	-1.078400860206342	0.28470112129558484	-3.787834959338693	1.5196573612757011e-4	-1.6364048043038575	-0.5203969161088264	Event study assets weighted	all
anio_fiscal::2012:treatment	0.4257455204669025	0.14191763473847757	2.9999479715925097	0.0027002572632825214	0.14759206760837607	0.703898973325429	Event study assets weighted	all
anio_fiscal::2013:treatment	0.21529381722198515	0.14042593142226834	1.5331485790511516	0.12523925054823937	-0.05993595086115222	0.4905235853051225	Event study assets weighted	all
anio_fiscal::2015:treatment	0.31200615988916525	0.1535697078313766	2.031690782610304	0.04218496963621039	0.011015063423328475	0.612997256355002	Event study assets weighted	all
anio_fiscal::2016:treatment	0.8885969156318314	0.26044236994779996	3.411875401878471	6.451759621327165e-4	0.3781392504858867	1.3990545807777761	Event study assets weighted	all
anio_fiscal::2017:treatment	0.9015174815259783	0.2797688832705043	3.2223650857351234	0.001271370241960225	0.35318054632079954	1.4498544167311571	Event study assets weighted	all
anio_fiscal::2012:treatment	-0.09671454091067277	0.1477284044173114	-0.6546780308915283	0.5126750727506268	-0.38625689306217087	0.19282781124082532	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	-0.15570209028003884	0.14209688808885365	-1.0957459545678285	0.2731899658668047	-0.43420687324941054	0.12280269268933286	Event study assets weighted with fixed effects	all
anio_fiscal::2015:treatment	-0.01436500047851108	0.1698738562617287	-0.084562750234966	0.9326090139596321	-0.3473116406664332	0.31858163970941106	Event study assets weighted with fixed effects	all
anio_fiscal::2016:treatment	0.16960061492657869	0.26655608319147095	0.6362661579355223	0.5246029587607864	-0.3528397079887667	0.6920409378419241	Event study assets weighted with fixed effects	all
anio_fiscal::2017:treatment	0.07983967642725717	0.2880504735671306	0.27717252271293497	0.7816476370804676	-0.4847288774940255	0.6444082303485399	Event study assets weighted with fixed effects	all
(Intercept)	10.200497385633428	0.14111232875869406	72.28636558805968	0	9.923824473195186	10.47717029807167	Linear model	treat_a
treatment	-1.9231263922453385	0.28472113389293596	-6.754420952005952	1.678248447449647e-11	-2.4813669516622543	-1.3648858328284228	Linear model	treat_a
postPost	0.7124117020974254	0.092674764286399	7.687224322425165	1.9513260678160815e-14	0.5307082522982823	0.8941151518965685	Linear model	treat_a
treatment:postPost	0.9056369946215911	0.20623444573007385	4.3912984148483005	1.1608572258819278e-5	0.5012819304882561	1.309992058754926	Linear model	treat_a
postPost	0.5718406010794239	0.08355056955823185	6.844245396566337	9.49256121304823e-12	0.40801053167830126	0.7356706704805466	Linear model with fixed effect	treat_a
treatment:postPost	0.7221643594013569	0.19692292588717472	3.6672437002846214	2.4994548298145947e-4	0.3360281931807001	1.1083005256220138	Linear model with fixed effect	treat_a
(Intercept)	11.492045238076237	0.33558532459964524	34.24477888532908	2.835639296619985e-221	10.834077433666403	12.150013042486071	Linear model assets weighted	treat_a
treatment	-2.030798878437114	0.4618505381706773	-4.39709107297095	1.1304852720106401e-5	-2.936329491041208	-1.1252682658330202	Linear model assets weighted	treat_a
postPost	0.5558323808388854	0.17561264960740508	3.1651044619023136	0.001563877446254169	0.21151616371399679	0.900148597963774	Linear model assets weighted	treat_a
treatment:postPost	1.044464844650756	0.3011222108132431	3.4685745758506545	5.296805954259953e-4	0.4540673946305773	1.6348622946709348	Linear model assets weighted	treat_a
treatment	-0.022191501398928226	5989377.517656241	-3.705143202863624e-9	0.9999999970437234	-11738964.246611644	11738964.20222864	Linear model assets weighted with fixed effect	treat_a
treatment:postPost	0.8024333647763059	0.2776906748965328	2.8896662269098217	0.003856510544740337	0.25816964313648083	1.346697086416131	Linear model assets weighted with fixed effect	treat_a
(Intercept)	-440.025177184744	60.53197492799101	-7.269301517226211	4.456592498426715e-13	-558.7076826531014	-321.3426717163866	Event study	treat_a
anio_fiscal	0.2236654055469424	0.030028439892898228	7.448452411936312	1.1894044167975267e-13	0.1647899023763503	0.2825409087175345	Event study	treat_a
treatment	-2.3466381296623147	0.2807348144942889	-8.358913852168675	9.09304601178018e-17	-2.8970631107737406	-1.7962131485508888	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	0.7267084118143802	0.16621210671165057	4.372174964818263	1.2667976848590902e-5	0.40082330254478615	1.052593521083974	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	0.5101913584649963	0.13498447727648266	3.779629841585371	1.5974170103407506e-4	0.24553295302609718	0.7748497639038954	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	0.3040222304700823	0.16433889623356465	1.8499712328479705	0.06440392656278993	-0.018190153548546695	0.6262346144887113	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	1.8189168876787023	0.24038550963445174	7.566666104145312	4.893752559785066e-14	1.3476030969814132	2.290230678375991	Event study	treat_a
