term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	12.671662743824085	0.030542676100501133	414.8838399794369	0	12.61179569855975	12.73152978908842	Linear model	all
treatment	-1.9555654571713157	0.2601140140594735	-7.5181087964148965	5.849516546838977e-14	-2.4654178814430274	-1.4457130328996037	Linear model	all
postPost	0.09702762788325955	0.024318984156832996	3.9897895100193703	6.642460662020371e-5	0.04935971166959611	0.144695544096923	Linear model	all
treatment:postPost	1.1385478071445825	0.23112068844703654	4.926204637043955	8.467428788485652e-7	0.6855255287019999	1.591570085587165	Linear model	all
postPost	-0.10076569625746944	0.019511158400856047	-5.16451633405059	2.4473765093225225e-7	-0.13901053725659254	-0.06252085525834633	Linear model with fixed effect	all
treatment:postPost	0.43527641684305507	0.21875280165514815	1.9898095638072997	0.046633491549688044	0.006487620938103067	0.8640652127480071	Linear model with fixed effect	all
(Intercept)	14.338859144607897	0.02538158802166522	564.9315217144227	0	14.289108406526736	14.388609882689057	Linear model assets weighted	all
treatment	-3.026761475264925	0.3251168414644071	-9.309765257412192	1.4428840207755024e-20	-3.664026677570747	-2.3894962729591027	Linear model assets weighted	all
postPost	-0.061195106642032454	0.03280788578951744	-1.8652560251713968	0.06216369979278805	-0.12550221506714926	0.0031120017830843366	Linear model assets weighted	all
treatment:postPost	1.184815799501195	0.29910146443833047	3.961250412886171	7.487937465234718e-5	0.5985436322805762	1.7710879667218138	Linear model assets weighted	all
treatment	-0.09629093929141817	8013324.388855685	-1.2016353590443961e-8	0.999999990412337	-15705827.294884516	15705827.102302639	Linear model assets weighted with fixed effect	all
treatment:postPost	0.31950106642080833	0.3117798060244957	1.0247651074479982	0.3054740339828479	-0.2915761244940872	0.9305782573357039	Linear model assets weighted with fixed effect	all
(Intercept)	-75.20707996253309	17.14263763370146	-4.387135840442674	1.1558296269718975e-5	-108.8085587249006	-41.605601200165566	Event study	all
anio_fiscal	0.04364807354185729	0.00851142429412473	5.1281750308214225	2.9595804762055213e-7	0.026964734095057216	0.060331412988657365	Event study	all
treatment	-2.4777092676865777	0.29458881411180826	-8.410737777525346	4.412269440570164e-17	-3.0551361486905155	-1.90028238668264	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	0.8692310671543195	0.24197938684473128	3.5921698888842593	3.2891321141092486e-4	0.39492452216796753	1.3435376121406715	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	0.7199277609631037	0.20728507195372922	3.4731288373907026	5.157799635871515e-4	0.31362593671430256	1.1262295852119049	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	1.096800199299254	0.23372023104234996	4.692791010892482	2.717209747774887e-6	0.6386825194233219	1.554917879175186	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	2.048512465848162	0.27180136295719626	7.536799828964674	5.07220555063133e-14	1.5157515267127541	2.5812734049835697	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	1.795257282486619	0.28818851670861406	6.229454604889044	4.796901533946036e-10	1.2303756971286366	2.3601388678446016	Event study	all
anio_fiscal2013	0.10628971986720384	0.017527855851397402	6.064045754845133	1.3654027626786124e-9	0.07193245172238273	0.14064698801202496	Event study with fixed effects	all
