term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	11.496882661108868	0.25669160344414765	44.788697825912415	1.8146905913491586e-251	10.993229643565138	12.000535678652598	Linear model	all
treatment	0.5209780076956695	0.2809374582120992	1.854426999557841	0.06394197836996428	-0.030247652478200382	1.0722036678695392	Linear model	all
postPost	-0.4278772855561937	0.5290890050694623	-0.8087056836496141	0.418856976148245	-1.4659995707303033	0.610244999617916	Linear model	all
treatment:postPost	0.3919811432740024	0.5398013278777115	0.7261581678858026	0.46789421277138155	-0.6671597246464305	1.4511220111944352	Linear model	all
postPost	-0.737005306659319	0.7457826325718186	-0.9882307182694356	0.3233273146103056	-2.200844457942005	0.7268338446233669	Linear model with fixed effect	all
treatment:postPost	0.5236483389309482	0.7498896476373059	0.6983005307258457	0.48518462460751755	-0.9482521551414399	1.9955488330033364	Linear model with fixed effect	all
(Intercept)	11.644191052541702	0.3127855303753085	37.22739679987736	8.416649741782977e-198	11.030476485708128	12.257905619375276	Linear model assets weighted	all
treatment	1.5756764959487883	0.32388250003762215	4.864963360989735	1.309174396019653e-6	0.9401886331404931	2.2111643587570837	Linear model assets weighted	all
postPost	0.08781405073823555	0.5117267780112814	0.17160339171521646	0.8637804788373591	-0.9162419154297093	1.0918700169061804	Linear model assets weighted	all
treatment:postPost	-0.26638768539985325	0.52965064092968	-0.5029498027837197	0.6150988940409859	-1.3056119528435968	0.7728365820438903	Linear model assets weighted	all
treatment	0.2881059913907391	3793864.016274377	7.593998892813847e-8	0.9999999394086553	-7435836.546034266	7435837.12224625	Linear model assets weighted with fixed effect	all
treatment:postPost	-0.5007213841503517	0.4069671090963147	-1.2303731013108694	0.2185574213485554	-1.2983622608715115	0.29691949257080796	Linear model assets weighted with fixed effect	all
(Intercept)	261.82641597354717	322.04856614787934	0.8130028930273853	0.4163905837309787	-370.0655686310966	893.718400578191	Event study	all
anio_fiscal	-0.12437546377588493	0.1599517242893381	-0.77758126289968	0.4369814543077666	-0.43821698684515387	0.189466059293384	Event study	all
treatment	0.7200199219356099	0.27912893646816933	2.579524470110672	0.010021243364352781	0.17234060842342191	1.267699235447798	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.332200859749507	0.3396694893561033	-0.9780120680819634	0.3282812636659612	-0.9986668847536906	0.3342651652546766	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.16752654207261347	0.1732139938801376	-0.9671651713575763	0.33367195577037057	-0.5073899846067994	0.17233690046157246	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	-0.049108192732847854	0.18345583019063047	-0.2676840124504036	0.7889922428495553	-0.4090671579692262	0.31085077250353055	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	0.1378820021249932	0.34983488934949863	0.3941345083715871	0.6935573716144204	-0.5485295697666033	0.8242935740165898	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	0.5200866198783064	0.502184031250016	1.0356494581950924	0.3005910723460304	-0.4652494365400358	1.5054226762966487	Event study	all
anio_fiscal2013	0.17174965423052194	0.17086200337364293	1.005195133144599	0.31509834214869265	-0.1636269357623635	0.5071262442234074	Event study with fixed effects	all
anio_fiscal2014	-0.0854319864183434	0.18610382277489088	-0.4590555161334917	0.6463155144167938	-0.45072599113859513	0.2798620183019084	Event study with fixed effects	all
anio_fiscal2015	-0.4213635800156509	0.36636194506641145	-1.1501292251826787	0.25042473451726377	-1.1404773526128391	0.29775019258153745	Event study with fixed effects	all
anio_fiscal2016	-0.9582326952122311	1.148360261665097	-0.8344356097996763	0.4042776943844	-3.212292351754853	1.2958269613303908	Event study with fixed effects	all
anio_fiscal2017	-0.9691474739363897	1.3659526832092506	-0.70950296144916	0.4782133678858539	-3.6503085509521713	1.712013603079392	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.18552138147803515	0.20518068462433053	-0.9041854101311242	0.36616168482328704	-0.5882604163893433	0.21721765343327304	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.24607160770364553	0.1712096765908787	-1.437252920532385	0.1510262095562279	-0.5821306282880382	0.08998741288074716	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	0.08866236034575965	0.26166529882775175	0.33883881715673747	0.7348175887586582	-0.4249475348186675	0.6022722555101868	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	0.5755583374324322	1.0632423371194302	0.541323757847861	0.5884309454282741	-1.5114275477757197	2.662544222640584	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	0.7377498850557227	1.2806263200939294	0.5760852119622306	0.5647150850605196	-1.7759282868490123	3.2514280569604574	Event study with fixed effects	all
(Intercept)	-53.25538412635797	312.38655886190685	-0.17047911510783012	0.8646333576675984	-665.5217887500969	559.011020497381	Event study assets weighted	all
anio_fiscal	0.03224093070249623	0.15513568838868141	0.20782407347636783	0.835366335066551	-0.27181943125614794	0.3363012926611404	Event study assets weighted	all
treatment	1.6146259443606867	0.3021198319100146	5.344322926942438	9.075564560887884e-8	1.0224819548017634	2.20676993391961	Event study assets weighted	all
anio_fiscal::2012:treatment	-0.09990180372363078	0.32823656268722756	-0.3043591576323748	0.7608542801501692	-0.7432336449998204	0.5434300375525588	Event study assets weighted	all
anio_fiscal::2013:treatment	-0.056306287379926934	0.1784420516047448	-0.3155438243035183	0.752348782256246	-0.4060462818526644	0.2934337070928105	Event study assets weighted	all
anio_fiscal::2015:treatment	-0.3096313973073155	0.20052288693161868	-1.544119985729631	0.12255926802420257	-0.7026490337692854	0.08338623915465454	Event study assets weighted	all
anio_fiscal::2016:treatment	-0.30117885656680343	0.3479397629723483	-0.8656063164322467	0.38670609055097027	-0.983128260782009	0.3807705476484021	Event study assets weighted	all
anio_fiscal::2017:treatment	-0.32081316443539265	0.4951370044852519	-0.6479280714817759	0.5170314735577564	-1.2912638606395332	0.64963753176874806	Event study assets weighted	all
anio_fiscal::2012:treatment	0.12092056544822916	0.1897543661871639	0.6372478687998112	0.5239634017884717	-0.250991158187837	0.4928322890842953	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	-0.11269640294413133	0.16954331876275108	-0.6647056561505206	0.5062387754149029	-0.44499520153851735	0.21960239565025472	Event study assets weighted with fixed effects	all
anio_fiscal::2015:treatment	-0.2645167631990912	0.15904677746533646	-1.6631381497606352	0.09628478488905536	-0.5762427188883072	0.047209192490124896	Event study assets weighted with fixed effects	all
anio_fiscal::2016:treatment	-0.7754352045104185	0.6786576296254457	-1.1426014689297528	0.2532040953881084	-2.105579716409615	0.5547093073887781	Event study assets weighted with fixed effects	all
anio_fiscal::2017:treatment	-0.7626702574690265	0.6902769153449666	-1.1048757976903822	0.2692134108180848	-2.115588150904564	0.5902476359665114	Event study assets weighted with fixed effects	all
(Intercept)	10.424167091999102	0.6412498776181046	16.256014162091116	4.5957379322726155e-48	9.16430896875283	11.684025215245375	Linear model	treat_a
treatment	2.073348203576823	0.6579979527171889	3.1509949157364012	0.0017240911633922076	0.7805852811270075	3.366111126026639	Linear model	treat_a
postPost	-2.4600448478532484	1.6660500467440795	-1.4765731993830877	0.14041584240755783	-5.733319055595725	0.8132293598892284	Linear model	treat_a
treatment:postPost	2.22254481053789	1.672572589504815	1.3288181478544385	0.18451044873864708	-1.0635441809077149	5.508633801983495	Linear model	treat_a
postPost	-0.7256126567250967	0	-Inf	0	-0.7256126567250967	-0.7256126567250967	Linear model with fixed effect	treat_a
treatment:postPost	0.4970117106345999	0.11312084544088263	4.393635043103882	1.4412169595388977e-5	0.2746033713841841	0.7194200498850157	Linear model with fixed effect	treat_a
(Intercept)	9.669246151924986	0.19855310184362576	48.69853989760474	1.6093018929260633e-192	9.279150579224678	10.059341724625293	Linear model assets weighted	treat_a
treatment	3.6628981199439465	0.2317283737931626	15.80686067910439	5.494335958834938e-46	3.207623375573809	4.118172864314085	Linear model assets weighted	treat_a
postPost	-1.235364453769528	0.6244834223693186	-1.9782181712406375	0.04844929803757732	-2.46228166649011	-0.008447241048945786	Linear model assets weighted	treat_a
treatment:postPost	1.0964347643691532	0.6560941070497575	1.6711547209278634	0.09531311263960036	-0.19258768886072253	2.385457217599029	Linear model assets weighted	treat_a
treatment:postPost	0.5165816933038454	0.1904137809111254	2.712942786136667	0.006668861964400185	NA	NA	Linear model assets weighted with fixed effect	treat_a
(Intercept)	1061.6404232795276	764.3087773481603	1.389020321031752	0.1654461429549336	-440.0194953662683	2563.3003419253237	Event study	treat_a
anio_fiscal	-0.522372160544195	0.37957287367048925	-1.3762104638638406	0.1693737508322685	-1.268130141466262	0.22338582037787214	Event study	treat_a
treatment	2.9384313270077214	0.6736859299108664	4.361722868988072	1.5685908470563127e-5	1.6148207802169703	4.262041873798473	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	-1.0062483332649788	0.7738553566566975	-1.300305444175373	0.1940965434149662	-2.526664696861652	0.5141680303316949	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	-0.6239233802147115	0.3916763923769658	-1.5929563087228946	0.11180320151611921	-1.3934615000737622	0.14561473964433935	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	0.3008668279622237	0.3976885185354842	0.7565388839239987	0.44968319490104147	-0.4804834928627942	1.0822171487872416	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	0.7003834882949487	0.7834386526859268	0.8939863841205264	0.37176014491192666	-0.8388614586728875	2.2396284352627847	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	1.3322589166726604	1.1573888372187897	1.151090172836023	0.2502464029029953	-0.9416969486121611	3.606214781957482	Event study	treat_a
anio_fiscal2013	-0.1732270300540835	0.07986439145817413	-2.169014586992808	0.030702760567476596	-0.3302598284783977	-0.016194231629769296	Event study with fixed effects	treat_a
anio_fiscal2014	-0.43164625365402404	0.2704756009000586	-1.5958787122300113	0.11134933995627776	-0.9634670030436694	0.10017449573562137	Event study with fixed effects	treat_a
anio_fiscal2015	-0.6069511564354637	0.10933928799834776	-5.551080197674558	5.34618378031931e-8	-0.8219387630347655	-0.3919635498361619	Event study with fixed effects	treat_a
anio_fiscal2016	-1.087380048723962	0.10933928799835751	-9.945007587211437	7.36802329497794e-21	-1.302367655323283	-0.872392442124641	Event study with fixed effects	treat_a
anio_fiscal2017	-1.0873800487239467	0.10933928799836229	-9.945007587210863	7.36802329501157e-21	-1.302367655323277	-0.8723924421246163	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	-0.602848377895967	0.2898956324585858	-2.0795359101592856	0.03823987533696701	-1.1728536278551949	-0.03284312793673905	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	-0.349482002384309	0.24222104095764488	-1.442822642502886	0.14989637632130623	-0.8257474218578877	0.12678341708926977	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	-0.07487082340876375	0.19561227690913977	-0.38275114727865783	0.7021188511187872	-0.45949208813449816	0.3097504413169707	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	0.2463436617603184	0.21502029305670411	1.145676337141601	0.25265198471367156	-0.17643847831763626	0.6691258018382731	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	0.3798318215485728	0.22289105571605888	1.7041142379102054	0.0891793696677529	-0.05842615029327086	0.8180897933904165	Event study with fixed effects	treat_a
(Intercept)	556.469782141794	179.99895790578842	3.0915166877413296	0.001991367887393975	203.67830739170756	909.2612568918804	Event study assets weighted	treat_a
anio_fiscal	-0.27173776496015023	0.08941306509471124	-3.039128170724386	0.002372638881083032	-0.44698415229311966	-0.0964913776271808	Event study assets weighted	treat_a
treatment	4.242406913675239	0.2281915788462649	18.591426270525936	3.770178544936747e-77	3.795159637561228	4.68965418978925	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	-0.7162014490604349	0.23921963577289135	-2.9939074472146476	0.0027542948059145716	-1.1850633195700915	-0.24733957855077843	Event study assets weighted	treat_a
anio_fiscal::2013:treatment	-0.4338196252545359	0.16011622954415478	-2.7094044525630223	0.006740411636013461	-0.7476416685014273	-0.11999758200764443	Event study assets weighted	treat_a
anio_fiscal::2015:treatment	0.12303506600592584	0.17688586783647794	0.6955618756364729	0.48670324868119	-0.22365486432768278	0.46972499633953446	Event study assets weighted	treat_a
anio_fiscal::2016:treatment	0.21747981139355943	0.28796498427855183	0.7552300566626834	0.4501109572055951	-0.3469211866010449	0.7818808093881637	Event study assets weighted	treat_a
anio_fiscal::2017:treatment	0.5283851780302484	0.3579924767521492	1.4759672684296885	0.13995267933261668	-0.17326718314025635	1.2300375392007532	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	-0.28753568660484324	0.19176569121949447	-1.4994115202584946	0.13376690679069658	-0.6633895348654812	0.0883181616557947	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2013:treatment	-0.2278709820075393	0.1599859075685213	-1.4243190882918428	0.15435412432409854	-0.541437598875795	0.08569563486071641	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2015:treatment	0.10815191744259262	0.16992355932646802	0.6364739408194965	0.5244675607141309	-0.22489213896213983	0.44119597384732506	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2016:treatment	0.39652645551821647	0.21277918481497546	1.8635584860568974	0.06238373207929488	-0.02051308337892732	0.8135659944153603	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2017:treatment	0.5343038945561287	0.2246020974932235	2.378890938773398	0.017364812751397268	0.09409187261725682	0.9745159164950006	Event study assets weighted with fixed effects	treat_a
(Intercept)	11.661779723583637	0.13166569296610414	88.57113391402444	7.653951295e-314	11.403111805214996	11.920447641952277	Linear model	treat_b
treatment	0.8357355719923089	0.1977034487041799	4.227217974547347	2.7994654468152913e-5	0.4473311336108028	1.224140010373815	Linear model	treat_b
postPost	0.21415963543217187	0.2856443162197217	0.7497423308343976	0.4537522551175922	-0.3470117601371391	0.7753310310014828	Linear model	treat_b
treatment:postPost	-0.45165967274754265	0.32149630810138946	-1.4048673697525134	0.16066359064328858	-1.0832652102750615	0.17994586477997626	Linear model	treat_b
postPost	0.41259525270549663	0.29890569703781195	1.3803525887741872	0.16825876164351858	-0.17504972076923048	1.0002402261802237	Linear model with fixed effect	treat_b
treatment:postPost	-0.6411961987959982	0.3195931315666496	-2.006289045239634	0.04550666258768354	-1.2695124175344819	-0.012879980057514673	Linear model with fixed effect	treat_b
(Intercept)	11.655699658869198	0.12893321743657535	90.40106103458446	3.85387e-318	11.402399910000858	11.908999407737538	Linear model assets weighted	treat_b
treatment	1.6764446129997175	0.17576264956066076	9.53811641546248	5.769126913609902e-20	1.3311446516763286	2.0217445743231064	Linear model assets weighted	treat_b
postPost	0.6938776912155891	0.2829255744895146	2.4525096130583437	0.014517051891005328	0.13804748398541267	1.2497078984457655	Linear model assets weighted	treat_b
treatment:postPost	-0.8328073806159614	0.34714533272035475	-2.3990164986225957	0.0167936601947113	-1.5148025045035487	-0.15081225672837406	Linear model assets weighted	treat_b
treatment	6.615519337597633	79519734.20327571	8.319342869892434e-8	0.9999999336212477	-155855808.4830989	155855821.71413758	Linear model assets weighted with fixed effect	treat_b
treatment:postPost	-0.547021798443068	0.35571518338204927	-1.5378084040217912	0.12409546814921386	-1.244210746625945	0.15016714973980916	Linear model assets weighted with fixed effect	treat_b
(Intercept)	-141.10497169727063	154.23108520582386	-0.9148932039800134	0.3606792050891283	-444.1100179113401	161.90007451679884	Event study	treat_b
anio_fiscal	0.07588383917605931	0.07663146995764655	0.9902438152106381	0.32252361516962813	-0.07466766647522802	0.22643534482734665	Event study	treat_b
treatment	0.796242867213139	0.2184637675921544	3.644736497905816	2.9504801690237713e-4	0.36704518694640575	1.2254405474798722	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2012	0.19026366617532234	0.21453608629214543	0.8868608981531898	0.3755709893353437	-0.23121762376558816	0.6117449561162328	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2013	-0.025667380494443063	0.12329462486501314	-0.20817923346248488	0.8351719697528596	-0.26789412392501427	0.21655936293612815	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2015	-0.29738917175802426	0.14122484009565062	-2.1057851547688395	0.0357102733447	-0.5748419248307968	-0.019936418685251756	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2016	-0.49612851114555684	0.2468617357877299	-2.0097424558829364	0.04498362200505148	-0.9811173288085087	-0.011139693482604962	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2017	-0.4625090824880991	0.30934497354443785	-1.4951239620567456	0.13549937327679323	-1.0702535451548447	0.14523538017864657	Event study	treat_b
anio_fiscal2013	0.31759266229737004	0.3029126818723164	1.0484627462089604	0.29507978907636007	-0.27796783100109457	0.9131531555958347	Event study with fixed effects	treat_b
anio_fiscal2014	0.28975201359427155	0.17727092947068848	1.634515114573152	0.1029638684261021	-0.05878262533359846	0.6382866525221416	Event study with fixed effects	treat_b
anio_fiscal2015	0.20907083867222626	0.15347911014126633	1.3622103912369037	0.1739237961794457	-0.09268640035044168	0.5108280776948941	Event study with fixed effects	treat_b
anio_fiscal2016	0.9085150674029819	0.24914617442545767	3.6465142180009735	3.021698720322212e-4	0.4186655912202825	1.3983645435856813	Event study with fixed effects	treat_b
anio_fiscal2017	1.452186018296781	0.1799014799206744	8.072118244592021	8.816111032260827e-15	1.0984794205259976	1.8058926160675643	Event study with fixed effects	treat_b
i(anio_fiscal, treatment, ref = 2014)2012	0.1185498893523301	0.20567534882288657	0.5763932820866009	0.5646844553421813	-0.2858310413078293	0.5229308200124895	Event study with fixed effects	treat_b
i(anio_fiscal, treatment, ref = 2014)2013	-0.11890342748746639	0.2038693511406078	-0.5832334621277095	0.5600758630450524	-0.5197335630343093	0.2819267080593765	Event study with fixed effects	treat_b
