term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	12.360010721649433	0.02751412608186134	449.2241797858794	0	12.306081326621381	12.413940116677484	Linear model	all
treatment	0.6161672536727096	0.06470454424758729	9.522781758804914	1.838657897443024e-21	0.4893423304875749	0.7429921768578444	Linear model	all
postPost	0.1741422369153356	0.021438212311254694	8.12298312877114	4.764054626233307e-16	0.13212201003300394	0.21616246379766724	Linear model	all
treatment:postPost	-0.26096272493380085	0.06398599868715421	-4.078434818368969	4.5485022183037446e-5	-0.3863792542176008	-0.1355461956500009	Linear model	all
postPost	-0.07641952870870207	0.016568304401957574	-4.612392846891018	4.006692211086936e-6	-0.10889488802607376	-0.043944169391330376	Linear model with fixed effect	all
treatment:postPost	-0.1108442907361418	0.05315041981096565	-2.0854828829267897	0.03703886978555456	-0.21502386997095602	-0.0066647115013275665	Linear model with fixed effect	all
(Intercept)	13.974532574967617	0.026995328831505596	517.6648398021467	0	13.921620054754003	14.02744509518123	Linear model assets weighted	all
treatment	0.1835842853699844	0.052494723498605025	3.497195015702157	4.710214431613741e-4	0.08069136876337808	0.2864772019765907	Linear model assets weighted	all
postPost	0.03267955305920053	0.02795396789710315	1.1690488155202858	0.24239548585688314	-0.02211195922939771	0.08747106534779878	Linear model assets weighted	all
treatment:postPost	-0.2257579220783991	0.08153392786421058	-2.7688831875533353	0.005629162801617216	-0.38556948181666895	-0.06594636234012927	Linear model assets weighted	all
treatment	0.09206824365256952	4494974.663714308	2.0482483337623812e-8	0.9999999836573428	-8809988.36023184	8809988.544368327	Linear model assets weighted with fixed effect	all
treatment:postPost	-0.14600465394594073	0.0790111670999169	-1.8478989654880607	0.06461696022788187	-0.30086369583825384	0.008854387946372388	Linear model assets weighted with fixed effect	all
(Intercept)	-125.86683319790488	15.207067915327036	-8.276864014728645	1.3292307982632082e-16	-155.67363051987513	-96.06003587593462	Event study	all
anio_fiscal	0.06866047900100788	0.0075504852747515835	9.093518694832083	1.0306651494582565e-19	0.05386105905232664	0.08345989894968912	Event study	all
treatment	0.5880191392897506	0.0628566454113762	9.354923977271735	9.069881594784896e-21	0.46481621150986563	0.7112220670696355	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	0.09091183918561231	0.05530870657640961	1.643716601110832	0.10024775499758556	-0.01749665982567862	0.19932033819690326	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	0.026292310369852787	0.040398948180410135	0.6508167057330022	0.5151709985595947	-0.05289213643731913	0.1054767571770247	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	-0.26623338918396766	0.048248434719109064	-5.5179694581578715	3.4645397647096274e-8	-0.3608033169821674	-0.17166346138576793	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	-0.23032670144482761	0.07834177797994024	-2.9400239231716667	0.0032849745266413342	-0.3838814505320815	-0.07677195235757373	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	-0.2108300888048852	0.08453553179234302	-2.4939819308498343	0.012638522897154864	-0.3765249799350636	-0.045135197674706806	Event study	all
anio_fiscal2013	0.092990339523016	0.014557847653210106	6.387643402938825	1.7239196193919966e-10	0.06445565457436833	0.12152502447166366	Event study with fixed effects	all
anio_fiscal2014	0.1729463361572855	0.018808333427507075	9.195197268480605	4.122393469664086e-20	0.13608031849122693	0.20981235382334407	Event study with fixed effects	all
anio_fiscal2015	0.07171015832713071	0.023867460218650192	3.0045156740680734	0.0026635272874136143	0.024927799142777783	0.11849251751148362	Event study with fixed effects	all
anio_fiscal2016	0.0038684459912939977	0.02731425048388267	0.14162738946751086	0.8873758412312625	-0.04966993074767229	0.057406822730260286	Event study with fixed effects	all
anio_fiscal2017	-0.04253712754933466	0.0296485394103015	-1.4347124140137228	0.15138561572826195	-0.10065091960251402	0.015576664503844699	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.028762115932466557	0.04744859733854174	-0.6061742084228811	0.5444063594911468	-0.1217656153894745	0.0642413835245414	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.018904038364379774	0.0368495135652036	-0.5130064561348933	0.607952802044831	-0.09113238455552448	0.053324307826764936	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	-0.11719940967025906	0.04250796357046511	-2.7571165453733992	0.005836953680300479	-0.20051882454436304	-0.03387999479615507	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	-0.15869157332178901	0.06212696802908109	-2.5543106054605285	0.010647602263743073	-0.2804659936725629	-0.03691715297101511	Event study with fixed effects	all
