term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	12.671662743823672	0.030541884994752033	414.89458643436797	0	12.611797779110516	12.731527708536829	Linear model	all
treatment	0.6160917799249633	0.07023859502663048	8.77141377459752	1.9169581614438394e-18	0.4784175331162448	0.7537660267336819	Linear model	all
postPost	0.09702762788331037	0.02431835425499749	3.9898928548329264	6.636120616806325e-5	0.049361368266144075	0.14469388750047668	Linear model	all
treatment:postPost	-0.1979775247360106	0.07471241118652068	-2.6498612692576162	0.008059423699224235	-0.34442087163763435	-0.05153417783438688	Linear model	all
postPost	-0.10076569625747137	0.019511015774722487	-5.164554086826092	2.442400134364728e-7	-0.1390098120095427	-0.06252158050540002	Linear model with fixed effect	all
treatment:postPost	-0.07783312321012283	0.06503724364137796	-1.1967469537808622	0.23142498155089666	-0.2053145369271338	0.04964829050688817	Linear model with fixed effect	all
(Intercept)	14.33885914460716	0.025380930596623056	564.9461547526926	0	14.289110135506542	14.388608153707777	Linear model assets weighted	all
treatment	0.1339430221975066	0.04679073537618659	2.862597074413043	0.0042066271137213415	0.04222878377772962	0.22565726061728356	Linear model assets weighted	all
postPost	-0.061195106642031774	0.03280703601109728	-1.8653043396340947	0.06215479079389742	-0.12549998021106962	0.003109766927006069	Linear model assets weighted	all
treatment:postPost	-0.1216608367455531	0.09538794358512234	-1.275432011352518	0.2021726081251502	-0.30863017009761073	0.06530849660650452	Linear model assets weighted	all
treatment	0.039723120274072835	19366492.916070327	2.051126161366603e-9	0.9999999983634381	-37957628.5826248	37957628.66207104	Linear model assets weighted with fixed effect	all
treatment:postPost	-0.07166668259691915	0.09529447288850607	-0.7520549767956503	0.45201799802490034	-0.2584404173841196	0.11510705219028132	Linear model assets weighted with fixed effect	all
(Intercept)	-75.20707995683284	17.1419430144229	-4.387313613955842	1.154025910377737e-5	-108.80689963951994	-41.60726027414575	Event study	all
anio_fiscal	0.04364807353900842	0.008511079413429577	5.128382831223077	2.952311933341474e-7	0.026965557831445178	0.060330589246571656	Event study	all
treatment	0.6330117126883683	0.06842709680898468	9.250892441855754	2.46620242995602e-20	0.49888817066881963	0.767135254707917	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.001951023115644589	0.06163999801604211	-0.03165190101298877	0.9747499992592097	-0.12277121350115848	0.1188691672698693	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.014637917860305898	0.048990389154087044	-0.29879162246019275	0.7651024459863572	-0.11066368578970713	0.08138785006909534	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	-0.24479868282856493	0.05523590445857935	-4.43187606373199	9.396105332419288e-6	-0.3530662478447866	-0.13653111781234328	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	-0.20899124778368047	0.08993464842762365	-2.3238123619493494	0.020146479771844642	-0.3852716127254807	-0.0327108828418802	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	-0.2202218038956665	0.09747158811193661	-2.25934354986361	0.023873769281236547	-0.4112752791050212	-0.029168328686311806	Event study	all
anio_fiscal2013	0.1062897198671939	0.017527214919934177	6.064267503578548	1.3588682059662184e-9	0.07193410888702516	0.14064533084736264	Event study with fixed effects	all
anio_fiscal2014	0.2153018247101103	0.022523414130565203	9.55902260030538	1.3785899487160766e-21	0.17115301627992077	0.2594506331402998	Event study with fixed effects	all
anio_fiscal2015	0.08559022162961206	0.028775609181230285	2.974401726495533	0.0029404945322596353	0.029186301254141914	0.1419941420050822	Event study with fixed effects	all
anio_fiscal2016	-0.0010985403702544387	0.03228484897650136	-0.0340264986543383	0.972856493842297	-0.06438102518355443	0.062183944443045557	Event study with fixed effects	all
anio_fiscal2017	-0.06447827051710066	0.034331218484744505	-1.8781235669148288	0.06038454612206273	-0.13177190456706128	0.0028153635328599658	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.017291027858193253	0.05509450227696273	-0.3138430722410454	0.7536447960098882	-0.1252833869420437	0.09070133122565718	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.02580377652162595	0.0450850898118451	-0.5723350364680118	0.5671039937666393	-0.11417639097619535	0.06256883793294345	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	-0.07824502207316135	0.04999662272475488	-1.5650061505938442	0.11760354217883524	-0.17624487707011222	0.019754832923789503	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	-0.12129821851450678	0.0753459921683679	-1.6098828222137442	0.10744545989963734	-0.26898612031043057	0.02638968328141697	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	-0.09442400586865193	0.08130180045162085	-1.16140116632275	0.24549813430001743	-0.25378606316427177	0.0649380514269679	Event study with fixed effects	all
(Intercept)	7.304347353099047	21.703732918000686	0.33654797452105356	0.7364576806893515	-35.2341874962587	49.84288220245679	Event study assets weighted	all
anio_fiscal	0.0034773882883778473	0.010774382957675388	0.32274593376139904	0.7468876620063243	-0.017640014264308054	0.024594790841063748	Event study assets weighted	all
treatment	0.32308881457763405	0.03348379012975727	9.649111206514906	4.9583598542495025e-22	0.2574617918574121	0.388715837297856	Event study assets weighted	all
anio_fiscal::2012:treatment	-0.3069557472168558	0.06945641538681221	-4.419400936650381	9.897487725663516e-6	-0.44308781987026136	-0.17082367456345027	Event study assets weighted	all
anio_fiscal::2013:treatment	-0.18660806312346878	0.06636392819167015	-2.811889956009135	0.004925135005279222	-0.3166789722517446	-0.05653715399519296	Event study assets weighted	all
anio_fiscal::2015:treatment	-0.25838071255974526	0.07009228317688365	-3.6862932814971976	2.2754411032665495e-4	-0.39575906318061993	-0.12100236193887062	Event study assets weighted	all
anio_fiscal::2016:treatment	-0.3983806091272619	0.10172528773056978	-3.9162396884284587	8.994083093684466e-5	-0.5977585093961529	-0.19900270885837093	Event study assets weighted	all
anio_fiscal::2017:treatment	-0.41340890567580146	0.11194012168948181	-3.693125390935201	2.2151472879033127e-4	-0.6328075126122167	-0.19401029873938622	Event study assets weighted	all
anio_fiscal::2012:treatment	0.017946820961695663	0.07831746782898615	0.22915476533133455	0.8187486291439054	-0.13555259534349148	0.17144623726688282	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	0.009330667192598847	0.07347832025447856	0.12698530886775594	0.8989520262376304	-0.1346841941506791	0.15334552853587677	Event study assets weighted with fixed effects	all
anio_fiscal::2015:treatment	0.007721874509892458	0.07995570725481627	0.0965769020750838	0.9230624002065568	-0.1489884320679753	0.1644321810877602	Event study assets weighted with fixed effects	all
anio_fiscal::2016:treatment	-0.12840545344384047	0.1026264754768599	-1.2511922761372936	0.21086433553330164	-0.3295496492387689	0.07273874235108796	Event study assets weighted with fixed effects	all
anio_fiscal::2017:treatment	-0.09640165897838618	0.10820385672747745	-0.8909262746630526	0.37296872347039567	-0.308477321152574	0.11567400319580162	Event study assets weighted with fixed effects	all
(Intercept)	12.527421819063392	0.0613197822983912	204.29658014934057	0	12.407208298675547	12.647635339451236	Linear model	treat_a
treatment	0.844299843472896	0.09851186095049025	8.570539987029798	1.3534063829654638e-17	0.6511736261098078	1.0374260608359842	Linear model	treat_a
postPost	0.045499658410768286	0.047258495167529	0.9627826330371771	0.3357029452160567	-0.04714760580611215	0.13814692262764872	Linear model	treat_a
treatment:postPost	-0.25283636695640466	0.09666456114444956	-2.61560559488375	0.008933568917204737	-0.44234107092573505	-0.0633316629870743	Linear model	treat_a
postPost	-0.1224359642977765	0.03771083896157102	-3.24670486441694	0.0011772700942457495	-0.19637056301702988	-0.04850136557852314	Linear model with fixed effect	treat_a
treatment:postPost	-0.02621906723547732	0.08067533736951363	-0.3249948260567824	0.7452022425995435	-0.18438841215600965	0.13195027768505502	Linear model with fixed effect	treat_a
(Intercept)	14.226484321853718	0.049905887762977455	285.06625088848926	0	14.128647013383274	14.324321630324162	Linear model assets weighted	treat_a
treatment	0.2405868611419369	0.06765333058024062	3.556171722493211	3.7976480805582645e-4	0.10795682349050234	0.37321689879337144	Linear model assets weighted	treat_a
postPost	-0.06439811489657922	0.06044542314484829	-1.0653927385413269	0.2867494291864814	-0.1828975099566592	0.054101280163500756	Linear model assets weighted	treat_a
treatment:postPost	-0.12131357542317157	0.10284788529145639	-1.1795437026185422	0.23823758594153535	-0.32294029182551676	0.08031314097917362	Linear model assets weighted	treat_a
treatment	0.04695579674714505	5082529.036422784	9.238667681118406e-9	0.9999999926286097	-9961573.814811924	9961573.908723516	Linear model assets weighted with fixed effect	treat_a
treatment:postPost	-0.015147874399149051	0.09258053632823644	-0.16361834787220875	0.8700315998505227	-0.19660239127189452	0.16630664247359642	Linear model assets weighted with fixed effect	treat_a
(Intercept)	-30.14649293605273	33.50950563931134	-0.8996400382787705	0.3683549860091384	-95.83975311302297	35.5467672409175	Event study	treat_a
anio_fiscal	0.021195203007230216	0.016639534105864384	1.2737858447467136	0.20279828289945512	-0.011425548101605992	0.05381595411606642	Event study	treat_a
treatment	0.8789496800277787	0.09489457586883318	9.262380615333544	2.896615434946869e-20	0.692914883542413	1.0649844765131444	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	-0.055068465983114795	0.07869490244786578	-0.6997717040134441	0.4841023067738456	-0.20934483033043383	0.09920789836420424	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	-0.03548726188763677	0.05561441761974762	-0.6380946417577142	0.5234411741257134	-0.14451579980789483	0.07354127603262128	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	-0.2836515391531268	0.06213857647728101	-4.564821971047807	5.1185415454693406e-6	-0.4054702766626329	-0.16183280164362068	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	-0.27989269349336493	0.11297036225690588	-2.4775763120672396	0.013260469377095978	-0.5013639225801696	-0.058421464406560236	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	-0.3259168292955887	0.13454976792105597	-2.4222771568570303	0.01545875334111365	-0.5896931143273647	-0.062140544263812714	Event study	treat_a
anio_fiscal2013	0.10499036343456272	0.03567408898162602	2.943042595667632	0.0032690452445328657	0.03504890428960712	0.17493182257951834	Event study with fixed effects	treat_a
anio_fiscal2014	0.2050257490781871	0.04124004685012607	4.971520760470725	6.926284602803639e-7	0.12417185387739431	0.2858796442789799	Event study with fixed effects	treat_a
anio_fiscal2015	0.09843832060341008	0.05271569668308245	1.8673436338175335	0.06192796555969849	-0.0049143606032966275	0.20179100181011678	Event study with fixed effects	treat_a
anio_fiscal2016	-0.028643694652271488	0.057684160151345726	-0.4965608336347297	0.6195265369820226	-0.14173738381737963	0.08444999451283666	Event study with fixed effects	treat_a
anio_fiscal2017	-0.16262983390075736	0.06702891508510217	-2.4262638548494637	0.01529985860298928	-0.2940445458046824	-0.031215121996832296	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	-0.022478070017050284	0.07413914998619321	-0.3031875874114598	0.7617629475468588	-0.16783287732472432	0.12287673729062375	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	-0.016383766615470682	0.053511652517585724	-0.3061719428321977	0.7594899433804875	-0.12129697295594528	0.08852943972500392	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	-0.06727083161306972	0.05753447649320391	-1.1692264484411514	0.24238328239874854	-0.18007105586402167	0.045529392637882235	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	-0.06838812933424498	0.09354016489291231	-0.7311097795533913	0.4647556656360886	-0.2517799357694331	0.11500367710094311	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	0.013154320744773393	0.11354938143781808	0.11584669663724204	0.9077799568424815	-0.20946690517801247	0.2357755466675593	Event study with fixed effects	treat_a
(Intercept)	30.03515860688458	40.69599258717639	0.7380372537306997	0.46049181124145094	-49.72752117909015	109.7978383928593	Event study assets weighted	treat_a
anio_fiscal	-0.007863081150732532	0.02020743224345616	-0.38911827371232977	0.6971886561953087	-0.04746892056794002	0.031742758266474956	Event study assets weighted	treat_a
treatment	0.37802158199895874	0.059278607835148905	6.377032049238057	1.8055268861384216e-10	0.26183764558839306	0.4942055184095244	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	-0.22597672423129467	0.0709451931842805	-3.185229528437804	0.0014463923851221069	-0.3650267477487209	-0.0869267007138684	Event study assets weighted	treat_a
anio_fiscal::2013:treatment	-0.1451346160279714	0.056581486602490155	-2.565054839361255	0.010315949924481642	-0.25603229196058763	-0.034236940095355134	Event study assets weighted	treat_a
anio_fiscal::2015:treatment	-0.21865359263308992	0.06386835077479142	-3.423504599392155	6.181920564584546e-4	-0.34383325990365193	-0.09347392536252791	Event study assets weighted	treat_a
anio_fiscal::2016:treatment	-0.3320358169254245	0.10196563714806697	-3.2563501412075384	0.0011285448668060581	-0.5318847933963151	-0.13218684045453385	Event study assets weighted	treat_a
anio_fiscal::2017:treatment	-0.3241859818958517	0.14250026059308757	-2.2749851863188617	0.022906818496426513	-0.6034813604458755	-0.044890603345827784	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	0.08311716705153768	0.08980923547806953	0.9254857432990177	0.35471329619457853	-0.09290569996455542	0.25914003406763075	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2013:treatment	0.015314668903771353	0.06674803762191663	0.22943998729249238	0.8185269596095192	-0.11550908087390975	0.14613841868145244	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2015:treatment	0.042077661201841865	0.08070271511328349	0.5213908992129557	0.6020944899791929	-0.11609675387479004	0.20025207627847377	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2016:treatment	-0.08321457364808582	0.09340967070056942	-0.8908560861416092	0.37300638163872896	-0.2662941640289482	0.09986501673277653	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2017:treatment	0.08098143081296574	0.14208369010823635	0.5699558531403274	0.5687076410163079	-0.19749748458972735	0.3594603462156588	Event study assets weighted with fixed effects	treat_a
(Intercept)	12.376814523662793	0.11191677501977694	110.58944936070283	0	12.157370087114906	12.59625896021068	Linear model	treat_b
treatment	0.9949071388736571	0.13592768320857868	7.319385686482931	3.2098181841942013e-13	0.7283825374660927	1.2614317402812216	Linear model	treat_b
postPost	0.14557179022087355	0.08959992595482284	1.6246865013512652	0.10433804414081263	-0.03011416268845471	0.32125774313020183	Linear model	treat_b
treatment:postPost	-0.3529084987665123	0.1230714967675932	-2.867507977358402	0.004167044597031288	-0.5942249167788878	-0.11159208075413679	Linear model	treat_b
postPost	-0.10921777584133624	0.06551949176985397	-1.666950901038402	0.09566229899544931	-0.2377022179718541	0.01926666628918161	Linear model with fixed effect	treat_b
treatment:postPost	-0.03943725569191084	0.09685395040931498	-0.4071827274493694	0.6839122291179551	-0.2293689149634707	0.15049440357964902	Linear model with fixed effect	treat_b
(Intercept)	14.265335849619234	0.09040778764260603	157.7887947663535	0	14.088065855775444	14.442605843463024	Linear model assets weighted	treat_b
treatment	0.20173533337644833	0.10130263937560159	1.9914124115608742	0.046529224500596926	0.0031029066051778686	0.4003677601477188	Linear model assets weighted	treat_b
postPost	-0.06180254058313596	0.1431941324484909	-0.431599671902529	0.6660644801823904	-0.3425750673698455	0.2189699862035736	Linear model assets weighted	treat_b
treatment:postPost	-0.12390914973661656	0.1656386682154833	-0.7480689809424221	0.4544792093820469	-0.4486905259929088	0.20087222651967573	Linear model assets weighted	treat_b
treatment:postPost	0.008692115761029332	0.1539951766762519	0.05644407798111102	0.9549880437513486	NA	NA	Linear model assets weighted with fixed effect	treat_b
(Intercept)	-107.20939925804626	61.814665456346425	-1.7343683487821775	0.0829591538361414	-228.41457383555712	13.995775319464585	Event study	treat_b
anio_fiscal	0.059399871592060616	0.030692220578294887	1.9353396552241444	0.05304586809386271	-7.809273478092335e-4	0.11958067053193047	Event study	treat_b
treatment	0.9976534721706899	0.1309847018275245	7.616564822084038	3.504448865070069e-14	0.7408208332688426	1.2544861110725372	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2012	0.02134087118607518	0.09413806195793267	0.22669758376385252	0.8206749058625298	-0.16324348512751724	0.20592522749966757	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2013	0.002717406697192165	0.06134188977755055	0.04429936389385026	0.9646688328335815	-0.11756075714166277	0.12299557053604711	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2015	-0.3218562077379513	0.06732277373538581	-4.780792440356318	1.833243415964704e-6	-0.4538615900109041	-0.18985082546499854	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2016	-0.35630203066302923	0.1242675095376585	-2.8672179235639557	0.00417089622499494	-0.5999637099203746	-0.11264035140568382	Event study	treat_b
i(anio_fiscal, treatment, ref = 2014)2017	-0.44053083505008184	0.155293538092964	-2.8367621760692003	0.004589029996197389	-0.7450278384126482	-0.13603383168751548	Event study	treat_b
anio_fiscal2013	0.13639318524799646	0.06444966658418436	2.1162744894861363	0.03443057261295938	0.010006442951502215	0.2627799275444907	Event study with fixed effects	treat_b
anio_fiscal2014	0.24347270188267733	0.08278146481458924	2.941149959450442	0.0033032093837359706	0.08113703414447929	0.4058083696208754	Event study with fixed effects	treat_b
anio_fiscal2015	0.10906782438537611	0.09037191314439083	1.2068774532980626	0.22760570346525058	-0.06815282395579227	0.2862884727265445	Event study with fixed effects	treat_b
anio_fiscal2016	-0.07860741778403077	0.13359143457556075	-0.5884166004637787	0.5563115217307522	-0.34058218211684843	0.18336734654878686	Event study with fixed effects	treat_b
anio_fiscal2017	0.020648260509951527	0.10774737573067132	0.19163585535080277	0.8480446773382757	-0.190645925035729	0.23194244605563205	Event study with fixed effects	treat_b
i(anio_fiscal, treatment, ref = 2014)2012	0.015968882787447063	0.10321911313951311	0.15470858353397385	0.8770648834500803	-0.18644531334181016	0.2183830789167043	Event study with fixed effects	treat_b
i(anio_fiscal, treatment, ref = 2014)2013	-0.009339635624415407	0.07540338115411209	-0.12386229213417804	0.9014353289334727	-0.15720677299371422	0.13852750174488343	Event study with fixed effects	treat_b
i(anio_fiscal, treatment, ref = 2014)2015	-0.039453382590536885	0.07887035767810276	-0.500230805996339	0.6169612949201666	-0.19411931181880138	0.11521254663772762	Event study with fixed effects	treat_b
i(anio_fiscal, treatment, ref = 2014)2016	0.020022546602010097	0.14417312293800683	0.138878496865325	0.8895585422251384	-0.2627030639493739	0.3027481571533941	Event study with fixed effects	treat_b
i(anio_fiscal, treatment, ref = 2014)2017	-0.13167682086143886	0.1278514993602945	-1.0299200362943288	0.30315780094700107	-0.3823954879745317	0.11904184625165395	Event study with fixed effects	treat_b
(Intercept)	-2.857706127219899	88.23607706778769	-0.032387048724122854	0.9741633906920152	-175.7972393171843	170.0818270627445	Event study assets weighted	treat_b
anio_fiscal	0.008485488074053027	0.0438109216411687	0.1936843087564562	0.8464230789827378	-0.07738234047214404	0.0943533166202501	Event study assets weighted	treat_b
