term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	10.061292049987962	0.03772986223796661	266.66654615726475	0	9.987336800724611	10.135247299251313	Linear model	all
treatment	0.026254464426390275	0.09453117161192895	0.2777334077077831	0.7812209120744548	-0.1590384559564979	0.21154738480927848	Linear model	all
postPost	0.024238543052169888	0.033249849886925115	0.7289820295309437	0.46602424753465654	-0.040935321640135934	0.0894124077444757	Linear model	all
treatment:postPost	0.00533154429767408	0.0786456456106039	0.06779198334860158	0.9459521457527869	-0.1488237581501754	0.15948684674552355	Linear model	all
postPost	-0.04388817815738097	0.025582994434959677	-1.7155215457267539	0.08627739068830602	-0.09403536167789081	0.006259005363128865	Linear model with fixed effect	all
treatment:postPost	0.05708522362272123	0.05698532986255679	1.0017529732723383	0.31648462277388795	-0.05461607865678767	0.16878652590223014	Linear model with fixed effect	all
(Intercept)	11.43420204575855	0.02378585184381882	480.7144230459811	0	11.38757880099407	11.480825290523029	Linear model assets weighted	all
treatment	-0.29447062738956087	0.075505168837105	-3.9000062105000044	9.661725865236512e-5	-0.44247020254837277	-0.14647105223074897	Linear model assets weighted	all
postPost	0.0026352431852242836	0.02111414318999999	0.12480938305241668	0.9006761623705065	-0.03875111843862629	0.044021604809074855	Linear model assets weighted	all
treatment:postPost	0.103677363114965	0.0664765801548398	1.559607351543592	0.1188741857476809	-0.026625048924568462	0.23397977515449847	Linear model assets weighted	all
treatment	-0.02406816609913648	3616515.943982563	-6.6550698163471236e-9	0.9999999946900225	-7088241.023788864	7088240.975652531	Linear model assets weighted with fixed effect	all
treatment:postPost	0.06661604486887478	0.060663509056123	1.098123829388847	0.2721504212247841	-0.05228224805694569	0.18551433779469523	Linear model assets weighted with fixed effect	all
(Intercept)	13.896912736459928	20.776053001600637	0.6688908973898592	0.5035755646847708	-26.82675073895952	54.62057621187938	Event study	all
anio_fiscal	-0.0018982686312017602	0.010314808784228751	-0.18403333216454731	0.8539898406682848	-0.022116584483104426	0.018320047220700908	Event study	all
treatment	-0.14336813953532665	0.10454552266158516	-1.3713465281474622	0.17028785752805964	-0.3482904451534451	0.06155416608279177	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	0.20345431851032295	0.100277036490996	2.0289223298755084	0.04248415957129996	0.00689877987855958	0.4000098571420863	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	0.29695623833350066	0.08488674832567349	3.4982637948883246	4.6967981417753087e-4	0.13056759020716863	0.4633448864598327	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	0.07866553929139539	0.09342877189580572	0.8419840879330547	0.39981053635651176	-0.10446654384842866	0.2617976224312194	Event study	all
