term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	0.6979039230078543	0.005366987788257821	130.03642835460988	0	0.6873843933890813	0.7084234526266273	Linear model	all
treatment	-0.011082217581552561	0.013280113912615582	-0.8344971778461098	0.40400755997885884	-0.037111818757482685	0.014947383594377563	Linear model	all
postPost	-0.07699783143308112	0.006021704043071565	-12.786717992504641	2.438302880689772e-37	-0.08880063340240305	-0.06519502946375919	Linear model	all
treatment:postPost	0.01200848468121969	0.014370360810927046	0.8356425311247986	0.40336272772321213	-0.01615804785938673	0.040175017221826106	Linear model	all
postPost	-0.08147864223552949	0.0059711483441194655	-13.645389050796513	3.067481110084464e-42	-0.09318245505156453	-0.06977482941949445	Linear model with fixed effect	all
treatment:postPost	0.011852961086106494	0.014283894503294472	0.8298129815627452	0.4066526000411622	-0.016144338246640674	0.039850260418853665	Linear model with fixed effect	all
(Intercept)	0.7806623483521694	0.007733584244361798	100.94444227737152	0	0.7655041866928808	0.795820510011458	Linear model assets weighted	all
treatment	-0.054561695098847555	0.017176121598479453	-3.1766015852890637	0.0014916333338022365	-0.08822764088060656	-0.020895749317088555	Linear model assets weighted	all
postPost	-0.07344696348687524	0.008498926122607317	-8.641911039973017	5.799344709094351e-18	-0.09010522853270508	-0.0567886984410454	Linear model assets weighted	all
treatment:postPost	0.01739606248538213	0.018574387210872487	0.9365618519678202	0.34899156495723793	-0.019010544744621927	0.05380266971538619	Linear model assets weighted	all
treatment:postPost	0.013899307112955351	0.01851176152271594	0.7508365476672435	0.45275103120133714	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	37.74540326593007	3.727676558024427	10.125718441069408	4.6468221788066435e-24	30.43899495612476	45.051811575735385	Event study	all
anio_fiscal	-0.01840944828667333	0.0018506479874248645	-9.947568857916446	2.809362737087143e-23	-0.022036798895925653	-0.014782097677421006	Event study	all
treatment	0.08458881212963165	0.015215635879354214	5.559334673906628	2.7312000001098966e-8	0.0547655035089922	0.1144121207502711	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.13890630510267363	0.018709469341435615	-7.4243850837094385	1.1633068342765877e-13	-0.17557767938648752	-0.10223493081885973	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.11974955559883937	0.01731406834927063	-6.916315286689042	4.728845892286993e-12	-0.15368588319982945	-0.0858132279978493	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	-0.08159004039007561	0.016697406922930726	-4.886389890757656	1.0323406896123645e-6	-0.11431768475376947	-0.04886239602638177	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	-0.12308638820096453	0.01836200406084302	-6.7033199531551295	2.0736524355060955e-11	-0.15907671541055587	-0.08709606099137318	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	-0.08034642230106352	0.019552983986087583	-4.109164225687083	3.981538176675648e-5	-0.11867112200439663	-0.04202172259773042	Event study	all
anio_fiscal2013	0.02567498431354892	0.00792322035081891	3.2404733399715764	0.0011949041348226234	0.010144991750499275	0.04120497687659857	Event study with fixed effects	all
anio_fiscal2014	0.0901993953711764	0.008841823278343559	10.201447431335055	2.185200296790088e-24	0.07286888534159196	0.10752990540076084	Event study with fixed effects	all
anio_fiscal2015	0.004565081915087319	0.009239118577816143	0.4941036178546775	0.6212374258964178	-0.013544151004048736	0.022674314834223372	Event study with fixed effects	all
anio_fiscal2016	-0.07308879649705036	0.009706129986489766	-7.530168728296932	5.241965720406155e-14	-0.09211340010921669	-0.054064192884884024	Event study with fixed effects	all
anio_fiscal2017	-0.05398175524137827	0.009571499469585095	-5.639843100123817	1.7207720436423612e-8	-0.07274247487282545	-0.03522103560993109	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.03030606566808277	0.020294719581523693	-1.4932980742278106	0.13537203686054292	-0.07008494726105344	0.009472815924887898	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.04358619272003653	0.018796451063711528	-2.318852243559112	0.020411221645641953	-0.08042837712312412	-0.006744008316948942	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2015	-0.0178005817118864	0.018191771882364247	-0.9784963128931338	0.32783856073638307	-0.053457558235657135	0.017856394811884335	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2016	-0.010819259657549946	0.019698163748041737	-0.5492521940592319	0.5828373880250266	-0.04942885562583632	0.027790336310736425	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2017	-0.011592955087430955	0.020397251756125452	-0.5683586801809956	0.5697966423878862	-0.05157280596290732	0.028386895788045416	Event study with fixed effects	all
(Intercept)	36.97599694474741	5.09427224245809	7.2583472545051375	3.918485386742502e-13	26.991406822087455	46.96058706740736	Event study assets weighted	all
anio_fiscal	-0.01798560559430767	0.002529094093145069	-7.11148139685921	1.1480393801287509e-12	-0.022942538930384993	-0.013028672258230348	Event study assets weighted	all
treatment	0.045659882436687615	0.019071565531248627	2.3941339457358244	0.016659663557859115	0.008280300866644809	0.08303946400673043	Event study assets weighted	all
anio_fiscal::2012:treatment	-0.16567009595718196	0.02468613510143756	-6.711058465670246	1.9321766601022366e-11	-0.2140540316734896	-0.11728616024087432	Event study assets weighted	all
anio_fiscal::2013:treatment	-0.10814497563947756	0.02136915616868388	-5.060797664905557	4.175060943764077e-7	-0.15002775211010988	-0.06626219916884524	Event study assets weighted	all
anio_fiscal::2015:treatment	-0.07488780901156578	0.021239950138667717	-3.525799661611783	4.222062229434807e-4	-0.11651734631678101	-0.03325827170635053	Event study assets weighted	all
anio_fiscal::2016:treatment	-0.13161068624514927	0.023179403785317035	-5.6779150777173095	1.3634637119765957e-8	-0.17704148284748206	-0.08617988964281649	Event study assets weighted	all
anio_fiscal::2017:treatment	-0.0718441783715078	0.023875481533784458	-3.0091195551321692	0.002620059914918241	-0.11863926229127647	-0.025049094451739147	Event study assets weighted	all
anio_fiscal::2012:treatment	-0.08111361821906159	0.026573156495061964	-3.052464551365389	0.0022697053743407146	-0.13319604790492964	-0.029031188533193537	Event study assets weighted with fixed effects	all
anio_fiscal::2013:treatment	-0.05636112711202787	0.023348840376778618	-2.4138726464583367	0.015783978241881037	-0.10212401333128858	-0.01059824089276716	Event study assets weighted with fixed effects	all
anio_fiscal::2015:treatment	-0.02704001562250808	0.023483320139780658	-1.1514562447540113	0.2495445862100892	-0.07306647733390226	0.018986446088886104	Event study assets weighted with fixed effects	all
anio_fiscal::2016:treatment	-0.03222760305681302	0.02556668724041594	-1.260531047834288	0.20747785489827228	-0.08233738925202799	0.017882183138401953	Event study assets weighted with fixed effects	all
anio_fiscal::2017:treatment	-0.03466619844561157	0.025570526612982758	-1.3557092104630621	0.17519170773424284	-0.08478350967278074	0.0154511127815576	Event study assets weighted with fixed effects	all
(Intercept)	0.725415070242683	0.012026158642293533	60.3197655892836	0	0.7018405161340016	0.7489896243513645	Linear model	treat_a
treatment	-0.03178929916657496	0.020138540501985217	-1.5785304383622654	0.11448499587397137	-0.07126633641970914	0.007687738086559218	Linear model	treat_a
postPost	-0.10668047698053439	0.014281018003160445	-7.470089104076865	8.896788598528286e-14	-0.1346751710184598	-0.07868578294260899	Linear model	treat_a
treatment:postPost	0.05124915034890238	0.021769543961807046	2.3541673835159336	0.018589300815204657	0.008574901046710826	0.09392339965109393	Linear model	treat_a
postPost	-0.10967426756901982	0.014234232488749726	-7.704965312018248	1.51027020625653e-14	-0.13757819455310052	-0.08177034058493912	Linear model with fixed effect	treat_a
treatment:postPost	0.05072980105965118	0.021673518990960615	2.3406351816153657	0.01928190144477368	0.008242347528886744	0.0932172545904156	Linear model with fixed effect	treat_a
(Intercept)	0.8064190908518126	0.017852754926810845	45.17056858494996	0	0.7714228173508948	0.8414153643527305	Linear model assets weighted	treat_a
treatment	-0.07262115921262433	0.026183937502159995	-2.7735003265507174	0.005559065342624721	-0.12394882499379703	-0.02129349343145162	Linear model assets weighted	treat_a
postPost	-0.13030827268384879	0.021496988161106883	-6.061699048595429	1.4105721446337662e-9	-0.17244823820828903	-0.08816830715940853	Linear model assets weighted	treat_a
treatment:postPost	0.08742583142726744	0.02949271782204935	2.964319258563079	0.003042854580519248	0.02961205291424939	0.14523960994028548	Linear model assets weighted	treat_a
treatment:postPost	0.08229326045088001	0.02948729664519602	2.790803831258874	0.005257732754014081	NA	NA	Linear model assets weighted with fixed effect	treat_a
(Intercept)	60.11825862565403	8.645912115110239	6.953373782343553	3.859508610719185e-12	43.16990913272217	77.06660811858589	Event study	treat_a
anio_fiscal	-0.0295089794967334	0.00429231203303601	-6.874844901679084	6.692525892940617e-12	-0.03792308358431394	-0.021094875409152856	Event study	treat_a
treatment	0.07130911470340252	0.02181384764733194	3.2689838058956266	0.0010840983736071143	0.028548014568412647	0.1140702148383924	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	-0.1693133596625363	0.025457968727654632	-6.650701847968475	3.117058609251896e-11	-0.21921793255570166	-0.11940878676937094	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	-0.11723536721209556	0.022557239581687923	-5.197239085374072	2.0748295941297286e-7	-0.16145371860594018	-0.07301701581825093	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	-0.06974484551044204	0.02204380842231442	-3.163919962207664	0.0015626722830235447	-0.1129567315812798	-0.02653295943960427	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	-0.09113174160532167	0.023901839415418333	-3.8127501411684417	1.385053537473777e-4	-0.1379858759688282	-0.04427760724181515	Event study	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	-0.023275153257782726	0.027468417245423805	-0.8473423513930468	0.39683075201688556	-0.07712075442686	0.030570447911294547	Event study	treat_a
anio_fiscal2013	-7.394528309487695e-4	0.01762517596225419	-0.04195435169171476	0.966536415099507	-0.0352907883469468	0.03381188268504926	Event study with fixed effects	treat_a
anio_fiscal2014	0.05304155604430229	0.019358257490748723	2.73999641081594	0.0061612558275459415	0.015092791674496946	0.09099032041410762	Event study with fixed effects	treat_a
anio_fiscal2015	-0.0378603431497165	0.02105723224553918	-1.7979733854973716	0.07222899456326103	-0.07913967550430058	0.0034189892048675785	Event study with fixed effects	treat_a
anio_fiscal2016	-0.12418519649193768	0.022372664740924975	-5.550755707020145	2.960101780623771e-8	-0.16804322364049465	-0.08032716934338072	Event study with fixed effects	treat_a
anio_fiscal2017	-0.11170017664983528	0.021977899376965603	-5.082386388887784	3.8344654266420974e-7	-0.1547843295080325	-0.06861602379163806	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2012	-0.07873975778210826	0.030538365535900787	-2.57838808332889	0.009948694043272957	-0.13860533393299457	-0.018874181631221947	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2013	-0.0428542334920778	0.027760274434268668	-1.5437251383644968	0.12270506436195103	-0.09727380683697434	0.011565339852818733	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2015	-0.011310857770449564	0.027821920746686574	-0.40654482030312805	0.6843561149836179	-0.06585127884068152	0.0432295632997824	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2016	0.012728997584585374	0.029597904349208524	0.43006415029940315	0.6671636588402416	-0.0452929549865553	0.07075095015572605	Event study with fixed effects	treat_a
i(anio_fiscal, treatment, ref = 2014)2017	0.030287979194330995	0.031156577443663118	0.9721215126756875	0.33102735152234464	-0.030789502420127762	0.09136546080878975	Event study with fixed effects	treat_a
(Intercept)	71.69409701368642	12.612573218857207	5.684335446036953	1.3132229608223534e-8	46.97390775235188	96.41428627502096	Event study assets weighted	treat_a
anio_fiscal	-0.035221002115679995	0.00626241988064353	-5.624184067335431	1.8638682906221403e-8	-0.04749511953780894	-0.022946884693551054	Event study assets weighted	treat_a
treatment	0.060255262558928435	0.02703446135155732	2.228831629946917	0.02582510956016014	0.007268691968436068	0.1132418331494208	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	-0.23812865033214325	0.03407504590728219	-6.98835889994363	2.781201869210055e-12	-0.3049145130819653	-0.1713427875823212	Event study assets weighted	treat_a
anio_fiscal::2013:treatment	-0.12676054943664672	0.026883860574814192	-4.715117052623043	2.4157183332208163e-6	-0.1794519479286788	-0.07406915094461464	Event study assets weighted	treat_a
anio_fiscal::2015:treatment	-0.05614067745295548	0.028232271404060417	-1.9885285406005704	0.04675326573114064	-0.11147491260667394	-8.064422992370077e-4	Event study assets weighted	treat_a
anio_fiscal::2016:treatment	-0.10679269482843823	0.029784407381680113	-3.5855235747992293	3.364026107906737e-4	-0.16516906059740016	-0.048416329059476286	Event study assets weighted	treat_a
anio_fiscal::2017:treatment	-0.01110448392706398	0.03402484664316285	-0.32636396700102044	0.7441489964577441	-0.0777919579271617	0.055582990073033745	Event study assets weighted	treat_a
anio_fiscal::2012:treatment	-0.12386391768705442	0.040861575470720946	-3.0313054810088804	0.002434987575047595	-0.20395113396123277	-0.04377670141287608	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2013:treatment	-0.07616951722567103	0.03383159574156107	-2.2514314077151005	0.024358226741651747	-0.14247822641864938	-0.009860808032692694	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2015:treatment	8.936652964583944e-4	0.03790923020544672	0.023573818081117207	0.9811925564908068	-0.07340706058785512	0.0751943911807719	Event study assets weighted with fixed effects	treat_a
anio_fiscal::2016:treatment	0.013073612849018722	0.03970202449613981	0.3292933550602654	0.7419339662073936	-0.06474092527674227	0.09088815097477973	Event study assets weighted with fixed effects	treat_a
