term	estimate	std.error	statistic	p.value	conf.low	conf.high	model	population
(Intercept)	0.8049200025052485	0.00438372123333507	183.6156907935675	0	0.7963275836577165	0.8135124213527806	Linear model	all
treatment	0.012717281463949915	0.01028486855323322	1.2365040348475844	0.21628475711456324	-0.007441823939282803	0.03287638686718263	Linear model	all
postPost	-0.13867092840121342	0.005874177251007709	-23.606868243110057	1.15024177702497e-121	-0.15018475162096762	-0.12715710518145923	Linear model	all
treatment:postPost	-0.08901320820648795	0.01714261432239176	-5.192510694837163	2.0936361472484688e-7	-0.12261400409642895	-0.05541241231654694	Linear model	all
postPost	-0.1393542451649312	0.005792693818866862	-24.056898141423083	7.522468356689105e-126	-0.15070849646475395	-0.12799999386510844	Linear model with fixed effect	all
treatment:postPost	-0.0891395300424456	0.017074034606801847	-5.22076545440143	1.8020875849357236e-7	-0.12260632212389226	-0.05567273796099893	Linear model with fixed effect	all
(Intercept)	0.8294803736164065	0.006698102585069683	123.83811132802725	0	0.81635159561451	0.842609151618303	Linear model assets weighted	all
treatment	-0.008944502496564994	0.013653103439659586	-0.6551259599032239	0.5123936594822591	-0.03570559816801257	0.017816593174882576	Linear model assets weighted	all
postPost	-0.0660043503401395	0.008213782977933279	-8.035804028115102	9.77157950177146e-16	-0.0821039743610398	-0.0499047263192392	Linear model assets weighted	all
treatment:postPost	-0.14776386706515168	0.02408769016153779	-6.134414137437504	8.696429290256936e-10	-0.19497752685803255	-0.10055020727227082	Linear model assets weighted	all
treatment:postPost	-0.14437847977162882	0.024041895258924202	-6.005286946670164	1.9099381466999596e-9	NA	NA	Linear model assets weighted with fixed effect	all
(Intercept)	85.53180773759493	3.9689775743835036	21.55008591875969	6.313004398394177e-102	77.7523171503262	93.31129832486366	Event study	all
anio_fiscal	-0.04209254870854544	0.001970815648563766	-21.35793306655568	3.604942380766891e-100	-0.045955493635772754	-0.03822960378131812	Event study	all
treatment	0.13694156132040544	0.007863256544800683	17.41537498365782	1.8306677678510696e-67	0.1215289949530941	0.15235412768771678	Event study	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.21808498801050674	0.014069229185367176	-15.500848350478783	6.698093990744393e-54	-0.24566172130426725	-0.19050825471674623	Event study	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.14440298218138065	0.012202181699014117	-11.834193732178875	3.270422342766208e-32	-0.1683201638465776	-0.12048580051618368	Event study	all
i(anio_fiscal, treatment, ref = 2014)2015	-0.11983197480747218	0.014170929507476487	-8.456183113764672	2.936223210677357e-17	-0.14760804827984142	-0.09205590133510295	Event study	all
i(anio_fiscal, treatment, ref = 2014)2016	-0.28604931915698295	0.018849529921848122	-15.175408635810529	9.536476434921677e-52	-0.3229957966447614	-0.2491028416692045	Event study	all
i(anio_fiscal, treatment, ref = 2014)2017	-0.2632066207295015	0.019867868319318926	-13.24785409784336	6.654131205776163e-40	-0.30214911704815206	-0.22426412441085097	Event study	all
anio_fiscal2013	0.04043863894571429	0.0048654284472144935	8.311424036842185	1.0136749397041165e-16	0.030901918945893878	0.049975358945534704	Event study with fixed effects	all
anio_fiscal2014	0.12510928946383726	0.006044408247132083	20.69835198891445	4.712132252265156e-94	0.11326165268469489	0.13695692624297962	Event study with fixed effects	all
anio_fiscal2015	0.046438353609486525	0.007256781845597247	6.3993040713578955	1.6002528697401584e-10	0.03221434490972607	0.06066236230924698	Event study with fixed effects	all
anio_fiscal2016	-0.12339422566620356	0.009082558565950447	-13.585844205706032	7.895702070438707e-42	-0.1411969369515847	-0.10559151438082244	Event study with fixed effects	all
anio_fiscal2017	-0.17313248753389607	0.00946153971693062	-18.298553165093224	4.130328120602549e-74	-0.19167803928262359	-0.15458693578516855	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2012	-0.012067370829283343	0.014818793766651819	-0.8143288191539401	0.415467615661269	-0.04111366930450829	0.01697892764594161	Event study with fixed effects	all
i(anio_fiscal, treatment, ref = 2014)2013	-0.01970609721580772	0.013047099726303052	-1.510381435659611	0.13096406498460786	-0.04527970049646457	0.005867506064849128	Event study with fixed effects	all
